,trial,name,df,F,p,sig
0,Pre-training,NumEntrances ~ training,1,0.07,0.789, 
2,Pre-training,Time1stEntr ~ training,1,1.49,0.231, 
1,Pre-training,pTimeShockZone ~ training,1,1.24,0.274, 
10,Initial Training (T1~T3),NumEntrances ~ train,1,199.21,0.0,***
9,Initial Training (T1~T3),NumEntrances ~ trial,2,17.47,0.0,***
11,Initial Training (T1~T3),NumEntrances ~ trial*train,2,0.85,0.431, 
16,Initial Training (T1~T3),Time1stEntr ~ train,1,16.21,0.0,***
15,Initial Training (T1~T3),Time1stEntr ~ trial,2,10.67,0.0,***
17,Initial Training (T1~T3),Time1stEntr ~ trial*train,2,8.27,0.0,***
13,Initial Training (T1~T3),pTimeShockZone ~ train,1,366.74,0.0,***
12,Initial Training (T1~T3),pTimeShockZone ~ trial,2,2.98,0.055, 
14,Initial Training (T1~T3),pTimeShockZone ~ trial*train,2,1.29,0.279, 
6,Retest,NumEntrances ~ training,1,141.42,0.0,***
8,Retest,Time1stEntr ~ training,1,22.79,0.0,***
7,Retest,pTimeShockZone ~ training,1,411.4,0.0,***
19,Conflict Training (T4~T6),NumEntrances ~ train,1,36.77,0.0,***
18,Conflict Training (T4~T6),NumEntrances ~ trial,2,3.25,0.043,*
20,Conflict Training (T4~T6),NumEntrances ~ trial*train,2,3.27,0.042,*
25,Conflict Training (T4~T6),Time1stEntr ~ train,1,27.9,0.0,***
24,Conflict Training (T4~T6),Time1stEntr ~ trial,2,2.7,0.073, 
26,Conflict Training (T4~T6),Time1stEntr ~ trial*train,2,2.01,0.14, 
22,Conflict Training (T4~T6),pTimeShockZone ~ train,1,251.64,0.0,***
21,Conflict Training (T4~T6),pTimeShockZone ~ trial,2,0.62,0.542, 
23,Conflict Training (T4~T6),pTimeShockZone ~ trial*train,2,2.12,0.125, 
3,Retention,NumEntrances ~ training,1,49.7,0.0,***
5,Retention,Time1stEntr ~ training,1,16.36,0.0,***
4,Retention,pTimeShockZone ~ training,1,51.54,0.0,***
