,trial,name,df,F,p,sig
0,Pre-training,NumEntrances ~ treatment,1,0.04,0.837, 
1,Pre-training,Time1stEntr ~ treatment,1,0.96,0.343, 
2,Pre-training,pTimeShockZone ~ treatment,1,0.51,0.485, 
3,Initial Training (T1~T3),NumEntrances ~ treatment,1,0.6,0.444, 
4,Initial Training (T1~T3),NumEntrances ~ trial,2,8.9,0.001,**
5,Initial Training (T1~T3),NumEntrances ~ trial*treatment,2,1.28,0.288, 
6,Initial Training (T1~T3),Time1stEntr ~ treatment,1,0.15,0.697, 
7,Initial Training (T1~T3),Time1stEntr ~ trial,2,9.33,0.0,***
8,Initial Training (T1~T3),Time1stEntr ~ trial*treatment,2,0.85,0.433, 
9,Initial Training (T1~T3),pTimeShockZone ~ treatment,1,0.06,0.805, 
10,Initial Training (T1~T3),pTimeShockZone ~ trial,2,4.01,0.025,*
11,Initial Training (T1~T3),pTimeShockZone ~ trial*treatment,2,1.07,0.351, 
12,Retest,NumEntrances ~ treatment,1,0.97,0.341, 
13,Retest,Time1stEntr ~ treatment,1,0.72,0.411, 
14,Retest,pTimeShockZone ~ treatment,1,2.38,0.144, 
15,Conflict Training (T4~T6),NumEntrances ~ treatment,1,10.7,0.002,**
16,Conflict Training (T4~T6),NumEntrances ~ trial,2,5.68,0.006,**
17,Conflict Training (T4~T6),NumEntrances ~ trial*treatment,2,4.61,0.015,*
18,Conflict Training (T4~T6),Time1stEntr ~ treatment,1,4.56,0.038,*
19,Conflict Training (T4~T6),Time1stEntr ~ trial,2,2.56,0.089, 
20,Conflict Training (T4~T6),Time1stEntr ~ trial*treatment,2,1.51,0.233, 
21,Conflict Training (T4~T6),pTimeShockZone ~ treatment,1,13.31,0.001,**
22,Conflict Training (T4~T6),pTimeShockZone ~ trial,2,14.54,0.0,***
23,Conflict Training (T4~T6),pTimeShockZone ~ trial*treatment,2,9.62,0.0,***
24,Retention,NumEntrances ~ treatment,1,0.96,0.342, 
25,Retention,Time1stEntr ~ treatment,1,0.82,0.381, 
26,Retention,pTimeShockZone ~ treatment,1,0.49,0.495, 
