"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"0610007P14Rik",7.62613491265296,7.20523115651983,7.42646393186725,7.43056178004998,7.47777360691696,7.2586728044244,7.49249073048771,7.45137564928462,7.19779943552443,7.07740306235316,7.49497964601662,7.33537020872128,7.41163097491681
"0610009B22Rik",7.06383627499893,6.91663427421038,6.19555391767952,6.96595697768157,6.77583383999065,6.72317452634641,6.88663113454893,6.8915565447054,6.92320877703769,6.79960091727441,6.76853481083849,6.77229870711433,7.01253980195237
"0610009L18Rik",6.79939244866084,6.43168240979323,6.19555391767952,6.62100922416606,6.35161168489562,6.38914392544437,6.72545008377935,6.50922483596796,6.72955493122573,6.19555391767952,6.84405803158884,6.39453791187723,6.62512296788105
"0610009O20Rik",7.433144996681,7.59701530958608,7.36220648428891,7.53429218134045,7.26391182744052,7.44820800373561,7.30719404769736,8.07942588566268,7.69317001768806,7.17052040894263,7.37607336059019,7.2446943066216,7.5204400026302
"0610010F05Rik",7.55783514868367,7.42042163732375,7.63258358350575,7.68164408544068,7.50255605076814,7.48720805627754,7.6843768603865,7.17075106331539,7.70324378908639,7.90263515566991,7.54198802276293,7.8262148106894,7.64991594218123
"0610010K14Rik",6.90799077453497,6.98722824861228,7.26923211987813,6.99061124662098,7.17630413617595,7.02841292893507,6.86750946445971,7.12239975516844,7.26187853519283,7.00862163898924,6.76853481083849,7.13397290430052,7.01925363430465
"0610012G03Rik",7.61504678836232,7.65532924658586,7.24445063858983,7.68737423314615,7.76880000529393,7.43486768724621,7.73303502716945,7.50773826956315,7.81764932208389,7.46831871443785,7.55720167995516,7.60251864939014,7.69313659346676
"0610030E20Rik",7.35019846509675,7.06675470959213,7.24445063858983,7.33908942372868,7.11663378126522,7.02841292893507,7.0530642524773,7.83660871088056,7.29228452852207,7.0437882695986,7.12937436691036,7.39624254214059,7.10154633210101
"0610037L13Rik",7.79950347014669,7.49846525069057,7.5251957872911,7.62265332727686,7.86695422583335,7.48081046517086,7.39667711981387,7.45137564928462,7.456744059091,7.44673103813415,7.61598080019317,7.44657470041595,7.41163097491681
"0610040J01Rik",6.19555391767952,6.66624778690572,6.19555391767952,6.47975993039443,6.50721526744637,6.74027855255283,6.64411063278247,6.19555391767952,6.52372337838613,6.19555391767952,6.84405803158884,6.53966129052983,6.78189705113235
"1110002E22Rik",6.70185505932378,6.43168240979323,6.4350192279955,6.47975993039443,6.35161168489562,6.46912691312471,6.45522198370321,6.19555391767952,6.19555391767952,7.00862163898924,6.91119382568862,6.56708650544283,6.38212063837948
"1110004E09Rik",7.21032717306127,7.62238885462125,7.64949038407388,7.40848044843211,7.28453554898736,7.18285311538523,7.30165827409091,7.76079226443115,7.76187244013684,7.14063813661528,7.15279057132734,7.46739693155435,7.29417066606201
"1110004F10Rik",8.50663294268231,8.10673663302481,8.12477560931447,8.17225845464393,8.12082741227391,8.17969911731531,8.33887636384474,7.953041058342,8.41616237333713,8.05203785070318,8.24256545364996,8.18755115561922,8.31233031547397
"1110008F13Rik",7.81827185493136,7.76351741699789,7.77626161305971,7.93340681735578,7.48610079485204,7.52478485633511,8.12797090666577,7.64154206019984,7.71322816367404,7.68043636910556,7.35785843400146,7.48780266746217,7.48938871873937
"1110008L16Rik",6.62407866008228,6.8783588683156,7.04751634733771,6.7950977108505,6.46559133277859,6.9614687170892,6.82740505421241,6.55751363123811,6.52372337838613,7.14063813661528,6.72652270095693,6.85039642719293,6.80085349155462
"1110008P14Rik",8.04634088570963,7.77816503882383,7.95659820745794,8.02256757522888,7.3813376928441,7.7859819137943,7.90624445460019,7.36676166896633,7.81764932208389,7.10963881125739,7.37607336059019,7.5593700080524,7.90404703673006
"1110012L19Rik",6.46717283788519,6.72122999095027,6.19555391767952,7.01445248150611,6.6869142277548,6.91302841880859,6.67282537019246,6.19555391767952,6.94655569309889,6.62422766366608,6.19555391767952,6.61650255161179,6.6753881522876
"1110017D15Rik",6.19555391767952,6.19555391767952,6.67285474973149,6.33782915330226,6.19555391767952,6.68710284852997,6.45522198370321,6.19555391767952,6.38529461339979,6.19555391767952,6.19555391767952,6.61650255161179,6.62512296788105
"1110032A03Rik",7.02260508999329,7.15257961435332,7.44698999390393,7.18263360032798,7.06553858228735,6.984478310734,7.12413678440578,6.73673995991344,7.41814540163549,7.00862163898924,6.84405803158884,7.31952816271393,7.19785477638902
"1110032F04Rik",7.3786356912393,6.97023730171022,6.53382250673106,7.15363628958016,6.63546098098245,6.80368636142589,7.13091024855868,7.25997605152796,7.11035678607168,7.17052040894263,6.50325841490017,7.06186575701537,7.04552305842285
"1110034G24Rik",7.04349953113013,6.56828521153929,7.29335741314269,6.91386942390787,6.66192224057523,6.72317452634641,6.93210874372242,6.19555391767952,6.72955493122573,6.44365445092835,7.19775639588752,6.89282016002974,6.83699401864736
"1110037F02Rik",7.59252541565864,7.88915146694482,8.48486339576741,7.49404529340295,7.72973335593717,7.66847156271459,7.56745720352982,8.09270262777219,7.97069342342428,8.08981593053693,8.24256545364996,7.70622459629122,7.76269505708771
"1110038F14Rik",7.25936942160841,7.37899638883595,6.82484643860642,7.21983411707068,7.28453554898736,6.92546607119681,7.13762842813861,7.45137564928462,7.01226152041216,7.28069927508268,7.05476949625715,7.03998905826916,6.9709077314641
"1110051M20Rik",7.80892548300577,8.22814404713519,7.98207801675192,8.24273504556727,7.9738427417515,8.03467006391175,8.36543786093233,8.04560033119091,8.18287791013214,8.26336771436955,8.03114423018863,7.98810265312497,8.19110293237987
"1110059E24Rik",6.90799077453497,7.1388883721471,7.10874278515999,7.18263360032798,7.26391182744052,7.06991710987103,7.13091024855868,6.93557217915368,7.12859524032864,6.79960091727441,6.62989685930958,6.93263153799183,7.04552305842285
"1110059G10Rik",6.82841166804865,6.95282841991203,7.01497958634459,7.24673620182992,6.86996812419474,6.9614687170892,7.00706441458332,7.12239975516844,7.05300569549911,6.6899440221764,7.41151371042777,7.02881063473618,6.9637278386193
"1110065P20Rik",7.59252541565864,7.45039577848492,7.50619250364548,7.72668708625873,7.81276185073961,7.80524093137376,7.77969483829801,7.75205260977832,7.76187244013684,7.25440618999818,7.21938920328563,7.50781209213517,7.75962380881628
"1190002N15Rik",8.19159334143472,8.50785968561097,8.14704759427136,8.23549689835687,8.29059660643912,7.84282940747783,8.25576745106438,8.00374830991857,8.09941088668397,8.57897227999601,8.46029141631385,8.22032025552636,8.38849963801343
"1190005I06Rik",6.19555391767952,6.52911940652816,6.19555391767952,6.19555391767952,6.50721526744637,6.46912691312471,6.7731089683594,6.7930915086489,6.57422097125742,6.44365445092835,6.19555391767952,6.68105542914854,6.45921590768844
