"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"0610007P14Rik",7.79420619160503,7.40905175765478,7.61103906371644,7.61478962576792,7.65802566797541,7.45775816857271,7.67151307582788,7.63384495356925,7.40228266441694,7.29275540227819,7.67379448294426,7.52775390421147,7.59746608162942
"0610009B22Rik",7.2804286474351,7.14686318003137,6.49579787009552,7.19158099906463,7.01938514890353,6.97176864256137,7.11967767713361,7.12413970565484,7.15282189823026,7.04088633839331,7.01278328264206,7.01618759754005,7.23384718795611
"0610009L18Rik",7.04069771613907,6.70863532264925,6.49579787009552,6.87946650215859,6.63644598465418,6.67028076038111,6.97382567308064,6.77857424902541,6.97753645913112,6.49579787009552,7.08112301039451,6.67514379042013,6.88318126005171
"0610009O20Rik",7.61715409811089,7.76743903345146,7.55227238639945,7.70984711427463,7.46253583801325,7.63094435463543,7.50202653300463,8.21344662131752,7.85589891587164,7.37744436092443,7.56494724635854,7.44501314780186,7.69713978201537
"0610010F05Rik",7.73145392417693,7.60550947893088,7.80013648548115,7.84528422203777,7.68074003749613,7.66667127326742,7.84780066743296,7.37765432276336,7.86517876765231,8.04934781365492,7.71690872012791,7.97864980338839,7.81608025128027
"0610010K14Rik",7.1390301551977,7.21087713837367,7.46738814942874,7.21394662671745,7.38270949984148,7.24825691300802,7.10235799465239,7.33366094249115,7.46068153820039,7.23029084969693,7.01278328264206,7.34418733510609,7.23994157400463
"0610012G03Rik",7.78401158151331,7.8210612651653,7.44479101360973,7.85056096249742,7.9256261723027,7.61873099004273,7.89263591824444,7.68549146872351,7.97073444019505,7.64936322707684,7.73087239230611,7.7724963243374,7.85586812973548
"0610030E20Rik",7.54129970543356,7.28308008013981,7.44479101360973,7.53115104579413,7.32841733109298,7.24825691300802,7.27064331796543,7.98825715677065,7.48841904061524,7.26221847367079,7.34000444872462,7.58338959144475,7.31469935655348
"0610037L13Rik",7.95397164751913,7.67698970534364,7.70150204354461,7.79100486427948,8.01632114211272,7.66080839803666,7.58378705265877,7.63384495356925,7.63876126366297,7.62959197571204,7.78487022106235,7.62944882824485,7.59746608162942
"0610040J01Rik",6.49579787009552,6.92032560102507,6.49579787009552,6.75199458877682,6.77676129217192,6.98723145933951,6.90032923240948,6.49579787009552,6.79165505037597,6.49579787009552,7.08112301039451,6.80603607174628,7.02486969357241
"1110002E22Rik",6.95249910868642,6.70863532264925,6.711644289244,6.75199458877682,6.63644598465418,6.74240401765161,6.72986324462177,6.49579787009552,6.49579787009552,7.23029084969693,7.14193274691212,6.83078640540719,6.66394898010923
"1110004E09Rik",7.41369397938976,7.79076169212242,7.81568870528965,7.59458375833187,7.4813484559293,7.38867198995605,7.49697368993248,7.91823707847202,7.91923371587048,7.35025075466717,7.36130789783303,7.64851880377513,7.49014022789768
"1110004F10Rik",8.61319745233312,8.23886560218084,8.25566523685373,8.29992466233245,8.2519876015307,8.30686531450625,8.45567800726924,8.09605680324365,8.52816051049144,8.18797432231405,8.36556236640927,8.31419119984101,8.43081634908729
"1110008F13Rik",7.9713096634099,7.92075152676472,7.93251268607573,8.07785522549934,7.66565649519414,7.70112509619709,8.25864185177226,7.80837639664868,7.8743785866848,7.84417216463588,7.54829889505419,7.6672162307081,7.66866987374408
"1110008L16Rik",6.88223822446972,7.11218438557131,7.26560430960126,7.03681195359619,6.739215199874,7.18751033917631,7.06604813416171,6.82214659441162,6.79165505037597,7.35025075466717,6.97479530307644,7.08686166202483,7.04201967745879
"1110008P14Rik",8.18267818599202,7.93426961818546,8.09935540473001,8.16058619788586,7.56976006377339,7.94148578026887,8.05269033957097,7.55643557478894,7.97073444019505,7.32205681471338,7.56494724635854,7.73286298006576,8.05065530110675
"1110012L19Rik",6.74064158569857,6.97001088780431,6.49579787009552,7.23558332531509,6.93899759569089,7.14359531064058,6.92626796549406,6.49579787009552,7.17398695114871,6.8823727777957,6.49579787009552,6.87539708923679,6.92858336148188
