"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"0610007P14Rik",7.15932812621701,7.68830993350933,7.34715792531749,7.09748066665331,6.97376624455402,7.34609105788606,6.84212641297254,7.23092793866021,7.24489961809182,6.9297996688176,7.0169127016916,7.37740980028382
"0610009B22Rik",6.5181490364862,7.06893395789685,6.60019828616155,7.00331466764707,6.43507124487606,6.28431077563994,6.98876144796014,6.53383359345792,6.41042402611159,6.60998078616562,6.60041150343721,6.76889320023402
"0610009L18Rik",6.06436664491995,6.74678563092428,6.32003085757433,6.27277285307283,6.32099645238722,6.28431077563994,6.02197511661527,6.18436861938231,6.15057251364262,6.15550111538001,6.21218382091199,6.25968120485495
"0610009O20Rik",7.15932812621701,7.64731848658614,7.10998468997023,7.47547922975846,7.01339250784827,7.465181639354,7.02881453662547,7.19906498902037,7.35295653186671,6.9917000360508,7.12019452281778,7.00803317155085
"0610010F05Rik",7.53067819261396,7.51554170438575,7.13613490781449,7.64110676653781,7.6397588542311,7.31217278098751,7.65366855906787,7.63216100275077,7.78769821561085,7.64622123504327,7.74286539066706,7.67132552099155
"0610010K14Rik",6.5181490364862,7.13553279672632,6.68741325644872,6.71845817347769,6.5317449770587,6.36640614262992,6.3888550935036,6.26909573140533,6.42121207264247,5.74601471773009,6.83890623493613,6.70081292205365
"0610012G03Rik",6.93703911551995,7.84018551825394,7.50696380166105,7.55354820131961,7.60945202745218,7.56656446981251,7.12861439287073,7.48364504077634,7.25742566782043,7.42480878412807,7.53510009654604,7.26295415693388
"0610030E20Rik",6.68627937607115,7.25758108755117,7.28111851905367,6.38940370799125,6.87460592790578,6.83266571371286,6.90348176463326,7.20711699617129,7.31805876971532,6.60998078616562,6.85185844063301,6.84219261952034
"0610037L13Rik",7.67302523804857,7.41903238867639,7.72881119956111,7.20452170067274,7.10030241706347,7.25028232615178,7.37327336654893,7.23092793866021,7.17560597562819,7.22927774304882,7.61471844734858,7.35293811538599
"0610040J01Rik",6.45224384152599,6.52726396556619,5.74601471773009,5.74601471773009,6.13073690606632,6.14826413099722,6.08373963483238,5.74601471773009,6.15057251364262,6.25579385114531,6.32896034239041,6.30390083398407
"1110002E22Rik",5.74601471773009,5.74601471773009,5.74601471773009,6.11951744560923,5.74601471773009,6.43832819948902,5.74601471773009,5.74601471773009,6.04524372300253,5.74601471773009,6.17786933683618,5.74601471773009
"1110004E09Rik",7.28313347453256,6.64459133834263,6.80318636475596,7.4260886231796,7.05153354354192,7.06242298335718,7.02881453662547,6.8122195070632,6.67768317971619,6.43770256775214,7.35020329584923,6.84219261952034
"1110004F10Rik",7.85812693480035,7.60493663032915,8.09422907361888,8.27448719772387,8.0466280704263,7.88951653018708,7.9322422305683,7.70816191109679,7.94397938260351,7.80138166255916,8.02341268181483,7.68550531092164
"1110008F13Rik",7.84947939925718,7.31394623064817,7.6480957014075,7.74905626601137,7.54651584915449,7.77116982952064,7.61510159255314,6.95495803554168,7.28206809232281,7.49471717220437,7.74865494434553,7.74068330775445
"1110008L16Rik",6.50225765919204,5.74601471773009,5.74601471773009,6.33414409144239,6.32099645238722,5.74601471773009,6.32834670430084,6.24252161456538,6.35341282453292,6.29059228912794,6.35451166444357,6.57308884001305
"1110008P14Rik",7.97746557490881,8.62830450903998,7.95742745553185,8.46096926243137,8.10015707818452,8.26654834852945,8.15139673944249,7.35712342804599,7.77152012657548,8.33460982625449,8.49579905961482,8.02614225561313
"1110012L19Rik",5.74601471773009,6.74678563092428,6.32003085757433,6.20282812077569,6.21651083794125,6.39133219096687,5.74601471773009,6.11689602129963,6.04524372300253,6.25579385114531,6.17786933683618,6.2360090261318
"1110017D15Rik",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,6.01845616303517,5.92637191568323,5.74601471773009,5.74601471773009,6.13185952847337,5.74601471773009,5.92286684183805,6.09332148405593
"1110032A03Rik",6.95596885981591,7.31394623064817,6.87277773979257,7.09748066665331,6.57551092608941,7.0405793290156,7.17521168300531,6.69843077117863,6.78996298087164,6.56791420677845,6.87723548158757,6.93778718803641
"1110032F04Rik",6.98370159673011,5.74601471773009,6.55261476465211,6.57219114297088,6.5539546939191,6.63429058981534,6.8098613056971,6.40553789019331,6.41042402611159,6.64987571833554,6.5466468872355,6.5001491580929
"1110034G24Rik",6.46933185798329,6.52726396556619,5.74601471773009,6.27277285307283,6.13073690606632,6.39133219096687,6.66752391665721,6.18436861938231,6.72153404285511,6.25579385114531,6.24406443825703,6.43572001351797
"1110037F02Rik",7.35008387759337,6.74678563092428,7.98337577086423,7.07472629157393,7.52205652409862,7.25028232615178,7.43844277446656,7.13242380019135,7.33369913918436,7.36953737839847,7.44253764861778,7.44219176815275
