"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"0610007P14Rik",7.22881163718924,7.74117919268015,7.41039615948035,7.16910049554599,7.04977332445162,7.40936371079393,6.92296113613256,7.2979871618111,7.31149198655414,7.00740136414606,7.09137276176525,7.43967715764149
"0610009B22Rik",6.6114897577608,7.14155280467797,6.69029523969881,7.07826035609608,6.53174292999677,6.38713259911932,7.06422885010941,6.62655057970188,6.50809231072943,6.6996942295742,6.69050009052782,6.85248073838729
"0610009L18Rik",6.17635408035087,6.83121318356222,6.42138429717061,6.37607034507079,6.42231028940712,6.38713259911932,6.13574878291634,6.29133115970725,6.25894492845937,6.26366764596159,6.31798947697706,6.36351920098452
"0610009O20Rik",7.22881163718924,7.7013657813165,7.18116949297438,7.53466740240306,7.08797811362387,7.52468820982612,7.10285101490079,7.26719650718309,7.41600790798848,7.06706192998355,7.19102528240835,7.08281014513132
"0610010F05Rik",7.58817946745031,7.57350222208301,7.20641501204077,7.69533420495124,7.69402543946543,7.37654604121921,7.70753214048612,7.68664862608718,7.83778870066469,7.70030031959936,7.79419575907162,7.72468062373454
"0610010K14Rik",6.6114897577608,7.20583365391247,6.77411668052949,6.80396800287181,6.62454492486751,6.46586321996785,6.48739848932738,6.37254495461122,6.51844369390933,5.8714991157142,6.91986102171986,6.78700021431337
"0610012G03Rik",7.0143769981496,7.88885277739752,7.56518569324702,7.61036038709718,7.66460412088397,7.62298704423902,7.19915397039474,7.54258155511278,7.32360122617943,7.48557484357514,7.59246768659701,7.32894627691147
"0610030E20Rik",6.7730265409277,7.32375148460184,7.34651020426732,6.48792481121569,6.95423482063966,6.91385343753563,6.98204660215252,7.27497654111886,7.38224015512023,6.6996942295742,6.93233086583184,6.92302487514613
"0610037L13Rik",7.72633157564992,7.47998010343161,7.78053484355704,7.27246883370144,7.17182393780668,7.31669538062327,7.43567289313673,7.2979871618111,7.24453369090064,7.29639224121719,7.6697159348777,7.41599008440061
"0610040J01Rik",6.54822336691565,6.62024200415234,5.8714991157142,5.8714991157142,6.23993883949008,6.25673300638427,6.19491251598861,5.8714991157142,6.25894492845937,6.35979249844149,6.4299477385581,6.40591654206932
"1110002E22Rik",5.8714991157142,5.8714991157142,5.8714991157142,6.2291892061374,5.8714991157142,6.53486846870278,5.8714991157142,5.8714991157142,6.15803630484152,5.8714991157142,6.28510265640539,5.8714991157142
"1110004E09Rik",7.34845876890928,6.73295367629313,6.88547906104643,7.48681448352985,7.12476529707723,7.13527082078728,7.10285101490079,6.89417281052942,6.76476228430558,6.53426807569468,7.41334334900303,6.92302487514613
"1110004F10Rik",7.90631470323507,7.66022152666487,8.13643678673483,8.31253490842571,8.08999242587929,7.93687396553082,7.97848694294375,7.76046736145965,7.98992193984063,7.85109816765038,8.06735006245248,7.73845457616509
"1110008F13Rik",7.89789783124474,7.37826164007414,7.70212048657498,7.8002140927163,7.60353931023228,7.82171482076949,7.67008784411189,7.03164504173087,7.34742848466124,7.55331362756465,7.79982394310767,7.79207459301661
