"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"0610007P14Rik",7.15371815743867,7.16722840262136,7.56998741598636,7.27189102833692,7.17888850735416,7.39507171737925,7.32624004517792,6.92019675214756,7.07577969618213,7.65499607497827,7.06525323766002,7.24221634069408,7.24763168382646,7.13167690205241
"0610009B22Rik",6.60738259090421,6.49512948378526,6.17217832696059,6.37816410160844,6.6482380394317,6.50985044727678,6.75675121472086,6.61273489982679,6.51459614637335,6.85818785997731,6.71594277110598,6.70729038845728,6.43011211634014,6.34960526491837
"0610009L18Rik",6.26859834403969,6.43347104854207,6.28264499205789,5.90418219343334,6.36295265533239,6.36097013542878,6.13512431542989,5.90418219343334,6.51459614637335,5.90418219343334,6.13206882281993,6.54865540507857,6.35522056654809,6.21976674361794
"0610009O20Rik",7.48109685578527,7.42899837710028,7.47920691145924,7.28769496305779,7.54786428700528,7.39963240122941,7.49022299613243,7.37468981253818,7.48869927863281,7.12189081631675,7.41952248120799,7.3804283763075,7.81433291042262,7.20160098153457
"0610010F05Rik",7.35819630797663,7.80025682140287,7.84954298558593,7.65845750873302,7.64839353893721,7.34840638457894,7.49022299613243,7.29845734672812,7.50497462808068,7.96736247929677,7.59682819085252,7.49845543012024,7.61387626215635,7.35834781326697
"0610010K14Rik",6.93014823304002,6.75419734569129,6.8185047587454,6.60696539324823,6.81061145988749,6.88680973656918,7.00953610471462,6.98731489599054,7.07577969618213,6.77761982513323,6.58229352100939,6.92686372077557,6.46367019698887,6.88513304649018
"0610012G03Rik",7.46545960188213,7.71949773608084,7.44080123783386,7.31862264850634,7.16659243544836,7.38127688810769,7.34218534012816,7.19920729912435,7.45544204886399,7.46255590015316,7.21466966368908,7.34748544608806,6.94775329850179,8.14253571199071
"0610030E20Rik",7.05433001553225,7.39950964521745,7.31703012120103,7.27189102833692,7.16659243544836,7.49975824378988,7.38868079266017,7.28254738941772,7.52102473891634,7.72406311225053,7.23757182693876,7.30002531770342,7.36731715251542,7.23485481843995
"0610037L13Rik",7.68058783100848,7.94132451348573,7.98145701264664,7.19769470030896,7.48500181909111,7.82916514692075,7.87804161323771,7.57659252269371,7.90073038509626,7.61892800402789,7.65307236270193,7.77810075154456,7.49475402204348,7.92553710671791
"0610040J01Rik",6.20198935924006,6.39962969303714,6.60727465729643,6.45068084924699,6.36295265533239,6.18819599090968,6.13512431542989,5.90418219343334,6.46209414537013,5.90418219343334,6.44406923546559,6.15492360355553,6.04067898002947,6.21976674361794
