"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"0610007P14Rik",7.21575957466889,7.22886941816126,7.62040106872076,7.33048072677687,7.24018513785835,7.45018845095186,7.38328138154837,6.98938213219476,7.14015927715704,7.70322352680713,7.12995225200081,7.30166196533534,7.30692056119749,7.19437469332295
"0610009B22Rik",6.686724488137,6.57825099891503,6.26645540067602,6.46528419047659,6.7262202692449,6.59247285582209,6.83116793796841,6.69189816365652,6.59705786650195,6.92933703519492,6.7916922592231,6.78332373665241,6.51544940769558,6.43770976266223
"0610009L18Rik",6.35950996482137,6.51869343138762,6.37306839320552,6.00789542020775,6.45059671180307,6.44868254249346,6.23070037425295,6.00789542020775,6.59705786650195,6.00789542020775,6.2277521149064,6.62996699887635,6.44313127827714,6.31237987949272
"0610009O20Rik",7.53386649763447,7.48318166581981,7.53202741402474,7.34583183659137,7.59885765205018,7.45462306699819,7.54274749064205,7.43037216637936,7.54126465171678,7.18488127009796,7.47396546895468,7.43595111278532,7.85864116626594,7.26222996350496
"0610010F05Rik",7.41433901769865,7.84490187493558,7.89301679724877,7.70659733890304,7.69678842944627,7.40482345752484,7.54274749064205,7.35628705778698,7.55710443600758,8.00812747754542,7.64654446266602,7.55075942214345,7.6631529880083,7.41448628355017
"0610010K14Rik",6.99902094042945,6.82869717886159,6.89092431100417,6.68632122079993,6.88328493317424,6.95704918559828,7.07593995950876,7.05440516756968,7.14015927715704,6.85135894122011,6.66247475785318,6.99583954931968,6.54786157270493,6.95542563402716
"0610012G03Rik",7.51865101827812,7.766110474743,7.49466216068359,7.37587948423727,7.22825226610137,7.43677604765376,7.39877718784458,7.25990644651007,7.50890480493475,7.51582587577021,7.27491639540063,7.40392837096023,7.01607457991041,8.1795097605239
"0610030E20Rik",7.11936140328757,7.45450370186361,7.37433207290502,7.33048072677687,7.22825226610137,7.55202739599645,7.44397449178001,7.34083152323036,7.57272733276024,7.77056301204348,7.29715208160994,7.3578103602623,7.42320499573849,7.29451391385201
"0610037L13Rik",7.72817005612033,7.98267710872144,8.0219065518007,7.25843821030366,7.53766647445995,7.87312049535275,7.92084843450651,7.62683395437346,7.94301156444647,7.66807499050194,7.70134855820925,7.82327964201279,7.54715707987104,7.9672490258115
"0610040J01Rik",6.29522346687915,6.48601184327367,6.68662015836773,6.53531521604793,6.45059671180307,6.28191242352993,6.23070037425295,6.00789542020775,6.54633923271521,6.00789542020775,6.52892935931858,6.24980522808483,6.13957646322335,6.31237987949272
"1110002E22Rik",6.97946331551392,7.21678608594231,7.08140327400037,7.10624440122592,7.12715395385379,6.87958260912413,6.55098405737002,7.19015785304713,7.04137815769099,6.00789542020775,7.36113056286456,6.99583954931968,7.20216788353374,6.53334820788485
"1110004E09Rik",7.07904403510204,7.42505820077382,7.02248263706054,7.00358190787302,7.17902397507946,7.18953747242485,7.19563323488407,7.11501637563724,7.27140898061109,6.00789542020775,7.19298396173638,7.16327177162019,7.24662979579368,6.99996897128358
"1110004F10Rik",8.07202178725532,8.12928250670324,8.30677455063306,7.6898903803098,8.12831522448241,8.18955934824311,8.12929986374691,7.82579692908439,7.98785757530582,7.66807499050194,8.08577240707637,7.97006671525465,8.02734927986669,8.29477244649031
"1110008F13Rik",7.42272402324461,7.75122012136791,7.85161421811687,7.27489123852411,7.68893142895223,7.43677604765376,7.47310057759555,7.63880537538579,7.63318307529267,7.55582032591099,7.62633611199899,7.7251826754403,7.36388573094255,7.68975746719534
"1110008L16Rik",6.80328955410516,6.51869343138762,6.58301153406667,6.74974018223284,6.36982946320942,6.59247285582209,6.23070037425295,6.65739326680745,6.00789542020775,6.76440542676067,6.46410347562643,6.44617411458792,6.60722436678832,6.68380894652368
"1110008P14Rik",7.91739618232125,8.07841043981237,7.70253112286099,7.25011017546667,7.57303197079744,7.80952757266725,7.78569894380514,7.90475111729355,7.82332014515551,7.18488127009796,7.54616044011453,7.73197599575033,7.90473372973235,8.00228084516044
"1110012L19Rik",6.57975068874801,7.21678608594231,6.4545480869391,6.00789542020775,6.63156127012708,6.66316121689529,6.39304379317689,6.62081242803597,6.72702552648133,6.66489236855905,6.63815747004025,6.65678236641772,6.44313127827714,6.95542563402716
