MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IDA		J:201575 	
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IMP		J:201575 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		regulation of postsynapse organization			IBA	MGI:1917816 PTN002487168 RGD:1305246 RGD:1308210 RGD:1359682 	J:161428 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		regulation of postsynapse organization			IEA	ENSRNOP00000024576 Q5XIJ5 	J:342605 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		regulation of postsynapse organization			ISO	RGD:1359682 	J:155856 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of dendritic spine maintenance	uses UniProtKB:P31016		IMP		J:248443 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of postsynapse organization			IBA	MGI:1917816 PTN002487168 RGD:1305246 RGD:1308210 RGD:1359682 	J:161428 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of postsynapse organization			IEA	ENSRNOP00000047508 Q6AY17 	J:342605 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of postsynapse organization			ISO	RGD:1305246 	J:155856 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		regulation of postsynapse organization			IBA	MGI:1917816 PTN002487168 RGD:1305246 RGD:1308210 RGD:1359682 	J:161428 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		regulation of postsynapse organization			IEA	B5DFK7 ENSRNOP00000017362 	J:342605 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		regulation of postsynapse organization			ISO	RGD:1308210 	J:155856 	
MGI:106913	Abi2	abl interactor 2	1		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:95254 	
MGI:106913	Abi2	abl interactor 2	1		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:95254 	
MGI:106913	Abi2	abl interactor 2	1		postsynaptic actin cytoskeleton organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:95254 	
MGI:106913	Abi2	abl interactor 2	1		postsynaptic actin cytoskeleton organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:95254 	
MGI:106913	Abi2	abl interactor 2	1		regulation of dendritic spine morphogenesis			IMP		J:95254 	
MGI:1913860	Abi3	ABI family member 3	11		modification of postsynaptic actin cytoskeleton			IEA	ENSRNOP00000007897 F7FKP3 	J:342605 	
MGI:1913860	Abi3	ABI family member 3	11		modification of postsynaptic actin cytoskeleton			IEA	ENSRNOP00000007897 Q6AYC6 	J:342605 	
MGI:1913860	Abi3	ABI family member 3	11		regulation of dendritic spine morphogenesis			ISS	F1M0R2 	J:342587 	
MGI:1913860	Abi3	ABI family member 3	11		regulation of postsynaptic density assembly			ISS	F1M0R2 	J:342587 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		regulation of dendritic spine morphogenesis			ISO	RGD:1562717 	J:155856 	
MGI:2444583	Abi3bp	ABI family member 3 binding protein	16		regulation of postsynaptic density assembly			ISO	RGD:1562717 	J:155856 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of modification of synaptic structure			IEA	E9PT20 ENSRNOP00000044534 	J:342605 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of modification of synaptic structure	happens in hippocampal neuron,is upstream of regulation of long-term synaptic potentiation,happens in dendritic spine		IGI	CPX-1134 Q03137 	J:214156 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of modification of synaptic structure			ISO	RGD:1584969 	J:155856 	
