MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IBA	MGI:2384560 P00957 P49588 PTN000206950 Q5JTZ9 RGD:1304832 S000005862 	J:161428 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IDA		J:242411 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IEA	IPR018162 IPR018164 IPR018165 	J:72247 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IEA	ENSP00000261772 P49588 	J:342605 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IEA	ENSRNOP00000025051 P50475 	J:342605 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			IMP	MGI:3618596 	J:110647 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			ISO	RGD:1304832 	J:155856 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		alanyl-tRNA aminoacylation			ISO	P49588 	J:164563 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		regulation of cytoplasmic translational fidelity			IMP		J:216802 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		translation			IEA	KW-0648 	J:60000 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		alanyl-tRNA aminoacylation			IBA	MGI:2384560 P00957 P49588 PTN000206950 Q5JTZ9 RGD:1304832 S000005862 	J:161428 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		alanyl-tRNA aminoacylation			IEA	IPR018162 IPR018164 IPR018165 	J:72247 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrial alanyl-tRNA aminoacylation			IEA	ENSP00000244571 Q5JTZ9 	J:342605 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrial alanyl-tRNA aminoacylation			ISO	Q5JTZ9 	J:164563 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		translation			IEA	KW-0648 	J:60000 	
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	11		alanyl-tRNA aminoacylation			IEA	IPR018165 	J:72247 	
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	11		translation			IEA	KW-0648 	J:60000 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		regulation of translation			IEA	KW-0810 	J:60000 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		rescue of stalled ribosome			IEA	ENSP00000296577 P61221 	J:342605 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		rescue of stalled ribosome			ISO	P61221 	J:164563 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		rescue of stalled ribosome			ISS	P61221 	J:342587 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		translational initiation			IBA	PTN000443727 S000002498 	J:161428 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E member 1	8		translational termination			IBA	P61221 PTN000443727 S000002498 	J:161428 	
