tissue,gene,lfc,padj,logpadj,comparison,direction
DG,0610007P14Rik,-0.055044092667611386,0.9698621571063499,0.013289986003892132,yoked vs. trained,NS
DG,0610009O20Rik,0.21402477794740574,0.785015116630269,0.10512198018990628,yoked vs. trained,NS
DG,0610010F05Rik,0.10478897684870885,0.9245847768761284,0.034053261420456594,yoked vs. trained,NS
DG,0610010K14Rik,-0.2762960794306011,0.8601176579488362,0.0654421363112717,yoked vs. trained,NS
DG,0610012G03Rik,-0.5448493722791375,0.4420019191756029,0.354575844936961,yoked vs. trained,NS
DG,0610030E20Rik,-0.056349622816527174,0.9642310344476956,0.015818894557554503,yoked vs. trained,NS
DG,0610037L13Rik,-0.38939960244931954,0.4860920574706382,0.31328147504735626,yoked vs. trained,NS
DG,1110002E22Rik,0.06138487781045898,0.9815633244120047,0.008081677158653969,yoked vs. trained,NS
DG,1110004E09Rik,-0.13258988300080624,0.9254041702041267,0.03366854774452902,yoked vs. trained,NS
DG,1110004F10Rik,-0.20187597028225115,0.7479890653106762,0.1261047509456267,yoked vs. trained,NS
DG,1110008F13Rik,-0.35335745630598614,0.5317496855042643,0.2742927582824088,yoked vs. trained,NS
DG,1110008P14Rik,-0.3811722058840036,0.576385278477381,0.23928712008165381,yoked vs. trained,NS
DG,1110012L19Rik,-1.1502573364188782,0.4396663079358198,0.3568768135210398,yoked vs. trained,NS
DG,1110032A03Rik,-0.7158300391213773,0.5824058630245622,0.23477426167167098,yoked vs. trained,NS
DG,1110034G24Rik,-0.48581391779523697,0.82426638785684,0.08393240956540432,yoked vs. trained,NS
DG,1110037F02Rik,0.048371363707293995,0.9613241285233962,0.017130157081391716,yoked vs. trained,NS
DG,1110038F14Rik,0.11482444731567919,0.9415448273607794,0.02615899820496815,yoked vs. trained,NS
DG,1110051M20Rik,-0.136563230257516,0.8796980841814707,0.055666353840655464,yoked vs. trained,NS
DG,1110059E24Rik,-0.4925537925884631,0.6367369256597403,0.19603996379210428,yoked vs. trained,NS
DG,1110059G10Rik,-0.07287781190846124,0.9728958283938248,0.011933658781716395,yoked vs. trained,NS
DG,1110065P20Rik,-0.13984109054434768,0.9227965241399537,0.034894049987182686,yoked vs. trained,NS
DG,1190002N15Rik,1.7833979335692483,3.5980590531094843e-4,3.443931713077981,yoked vs. trained,trained
DG,1500009C09Rik,-0.43001929494099717,0.4459140533881748,0.3507488402479265,yoked vs. trained,NS
DG,1500011B03Rik,-0.08279743013407155,0.9259636149377617,0.03340607826645708,yoked vs. trained,NS
DG,1500011K16Rik,-0.18277466095385267,0.9050300224606267,0.043337013753120324,yoked vs. trained,NS
DG,1600002H07Rik,-0.7882764631360213,0.2776799528748157,0.5564554730409416,yoked vs. trained,NS
DG,1600012H06Rik,-0.08544524113010216,0.9685352470255552,0.013884569771756164,yoked vs. trained,NS
DG,1600014C10Rik,-0.34262010936238624,0.665685908231934,0.17673063644158019,yoked vs. trained,NS
DG,1700003E16Rik,-0.3219073983553898,0.750441124691195,0.12468337433971871,yoked vs. trained,NS
DG,1700017B05Rik,0.2071168687877688,0.9050300224606267,0.043337013753120324,yoked vs. trained,NS
DG,1700019D03Rik,-0.10493198492505088,0.9650750925183327,0.01543889287638304,yoked vs. trained,NS
