"","tissue","gene","lfc","padj","logpadj","comparison","direction"
"1","CA1","Chd8",-0.77,"8.19e-02",1.09,"conflict.yoked vs. conflict.trained","conflict.yoked"
"2","CA1","D430019H16Rik",-0.64,"8.19e-02",1.09,"conflict.yoked vs. conflict.trained","conflict.yoked"
"3","CA1","Fgfr1",-0.66,"8.19e-02",1.09,"conflict.yoked vs. conflict.trained","conflict.yoked"
"4","CA1","Gm20390",2.84,"1.06e-03",2.97,"conflict.yoked vs. conflict.trained","conflict.trained"
"5","CA1","Itga10",-2.17,"8.19e-02",1.09,"conflict.yoked vs. conflict.trained","conflict.yoked"
"6","CA1","Ppp1r10",-0.86,"6.80e-02",1.17,"conflict.yoked vs. conflict.trained","conflict.yoked"
"7","CA1","Satb1",-1.26,"8.19e-02",1.09,"conflict.yoked vs. conflict.trained","conflict.yoked"
"8","CA1","Ank2",-0.58,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"9","CA1","Arhgap35",-0.51,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"10","CA1","Arpc2",0.43,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"11","CA1","Atp6v0c",0.59,"2.33e-02",1.63,"standard.trained vs. conflict.trained","conflict.trained"
"12","CA1","Atp6v1e1",0.47,"9.67e-02",1.01,"standard.trained vs. conflict.trained","conflict.trained"
"13","CA1","Atxn10",0.43,"8.26e-02",1.08,"standard.trained vs. conflict.trained","conflict.trained"
"14","CA1","Braf",-0.65,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"15","CA1","Cck",0.76,"6.10e-02",1.22,"standard.trained vs. conflict.trained","conflict.trained"
"16","CA1","Chd5",-0.5,"9.82e-02",1.01,"standard.trained vs. conflict.trained","standard.trained"
"17","CA1","Cox8a",0.74,"8.26e-02",1.08,"standard.trained vs. conflict.trained","conflict.trained"
"18","CA1","Ctxn1",0.52,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"19","CA1","Fam131a",0.4,"8.26e-02",1.08,"standard.trained vs. conflict.trained","conflict.trained"
"20","CA1","Fam168a",-0.47,"8.26e-02",1.08,"standard.trained vs. conflict.trained","standard.trained"
"21","CA1","Hivep2",-0.56,"8.26e-02",1.08,"standard.trained vs. conflict.trained","standard.trained"
"22","CA1","Hpca",0.41,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"23","CA1","Huwe1",-0.6,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"24","CA1","Kidins220",-0.43,"8.26e-02",1.08,"standard.trained vs. conflict.trained","standard.trained"
"25","CA1","Kif1a",-0.38,"9.67e-02",1.01,"standard.trained vs. conflict.trained","standard.trained"
"26","CA1","Kmt2a",-0.67,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"27","CA1","Lsamp",-0.53,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"28","CA1","Macf1",-0.57,"8.26e-02",1.08,"standard.trained vs. conflict.trained","standard.trained"
"29","CA1","Megf8",-0.49,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"30","CA1","Ncor2",-0.42,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"31","CA1","Nrgn",0.46,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"32","CA1","Olfm1",0.36,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"33","CA1","Pebp1",0.59,"2.33e-02",1.63,"standard.trained vs. conflict.trained","conflict.trained"
"34","CA1","Peg3",-0.51,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"35","CA1","Ppia",0.53,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"36","CA1","Scn1b",0.45,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"37","CA1","Smg1",-0.62,"9.38e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"38","CA1","mt-Nd3",0.7,"9.38e-02",1.03,"standard.trained vs. conflict.trained","conflict.trained"
"39","CA1","2410002F23Rik",1.74,"4.25e-02",1.37,"standard.yoked vs. conflict.yoked","conflict.yoked"
"40","CA1","4933434E20Rik",-1.35,"5.22e-02",1.28,"standard.yoked vs. conflict.yoked","standard.yoked"
"41","CA1","6330408A02Rik",6.77,"9.69e-02",1.01,"standard.yoked vs. conflict.yoked","conflict.yoked"
