,gene,PC1 PCor,p-value,IEG
0,Npas4,0.8835048147120559,2.7949761701218646e-05,IEG
1,Naf1,0.8830523978767546,2.8578343541337318e-05,
2,Tnip2,0.881223397857568,3.123851074935627e-05,
3,Errfi1,0.8673778731879535,5.867477849446326e-05,
4,Slc16a1,0.864684452663696,6.579562463708631e-05,
5,Ptgs2,0.8646268848247108,6.595516362477794e-05,
6,Mest,0.8447935513780126,0.00014320159323856835,
7,Lbh,0.8421043154069374,0.0001577777414764469,
8,A830010M20Rik,0.840901831168109,0.0001646730806419476,
9,Rgs2,0.8379430964215833,0.00018268365912888133,
10,Ccnk,0.8311653449003901,0.00022999718109870202,
11,Smad7,0.8310523780525839,0.00023086224769874845,
12,Slc2a3,0.8282660785378466,0.00025304627040956056,
13,Fosl2,0.823188280726874,0.000297893234295842,IEG
14,Uspl1,0.8179506072652606,0.000350663014230287,
15,Col10a1,0.8159935012631472,0.00037221400604505356,
16,Pcdh8,0.8140123734730959,0.0003951041193873689,
17,Plk2,0.8121920556899772,0.00041712316787737437,
18,Ipmk,0.8070693440661576,0.00048443997706435073,
19,Gadd45g,0.805273715020032,0.0005100032101531751,
20,Spty2d1,0.8046974495843395,0.0005184330723115609,
21,Tdrp,0.8014444426616646,0.0005681454193014408,
22,Peli1,0.8013280964658942,0.0005699918207487909,
23,Arc,0.8012661808141156,0.0005709763783859763,IEG
24,Nptx2,0.8000260244029754,0.0005909863057679319,
25,Adrb1,0.7987769062456889,0.0006117061371800556,
26,Btg1,0.7979398191309588,0.000625914720012003,
27,1190002N15Rik,0.7971592976075546,0.0006394006248797232,
28,Acan,0.7935450616165907,0.0007049209181240875,
29,Pak6,0.7920477782852641,0.0007335925297079214,
30,Fbxw7,0.7914647808627934,0.0007450059602850226,
31,Sgk1,0.788804159974679,0.0007989138110650522,
32,Fzd5,0.7880520423869584,0.0008147055386560937,
33,Nfil3,0.7875176540480684,0.0008260768379916223,
34,Bdnf,0.7845068302288519,0.00089254239101166,
35,Scg2,0.7844656463121572,0.0008934803027648671,
36,Nap1l5,0.7844199468169812,0.0008945219736808854,
37,Rasd1,0.7841883599696083,0.0008998156916723666,
38,Arl5b,0.7836732116089891,0.0009116810680792312,
39,Arl4d,0.7828828781914533,0.0009301276922585624,
40,Lonrf1,0.7814636196153963,0.0009640020732184925,
41,Kcnj2,0.7805951716660982,0.0009852113380439352,
42,Cxadr,0.7760118993717192,0.0011034068774954798,
43,Frmd6,0.7732130918542393,0.001180973009884764,
44,Fbxo33,0.7729563896530597,0.0011882993850499605,
45,Btg2,0.7728370818903159,0.001191716787491193,
46,Cul3,0.7727999869535863,0.001192780915349274,
47,Ubc,0.7724790123062224,0.0012020202712312539,
48,Dusp8,0.7719350297083617,0.0012178092356352165,
49,March11,0.7717567584466126,0.001223019334183515,
50,Cpeb4,0.7713894634165439,0.0012338098075271532,
51,Kcnk10,0.7699623693715958,0.0012764578705177082,
52,Gpr19,0.7684251674828418,0.001323702225673658,
53,Kctd12,0.7666621680062861,0.0013795900818908506,
54,Nuak1,0.7647207972046817,0.0014432891814304132,
55,Syt4,0.7632060298838561,0.0014945982197105327,
56,Egr4,0.7631138030757579,0.001497768407823469,
57,Eprs,0.7629092175901966,0.0015048198878009774,
58,Srf,0.7627457011916859,0.0015104747986554575,
59,Ahr,0.7618910472755688,0.0015403070917024233,
60,Ranbp2,0.7611127776959167,0.0015678789503998972,
61,Eif5,0.760748742165441,0.0015809096435141804,
62,Gcnt2,0.760063004656392,0.0016056894589716695,
63,Homer1,0.7587516329260461,0.0016539364679666261,
64,Olfml2b,0.7586627923037277,0.0016572462113278812,
65,Junb,0.7586276223491156,0.0016585579154474086,
66,Gm13889,0.7581223038721888,0.001677495589624958,
67,Ndnl2,0.7579072962430266,0.0016856052747385366,
68,Per1,0.7568003808760532,0.0017278503375122494,
69,Nr4a2,0.7548829558518444,0.0018030145569590057,
70,Tiparp,0.7541337286813261,0.001833080160483592,
71,Hmgcr,0.7530557682856344,0.0018770339863247267,
72,Cnnm1,0.752693157396955,0.0018920058833663447,
73,Arpp21,0.7520588283325049,0.0019184244757232964,
74,Dusp4,0.7520259212800828,0.0019198029308305023,
75,Irs1,0.7517928075809546,0.001929590420278564,
76,Irs2,0.7515614000907643,0.001939345368780449,
77,Atf3,0.7497010708931547,0.0020191963178664363,
78,Slc25a25,0.7489475444134578,0.0020522718411330686,
79,Jun,0.7482913570301647,0.0020814231228709853,
80,Sde2,0.7470567400649386,0.0021371600487615034,
81,Zfp281,0.7449171872710425,0.0022365444373608754,
82,Ankrd33b,0.7434295672501332,0.0023077756358155454,
83,Cited2,0.7429246516783564,0.0023323560483761354,
84,Dnaja4,0.7424837066413057,0.0023539912250607883,
85,Zfand5,0.7401833465218473,0.002469447686476259,
86,Zdbf2,0.7353192195129951,0.0027283187362370557,
87,Armcx5,0.7348153230579105,0.0027563146768762154,
88,Piga,0.7344472480262508,0.002776907436566919,
89,Snx18,0.7343182207419414,0.0027841548176155964,
90,Rgs4,0.7340103485658604,0.0028015081087169103,
91,Cwc25,0.7331757819100364,0.0028489781929907265,
92,Flrt3,0.7328889834400231,0.00286543693669905,
93,Nr4a3,0.7324627132453336,0.0028900381439339318,
94,Mtdh,0.7307916828398758,0.002988088922847122,
95,Dbpht2,0.7306771004408038,0.002994907092076379,
96,Ppp1r15a,0.7305050067109241,0.0030051704801214428,
97,Arpp19,0.728532743993213,0.003124784358498369,
98,Zbtb33,0.725864335916431,0.003292553505319627,
99,Fzd4,0.7251098083348744,0.0033412550418464226,
100,Gemin4,0.7250382777480124,0.0033459012910765965,
101,Adamts1,0.7244337466519286,0.0033853718386841654,
102,Dnaja1,0.723612655040625,0.0034395675953958925,
103,Apaf1,0.721656876661092,0.0035714085345657292,
104,Kcna4,0.7209544211899143,0.0036197193421611228,
105,Egr1,0.7176665994515039,0.003852707897331604,
106,Foxo1,0.7168569048191061,0.0039118533900301695,
107,Plagl1,0.7152828872334287,0.004028868446667144,
108,Rasl11a,0.7137067816589605,0.004148773109923482,
109,Abhd2,0.7133214971265653,0.004178505489395704,
110,Rgmb,0.7132859778107036,0.004181254901454666,
111,Ccno,0.712708294287045,0.004226170633311478,
112,Armcx4,0.7110510877213312,0.00435712281753625,
113,Fosb,0.7093693849657279,0.00449323988722265,
114,Dnajb4,0.7072926270660608,0.004665903819319838,
