,Subfield,Gene,sum_sq,df,F,PR(>F),sig
0,DG,Fos,12.358718713262387,3.0,7.148913454906983,0.007543345152068304,**
1,DG,Fosl2,12.756675827612273,3.0,11.182418112082113,0.0015541080078783215,**
2,DG,Npas4,23.008026414152447,3.0,13.184163911441845,0.0008262669487815808,***
3,DG,Arc,17.959550766807485,3.0,11.523547912046785,0.001387464760934331,**
4,DG,Grin1,0.007339472185331761,3.0,0.322161019735185,0.8093492559884238, 
5,DG,Gria1,0.0900790270340538,3.0,2.0816764435565704,0.1663672686410616, 
6,DG,Gria2,0.05283000810559908,3.0,0.4336536872407069,0.7336179060815762, 
7,DG,Pick1,0.3033993274809345,3.0,0.9628987511455452,0.44761170152213736, 
8,DG,Nsf,0.03969669874235067,3.0,0.5596597497207807,0.6536032087921073, 
9,DG,Numb,0.4263139377600004,3.0,2.6974150898616123,0.10231161560932885, 
10,DG,Fmr1,0.4119941785945892,3.0,2.132790318257276,0.1595342342137926, 
11,DG,Camk2a,0.17567793725035358,3.0,0.6178295600007853,0.6191174256599188, 
12,DG,Wwc1,0.20144150381836398,3.0,3.0453851394651736,0.07910276440895939, 
13,DG,Prkcb,0.6564185357648215,3.0,0.5519927376443617,0.6582686162596093, 
14,DG,Prkcz,0.035120203422759795,3.0,0.5159917096749789,0.6805402279518185, 
15,DG,Prkci,0.02227914000439855,3.0,0.08207068616574402,0.9682773946024683, 
16,CA3,Fos,7.110202906597351,3.0,2.1461372954835483,0.1725279688281225, 
17,CA3,Fosl2,1.5781244190928803,3.0,1.7199806534408382,0.2398254352560163, 
18,CA3,Npas4,2.546204270080209,3.0,0.7777840739588395,0.5385813013782752, 
19,CA3,Arc,0.3818721224963083,3.0,0.7237830300290571,0.5656120407345828, 
20,CA3,Grin1,0.3324948758798998,3.0,0.964531801606949,0.45526019147854724, 
21,CA3,Gria1,0.26973415457485517,3.0,1.811246979421827,0.2230566965400118, 
22,CA3,Gria2,0.8001272182544574,3.0,2.749159070667833,0.11237775531988362, 
23,CA3,Pick1,0.22005379217684923,3.0,3.9733821336912083,0.05268035613875042, 
24,CA3,Nsf,0.3134625224287649,3.0,1.8117590281693376,0.2229666818576195, 
25,CA3,Numb,4.311519040292447,3.0,1.6168667158086683,0.26063287287693027, 
26,CA3,Fmr1,0.43815448399571916,3.0,0.9774070060207798,0.45006155816247206, 
27,CA3,Camk2a,0.8333833044415616,3.0,2.862051471044238,0.1041746802304241, 
28,CA3,Wwc1,0.7938934708027495,3.0,1.407329099716004,0.30996973620101204, 
29,CA3,Prkcb,0.5477860423275904,3.0,1.2071554352070135,0.36773792684897044, 
30,CA3,Prkcz,0.5341576955050962,3.0,1.6908116641013962,0.24550232518806034, 
31,CA3,Prkci,1.29594111589999,3.0,4.524904253102117,0.0389834975403084,*
32,CA1,Fos,0.04187677767264103,3.0,0.18624460312566235,0.9031009336032948, 
33,CA1,Fosl2,0.4118829242647903,3.0,1.4960533804054374,0.2806508102796669, 
34,CA1,Npas4,3.6912686697506323,3.0,1.5973034687720844,0.2573609495855576, 
35,CA1,Arc,0.3232328264585078,3.0,0.64180200355976,0.607148149587285, 
36,CA1,Grin1,0.039582637724823774,3.0,1.1297531116127246,0.3877828266390882, 
37,CA1,Gria1,0.037277166102306095,3.0,0.9458395544682277,0.45847929463351966, 
38,CA1,Gria2,0.10776727190509003,3.0,1.2101751326088346,0.36075429945289883, 
39,CA1,Pick1,0.826969844040618,3.0,2.6918755835936765,0.10905269255150214, 
40,CA1,Nsf,0.0906213062109269,3.0,0.4653370207787481,0.7135570981110326, 
41,CA1,Numb,4.0350529415885665,3.0,7.247330121536489,0.008962703530567646,**
42,CA1,Fmr1,0.5148948929535841,3.0,3.5442303957555,0.06105780854891797, 
43,CA1,Camk2a,0.229783908062455,3.0,1.2779528348388751,0.3396223146974052, 
44,CA1,Wwc1,0.09704052041759749,3.0,0.5114147359702274,0.6843745616114606, 
45,CA1,Prkcb,0.44771218907859023,3.0,1.264665228709175,0.3436517796048939, 
46,CA1,Prkcz,0.016189744684334394,3.0,0.09944899195180407,0.9583163374301042, 
47,CA1,Prkci,0.006579401016283915,3.0,0.016046799116525564,0.9970216901081134, 
