,Subfield,Gene,Group,meandiff,p-adj,sig
0,DG,Fos,conflict.trained.VS.conflict.yoked,-0.6763,0.629, 
1,DG,Fosl2,conflict.trained.VS.conflict.yoked,-1.092,0.1348, 
2,DG,Npas4,conflict.trained.VS.conflict.yoked,-1.7454,0.0444,*
3,DG,Arc,conflict.trained.VS.conflict.yoked,-1.3012,0.1254, 
4,DG,Grin1,conflict.trained.VS.conflict.yoked,0.0553,0.8207, 
5,DG,Gria1,conflict.trained.VS.conflict.yoked,-0.1726,0.262, 
6,DG,Gria2,conflict.trained.VS.conflict.yoked,0.037,0.994, 
7,DG,Pick1,conflict.trained.VS.conflict.yoked,0.1241,0.9513, 
8,DG,Nsf,conflict.trained.VS.conflict.yoked,-0.0505,0.9683, 
9,DG,Numb,conflict.trained.VS.conflict.yoked,-0.1259,0.8741, 
10,DG,Fmr1,conflict.trained.VS.conflict.yoked,-0.3579,0.2754, 
11,DG,Camk2a,conflict.trained.VS.conflict.yoked,-0.2556,0.6766, 
12,DG,Wwc1,conflict.trained.VS.conflict.yoked,-0.2335,0.2015, 
13,DG,Prkcb,conflict.trained.VS.conflict.yoked,0.176,0.9798, 
14,DG,Prkcz,conflict.trained.VS.conflict.yoked,0.1197,0.7042, 
15,DG,Prkci,conflict.trained.VS.conflict.yoked,-0.0138,0.9999, 
16,DG,Fos,conflict.trained.VS.standard.trained,0.3952,0.8897, 
17,DG,Fosl2,conflict.trained.VS.standard.trained,0.8843,0.2635, 
18,DG,Npas4,conflict.trained.VS.standard.trained,0.7249,0.5824, 
19,DG,Arc,conflict.trained.VS.standard.trained,0.6251,0.6476, 
20,DG,Grin1,conflict.trained.VS.standard.trained,0.0403,0.9187, 
21,DG,Gria1,conflict.trained.VS.standard.trained,-0.0792,0.8039, 
22,DG,Gria2,conflict.trained.VS.standard.trained,-0.0745,0.9557, 
23,DG,Pick1,conflict.trained.VS.standard.trained,0.2367,0.7528, 
24,DG,Nsf,conflict.trained.VS.standard.trained,-0.1163,0.7333, 
25,DG,Numb,conflict.trained.VS.standard.trained,-0.3009,0.3302, 
26,DG,Fmr1,conflict.trained.VS.standard.trained,0.1412,0.8696, 
27,DG,Camk2a,conflict.trained.VS.standard.trained,-0.2434,0.7073, 
28,DG,Wwc1,conflict.trained.VS.standard.trained,0.1242,0.6718, 
29,DG,Prkcb,conflict.trained.VS.standard.trained,-0.4567,0.7565, 
30,DG,Prkcz,conflict.trained.VS.standard.trained,0.0161,0.9988, 
31,DG,Prkci,conflict.trained.VS.standard.trained,0.0466,0.9964, 
32,DG,Fos,conflict.trained.VS.standard.yoked,-2.1955,0.012,*
33,DG,Fosl2,conflict.trained.VS.standard.yoked,-1.7637,0.0129,*
34,DG,Npas4,conflict.trained.VS.standard.yoked,-2.6398,0.0037,**
35,DG,Arc,conflict.trained.VS.standard.yoked,-2.4484,0.0042,**
36,DG,Grin1,conflict.trained.VS.standard.yoked,0.0442,0.8971, 
37,DG,Gria1,conflict.trained.VS.standard.yoked,0.051,0.9353, 
38,DG,Gria2,conflict.trained.VS.standard.yoked,0.1085,0.88, 
39,DG,Pick1,conflict.trained.VS.standard.yoked,0.3865,0.4046, 
40,DG,Nsf,conflict.trained.VS.standard.yoked,0.0322,0.9913, 
41,DG,Numb,conflict.trained.VS.standard.yoked,-0.4461,0.0937, 
42,DG,Fmr1,conflict.trained.VS.standard.yoked,-0.1111,0.9299, 
43,DG,Camk2a,conflict.trained.VS.standard.yoked,-0.0871,0.9792, 
44,DG,Wwc1,conflict.trained.VS.standard.yoked,-0.0061,0.9999, 
45,DG,Prkcb,conflict.trained.VS.standard.yoked,-0.0471,0.9996, 
46,DG,Prkcz,conflict.trained.VS.standard.yoked,0.0893,0.8475, 
47,DG,Prkci,conflict.trained.VS.standard.yoked,0.0916,0.9743, 
48,DG,Fos,conflict.yoked.VS.standard.trained,1.0716,0.3593, 
