,trained,yoked,FC,candy
0610007P14Rik,5.805911846497759,5.775082025657123,0.030829820840636124,X
0610009B22Rik,3.923807337403988,3.28503222875834,0.6387751086456479,X
0610009L18Rik,1.7657843753002256,2.341277038826753,-0.5754926635265276,X
0610009O20Rik,6.253491205749205,6.105477595482539,0.14801361026666537,X
0610010F05Rik,6.548025439353793,6.386291793595622,0.16173364575817128,X
0610010K14Rik,4.5083226826849945,4.862765327849624,-0.35444264516462987,X
0610012G03Rik,5.916557877207118,6.392270025090486,-0.47571214788336835,X
0610030E20Rik,6.010844962509205,6.023996612131622,-0.013151649622416883,X
0610037L13Rik,6.555417157608297,6.968843080591565,-0.41342592298326775,X
0610040J01Rik,2.059956567807892,2.0268021852572247,0.03315438255066727,X
1110002E22Rik,4.4633509656246675,4.892780392286576,-0.4294294266619083,X
1110004E09Rik,4.793589945482953,5.431021587033747,-0.6374316415507941,X
1110004F10Rik,7.120237015764765,7.360473229407552,-0.24023621364278736,X
1110008F13Rik,6.251005649385531,6.604933272465794,-0.3539276230802626,X
1110008L16Rik,2.882583135732148,3.4720038924290315,-0.5894207566968834,X
1110008P14Rik,6.4619103859525895,6.949701390188481,-0.4877910042358913,X
1110012L19Rik,3.027962950468933,4.121007289588902,-1.093044339119969,X
1110017D15Rik,2.0282130521929536,0.5963934016340525,1.431819650558901,X
1110032A03Rik,3.9001004817785927,4.609311815627872,-0.7092113338492791,X
1110032F04Rik,3.144879777081969,3.288988050618825,-0.14410827353685596,X
1110034G24Rik,3.2331779950413337,4.039327029411031,-0.8061490343696973,X
1110037F02Rik,7.059066851907226,7.041890597400879,0.017176254506346744,X
1110038F14Rik,5.29688193602886,4.998414564199251,0.2984673718296085,X
1110051M20Rik,7.263028630067698,7.35638013185608,-0.09335150178838258,X
1110059E24Rik,4.676108436053451,5.092798402435549,-0.41668996638209777,X
1110059G10Rik,4.057974592322142,4.358973241008746,-0.30099864868660386,X
1110065P20Rik,5.448451537940069,5.573863068619321,-0.12541153067925226,X
1190002N15Rik,7.643132333259565,5.855333330148446,1.787799003111119,X
1190005I06Rik,1.916654618880472,1.790993434015751,0.1256611848647211,X
1190007I07Rik,3.296491252379533,3.5940358701557593,-0.2975446177762264,X
1300017J02Rik,0.0,0.5337862622893875,-0.5337862622893875,X
1500009C09Rik,6.322385261943142,6.766224798812999,-0.44383953686985667,X
1500009L16Rik,3.158291433260657,3.786849997319841,-0.6285585640591842,X
1500011B03Rik,6.805335258333923,6.882812989484805,-0.07747773115088208,X
1500011K16Rik,4.667264334080155,4.901136834018753,-0.23387249993859793,X
1500015O10Rik,1.1789491659448277,0.7159908786644388,0.4629582872803889,X
1520401A03Rik,0.3772584321802702,0.6040732161469794,-0.22681478396670918,X
1600002H07Rik,4.125840176226603,5.026575519618123,-0.9007353433915197,X
1600002K03Rik,3.053744203389751,1.7849297117860994,1.2688144916036515,X
1600012H06Rik,4.919188717260594,4.834051287805068,0.08513742945552583,X
1600014C10Rik,5.5739057796788885,5.950465035108725,-0.3765592554298367,X
1700001C19Rik,1.95423644598094,1.6251205794213561,0.3291158665595839,X
1700001K19Rik,2.7956967098180026,3.3271872094814117,-0.5314904996634091,X
1700001L19Rik,2.9971321601343743,3.1807356839345857,-0.1836035238002114,X
1700001O22Rik,2.0597962481861036,2.6933969374510505,-0.6336006892649468,X
