,R,G,B,hex_val,gene,candy
1190002N15Rik,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,1190002N15Rik,X
1500009C09Rik,0.39908000000000005,0.99710138,0.39967862000000004,#66fe66,1500009C09Rik,X
1700028J19Rik,0.36072,0.8640502325581395,0.39846976744186047,#5cdc66,1700028J19Rik,X
2010111I01Rik,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,2010111I01Rik,X
2410015M20Rik,0.36044000000000004,0.7753651162790698,0.48617488372093026,#5cc67c,2410015M20Rik,X
2700060E02Rik,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,2700060E02Rik,X
4930415O20Rik,0.5915915915915916,0.7351351351351352,0.4732732732732733,#97bb79,4930415O20Rik,X
4930430F08Rik,0.39968000000000004,0.9925854363089267,0.40629456369107325,#66fd68,4930430F08Rik,X
4930444P10Rik,0.3608,0.889413953488372,0.37338604651162793,#5ce35f,4930444P10Rik,X
5730480H06Rik,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,5730480H06Rik,X
8430408G22Rik,0.4468961283851555,0.949955145436309,0.40296872617853563,#72f267,8430408G22Rik,X
9030612E09Rik,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,9030612E09Rik,X
9530077C05Rik,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,9530077C05Rik,X
9830107B12Rik,0.40517299899699094,0.9218136810431293,0.47193331995987964,#67eb78,9830107B12Rik,X
A830010M20Rik,0.9806224732229796,0.39996000000000004,0.4192375267770205,#fa666b,A830010M20Rik,X
A930004D18Rik,0.5889373684210526,0.39982368421052633,0.8078189473684211,#9666ce,A930004D18Rik,X
A930011G23Rik,0.37768019277108433,0.831984578313253,0.4837752289156626,#60d47b,A930011G23Rik,X
AI467606,0.5915915915915916,0.7351351351351352,0.4732732732732733,#97bb79,AI467606,X
AI846148,0.39940000000000003,0.9978972837022133,0.4000027162977868,#66fe66,AI846148,X
AI854703,0.9800383057448881,0.39996000000000004,0.419821694255112,#fa666b,AI854703,X
Aaed1,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Aaed1,X
Aard,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Aard,X
Abca7,0.3934254850299401,0.3941309700598803,0.9796835449101796,#6465fa,Abca7,X
Abra,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Abra,X
Acan,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Acan,X
Acp7,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Acp7,X
Actr10,0.9775060759493671,0.39988,0.42207392405063293,#f9666c,Actr10,X
Actr3,0.6952801169590643,0.40022426900584795,0.7028756140350877,#b166b3,Actr3,X
Adamts1,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Adamts1,X
Adamts10,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Adamts10,X
Adamtsl5,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Adamtsl5,X
Adgra2,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Adgra2,X
Adrb1,0.9794541382667965,0.39996000000000004,0.42040586173320355,#fa666b,Adrb1,X
Agpat4,0.46915881188118813,0.40038574257425746,0.9268554455445545,#7866ec,Agpat4,X
Agpat9,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Agpat9,X
Ahr,0.8513768421052631,0.4005447368421053,0.5478984210526316,#d9668c,Ahr,X
Ahsa2,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Ahsa2,X
Aif1,0.39932,0.9976986144578314,0.3999213855421687,#66fe66,Aif1,X
Aim1l,0.37259953488372094,0.6237902325581396,0.6237902325581396,#5f9f9f,Aim1l,X
Akap10,0.4001691489361702,0.6209521276595745,0.6465787234042554,#669ea5,Akap10,X
Akirin1,0.9784528695652175,0.39996000000000004,0.4214071304347826,#fa666b,Akirin1,X
Akt1,0.9510813529411765,0.40878264705882356,0.439956,#f36870,Akt1,X
Amd2,0.6089494163424125,0.4974708171206226,0.693579766536965,#9b7fb1,Amd2,X
Amigo2,0.8279497674418604,0.43709023255813956,0.36144,#d36f5c,Amigo2,X
Anapc10,0.36032000000000003,0.548859534883721,0.7122604651162792,#5c8cb6,Anapc10,X
Ankar,0.5915915915915916,0.7351351351351352,0.4732732732732733,#97bb79,Ankar,X
Ankrd13c,0.9806224732229796,0.39996000000000004,0.4192375267770205,#fa666b,Ankrd13c,X
Ankrd27,0.46612818991097926,0.39979228486646884,0.9304795252225518,#7766ed,Ankrd27,X
Ankrd33b,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Ankrd33b,X
Anks1b,0.9456793145654834,0.3912,0.4235206854345165,#f1646c,Anks1b,X
Ap1ar,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Ap1ar,X
Ap1b1,0.7977234664070108,0.39964,0.6010165335929892,#cb6699,Ap1b1,X
Apaf1,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Apaf1,X
Aprt,0.36036,0.7500516279069768,0.5112083720930234,#5cbf82,Aprt,X
Aqp4,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Aqp4,X
Arc,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Arc,O
Areg,0.36076,0.8767306976744186,0.3859293023255815,#5ce062,Areg,X
Arglu1,0.38684,0.38684,0.9671,#6363f7,Arglu1,X
Arhgap39,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Arhgap39,X
Arhgef15,0.3998,0.6355999999999999,0.7609999999999999,#66a2c2,Arhgef15,X
Arid1a,0.8038220487804879,0.40113061463414634,0.594867336585366,#cd6698,Arid1a,X
Arid1b,0.3998110204081633,0.4163085714285714,0.9802804081632653,#666afa,Arid1b,X
Arid5b,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Arid5b,X
Arih1,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Arih1,X
Arl16,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Arl16,X
Arl4a,0.9783068287937743,0.40521239299610895,0.41630077821011674,#f9676a,Arl4a,X
Arl4d,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Arl4d,X
Arl5b,0.9790325217391305,0.39996000000000004,0.4208274782608696,#fa666b,Arl5b,X
Armcx3,0.9772935652173913,0.39996000000000004,0.42256643478260875,#f9666c,Armcx3,X
Armcx4,0.8911727854855923,0.4683690501600854,0.4276781643543223,#e3776d,Armcx4,X
Armcx5,0.9800383057448881,0.39996000000000004,0.419821694255112,#fa666b,Armcx5,X
Arntl,0.9454066257668712,0.39112,0.42351337423312885,#f1646c,Arntl,X
Arpp19,0.867293982473223,0.39996000000000004,0.532566017526777,#dd6688,Arpp19,X
Arpp21,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Arpp21,X
Asb14,0.39980120481927717,0.41783734939759043,0.9787614457831325,#666bfa,Asb14,X
Asic4,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Asic4,X
Asna1,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Asna1,X
Aste1,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Aste1,X
Ate1,0.39908000000000005,0.99710138,0.39967862000000004,#66fe66,Ate1,X
Atf3,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Atf3,X
Atg16l1,0.922969324055666,0.4727161431411531,0.40413453280318096,#eb7967,Atg16l1,X
Atl2,0.4054162487462387,0.9235707121364092,0.47101303911735204,#67ec78,Atl2,X
Atp8b3,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Atp8b3,X
Atpif1,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Atpif1,X
Aven,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Aven,X
Avp,0.36076,0.8767306976744186,0.3859293023255815,#5ce062,Avp,X
Avpi1,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Avpi1,X
B3gnt2,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,B3gnt2,X
B430203G13Rik,0.9800383057448881,0.39996000000000004,0.419821694255112,#fa666b,B430203G13Rik,X
BC003331,0.36060000000000003,0.47155384615384616,0.7905461538461538,#5c78ca,BC003331,X
Bach1,0.7650068085106383,0.36136,0.4997531914893617,#c35c7f,Bach1,X
Bag3,0.40837599198396796,0.9884782965931864,0.4029657114228457,#68fc67,Bag3,X
Bahcc1,0.4685659405940594,0.40038574257425746,0.9274483168316832,#7766ec,Bahcc1,X
Banp,0.46908961424332346,0.39979228486646884,0.9275181008902076,#7866ed,Banp,X
Bbs1,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Bbs1,X
