,hls_val,gene,candy,top
1190002N15Rik,#ff666b,1190002N15Rik,X,X
1500009C09Rik,#66ff66,1500009C09Rik,X,X
1700028J19Rik,#66ff71,1700028J19Rik,X,X
2010111I01Rik,#ff666b,2010111I01Rik,X,X
2410015M20Rik,#66ff94,2410015M20Rik,X,X
2700060E02Rik,#66ff66,2700060E02Rik,X,X
4930415O20Rik,#aee481,4930415O20Rik,X,X
4930430F08Rik,#66ff68,4930430F08Rik,X,G
4930444P10Rik,#66ff6a,4930444P10Rik,X,X
5730480H06Rik,#66ff66,5730480H06Rik,X,X
8430408G22Rik,#73fe67,8430408G22Rik,X,X
9030612E09Rik,#66ff66,9030612E09Rik,X,X
9530077C05Rik,#66ff66,9530077C05Rik,X,X
9830107B12Rik,#68fd7b,9830107B12Rik,X,X
A830010M20Rik,#ff666b,A830010M20Rik,X,X
A930004D18Rik,#ad66ff,A930004D18Rik,X,X
A930011G23Rik,#66ff8a,A930011G23Rik,X,X
AI467606,#aee481,AI467606,X,X
AI846148,#66ff66,AI846148,X,G
AI854703,#ff666b,AI854703,X,X
Aaed1,#66ff66,Aaed1,X,X
Aard,#66ffeb,Aard,X,X
Abca7,#6666ff,Abca7,X,X
Abra,#ff666b,Abra,X,X
Acan,#ff666b,Acan,X,X
Acp7,#66ffeb,Acp7,X,X
Actr10,#ff666c,Actr10,X,X
Actr3,#fb66ff,Actr3,X,X
Adamts1,#ff666b,Adamts1,X,X
Adamts10,#66fff8,Adamts10,X,X
Adamtsl5,#66ffeb,Adamtsl5,X,X
Adgra2,#66ff66,Adgra2,X,X
Adrb1,#ff666b,Adrb1,X,X
Agpat4,#7a66ff,Agpat4,X,X
Agpat9,#66f8ff,Agpat9,X,X
Ahr,#ff6698,Ahr,X,X
Ahsa2,#66fff8,Ahsa2,X,X
Aif1,#66ff66,Aif1,X,X
Aim1l,#6df8f8,Aim1l,X,X
Akap10,#75e3f0,Akap10,X,X
Akirin1,#ff666c,Akirin1,X,X
Akt1,#fd6871,Akt1,X,X
Amd2,#b88cd9,Amd2,X,X
Amigo2,#ff7f66,Amigo2,X,X
Anapc10,#66b8ff,Anapc10,X,X
Ankar,#aee481,Ankar,X,X
Ankrd13c,#ff666b,Ankrd13c,X,X
Ankrd27,#7966ff,Ankrd27,X,X
Ankrd33b,#ff666c,Ankrd33b,X,X
Anks1b,#ff666f,Anks1b,X,X
Ap1ar,#ff666b,Ap1ar,X,X
Ap1b1,#ff66b3,Ap1b1,X,X
Apaf1,#ff666b,Apaf1,X,X
Aprt,#66ffa1,Aprt,X,X
Aqp4,#66ffeb,Aqp4,X,X
Arc,#ff666b,Arc,O,X
Areg,#66ff6d,Areg,X,X
Arglu1,#6666ff,Arglu1,X,X
Arhgap39,#66f8ff,Arhgap39,X,X
Arhgef15,#66caff,Arhgef15,X,X
Arid1a,#ff66b0,Arid1a,X,X
Arid1b,#666aff,Arid1b,X,B
Arid5b,#ff666b,Arid5b,X,R
Arih1,#ff666c,Arih1,X,X
Arl16,#66ffeb,Arl16,X,X
Arl4a,#fe676a,Arl4a,X,X
Arl4d,#ff666b,Arl4d,X,R
Arl5b,#ff666c,Arl5b,X,X
Armcx3,#ff666c,Armcx3,X,X
Armcx4,#f67b6f,Armcx4,X,X
Armcx5,#ff666b,Armcx5,X,X
Arntl,#ff666f,Arntl,X,X
Arpp19,#ff6691,Arpp19,X,X
Arpp21,#ff666c,Arpp21,X,X
Asb14,#666bff,Asb14,X,B
Asic4,#ff666b,Asic4,X,R
Asna1,#66ff66,Asna1,X,X
Aste1,#66f8ff,Aste1,X,X
Ate1,#66ff66,Ate1,X,X
Atf3,#ff666b,Atf3,X,R
Atg16l1,#fe7b67,Atg16l1,X,X
Atl2,#68fd7b,Atl2,X,X
Atp8b3,#66ffeb,Atp8b3,X,X
Atpif1,#66ff66,Atpif1,X,X
Aven,#66ff66,Aven,X,X
Avp,#66ff6d,Avp,X,X
Avpi1,#ff666b,Avpi1,X,X
B3gnt2,#ff666c,B3gnt2,X,X
B430203G13Rik,#ff666b,B430203G13Rik,X,X
BC003331,#668dff,BC003331,X,X
Bach1,#ff669a,Bach1,X,X
Bag3,#68fe67,Bag3,X,X
Bahcc1,#7a66ff,Bahcc1,X,X
Banp,#7a66ff,Banp,X,X
Bbs1,#66ff66,Bbs1,X,X
Bdnf,#ff666b,Bdnf,X,X
Birc5,#8866ff,Birc5,X,X
Borcs8,#ff666c,Borcs8,X,X
Bst1,#6770fe,Bst1,X,X
Btbd2,#66fff8,Btbd2,X,X
Btg1,#ff666b,Btg1,X,X
Btg2,#ff666b,Btg2,X,X
C130073F10Rik,#67fe67,C130073F10Rik,X,G
C2cd4b,#ff666b,C2cd4b,X,X
Cacna1b,#66ff6a,Cacna1b,X,X
Calcrl,#666bff,Calcrl,X,B
Calu,#ff666b,Calu,X,X
Camk2a,#66ff8e,Camk2a,O,X
Capsl,#b2b2b2,Capsl,X,X
Card6,#aee481,Card6,X,X
Cbx1,#67fe68,Cbx1,X,X
Cc2d1a,#66ff66,Cc2d1a,X,X
Ccar2,#ff666b,Ccar2,X,X
Ccdc137,#66ff66,Ccdc137,X,X
Ccdc32,#ca66ff,Ccdc32,X,X
Ccdc7a,#67fe79,Ccdc7a,X,X
Ccdc93,#ff66b3,Ccdc93,X,X
Ccl27a,#ff666d,Ccl27a,X,X
Ccnk,#ff666c,Ccnk,X,X
Ccno,#ff666c,Ccno,X,X
Ccnt1,#6672ff,Ccnt1,X,X
Ccpg1os,#66ff66,Ccpg1os,X,X
Cd1d1,#7966ff,Cd1d1,X,X
Cd27,#ac66ff,Cd27,X,X
Cd5,#aee481,Cd5,X,X
