,R,G,B,hex_val,hls_val
1190002N15Rik,0.9992092827942539,0.11290202551936403,0.13424866795481388,#ff1d22,#ff1d22
1500009C09Rik,0.99984594137362,0.11389099937013225,0.13493034224215272,#ff1d22,#ff1d22
1700028J19Rik,0.7685016306571366,0.3749423316620523,0.6375057262096437,#c460a3,#c460a3
2010111I01Rik,0.0405526672918205,0.018631937988604304,0.3618857920453257,#0a055c,#160ac2
2410015M20Rik,0.55070067085809,0.5437983578188798,0.9871487438826586,#8c8bfc,#8c8bfc
2700060E02Rik,0.42986316716777173,0.830168996140441,0.39655839041669483,#6ed465,#6ed465
4930415O20Rik,0.03563210450037834,0.009177498662186033,0.3593736532263264,#09025c,#1405c7
4930430F08Rik,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
4930444P10Rik,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
5730480H06Rik,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
8430408G22Rik,0.9923581388654941,0.12356196533782801,0.13355246214223976,#fd2022,#fd2022
9030612E09Rik,0.6041895544562482,0.5187097940496243,0.9377837446487889,#9a84ef,#9a84ef
9530077C05Rik,0.9543949703300108,0.18174715190490667,0.28516720876573026,#f32e49,#f32e49
9830107B12Rik,0.03673583297056196,0.009990711835328908,0.3606920169092123,#09035c,#1405c7
A830010M20Rik,0.2832358066121919,0.8049967705148432,0.026397498250132722,#48cd07,#48cd07
A930004D18Rik,0.550876957696938,0.6297418665013258,0.9266690724996871,#8ca1ec,#8ca1ec
A930011G23Rik,0.25710145319164784,0.018494672380147296,0.2838921000624628,#420548,#ad0cc0
AI467606,0.03563210450037834,0.009177498662186033,0.3593736532263264,#09025c,#1405c7
AI846148,0.45149362893352885,0.9137340224993808,0.1590300715524187,#73e929,#73e929
AI854703,0.5448251442242764,0.5772743154363327,0.9928840217899906,#8b93fd,#8b93fd
Aaed1,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Aard,0.4103873813596477,0.932459849282404,0.23792916239182585,#69ee3d,#69ee3d
Abca7,0.39359042994825055,0.9942898491073838,0.06798273246024127,#64fe11,#64fe11
Abra,0.3170529960592111,0.45516278791688564,0.6358200499272607,#5174a2,#5174a2
Acan,0.051378529516291876,0.021732504603305156,0.37939872110308914,#0d0661,#1a0bc1
Acp7,0.03550997272352511,0.010757015325257028,0.36106068235470173,#09035c,#1306c6
Actr10,0.3703289189557681,0.9888604771385885,0.022608730024075537,#5efc06,#5efc06
