,R,G,B,hex_val,hls_val
1190002N15Rik,0.9998352286431614,0.3068076813692283,0.07058855075928797,#ff4e12,#ff8d66
1500009C09Rik,0.2204899927912266,0.9953266326153398,0.0003520984571091344,#38fe00,#88ff66
1700028J19Rik,1.4010738247321383e-05,0.01194101736570591,0.08110137156361298,#000315,#667dff
2010111I01Rik,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
2410015M20Rik,0.00043950855230213547,0.0074012697300956205,0.08776569167738134,#000216,#6773fe
2700060E02Rik,0.00010383511511461821,0.014214150392747519,0.07856663204166348,#000414,#6682ff
4930415O20Rik,0.47505048949321727,0.7738727663276908,0.040015246120974894,#79c50a,#bff76e
4930430F08Rik,0.22882806877341041,0.9979398398085362,0.01717017509786249,#3afe04,#87ff66
4930444P10Rik,3.172738345208442e-05,0.01340056490824382,0.07935153853302936,#000314,#6680ff
5730480H06Rik,0.00010383511511461821,0.014214150392747519,0.0785666320416635,#000414,#6682ff
8430408G22Rik,0.29186036282002753,0.9493523494559643,0.018573491194278403,#4af205,#94fc69
9030612E09Rik,0.00010383511511461821,0.014214150392747519,0.0785666320416635,#000414,#6682ff
9530077C05Rik,0.00010383511511461821,0.014214150392747519,0.07856663204166354,#000414,#6682ff
9830107B12Rik,0.2417843442717428,0.9653828542634284,0.06275326970837711,#3ef610,#88fa6b
A830010M20Rik,0.9997079590411931,0.30674089244538255,0.07143638963111787,#ff4e12,#ff8d66
A930004D18Rik,0.5926193066311601,0.4335660516026849,0.823367195276842,#976fd2,#ab8adb
A930011G23Rik,0.09907919587527869,0.38289443134684503,0.08167712880846263,#196215,#87e481
AI467606,0.47505048949321727,0.7738727663276908,0.04001524612097487,#79c50a,#bff76e
AI846148,0.22349677743772975,0.9984819861097238,0.004126952923589034,#39ff01,#88ff66
AI854703,0.9988578732505125,0.3070267283280972,0.07195095404716072,#ff4e12,#ff8d66
Aaed1,0.22077955706996558,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66
Aard,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe
Abca7,0.317348892091618,0.42452856396048844,0.9175669282653965,#516cea,#768cef
Abra,0.9998352286431608,0.3068076813692274,0.07058855075928487,#ff4e12,#ff8d66
Acan,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Acp7,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe
Actr10,0.9974210808998498,0.30623096678010153,0.0758599296437788,#fe4e13,#ff8c66
Actr3,0.7136295771831147,0.3939542655765172,0.6467737075787738,#b664a5,#ce97c2
Adamts1,1.0,0.30726330588927375,0.06680635894887618,#ff4e11,#ff8d66
Adamts10,0.0008994717705961307,0.0003150727822674869,0.09838969072212352,#000019,#6766ff
Adamtsl5,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe
Adgra2,0.22077955706996558,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66
Adrb1,0.9992341404883289,0.30656686204762773,0.07320706880644506,#ff4e13,#ff8d66
Agpat4,0.45136686166196494,0.4845564621549017,0.9783117330941912,#737cf9,#737cf9
Agpat9,0.0014671524414767104,0.000133142698470655,0.09944586156673442,#000019,#6866ff
Ahr,0.880582924310943,0.33968430296077057,0.34561951626481124,#e15758,#e87d7f
Ahsa2,0.0008994717705954724,0.0003150727822677021,0.09838969072212393,#000019,#6766ff
Aif1,0.2227116993958449,0.9978716842640726,0.003175301651928943,#39fe01,#88ff66
Aim1l,0.0021483412575856713,0.0,0.0984293282063545,#010019,#6966ff
Akap10,0.08532035212455862,0.2134018939614041,0.14696593115503628,#163625,#92d3b1
Akirin1,0.999663622406829,0.3070493218158487,0.06846883069218909,#ff4e11,#ff8d66
Akt1,0.9560245648399032,0.3351017511251241,0.07156442518579663,#f45512,#f8966d
Amd2,0.5540457071326392,0.5635170132319658,0.43563678373052955,#8d906f,#bbbca9
Amigo2,0.0346439043781401,0.002269607996079639,0.08513750235383007,#090116,#a36afb
Anapc10,0.004188074479207714,0.0008741541760665525,0.10736231684554921,#01001b,#6c67fe
Ankar,0.47505048949321727,0.7738727663276908,0.04001524612097496,#79c50a,#bff76e
Ankrd13c,0.9997079590411931,0.30674089244538255,0.07143638963111787,#ff4e12,#ff8d66
Ankrd27,0.4482024808114781,0.4860115851800138,0.9806754966019947,#727cfa,#727cfa
Ankrd33b,0.9990110851276399,0.3065405172219262,0.07412400363891966,#ff4e13,#ff8d66
Anks1b,0.7907793670478012,0.22652241633519035,0.1103736764539778,#ca3a1c,#ec8c79
Ap1ar,0.9998352286431608,0.3068076813692275,0.0705885507592849,#ff4e12,#ff8d66
Ap1b1,0.825417309193134,0.35133890062658196,0.4538555559953111,#d25a74,#df8699
Apaf1,0.9998352286431608,0.3068076813692274,0.07058855075928487,#ff4e12,#ff8d66
Aprt,0.0004888173300768316,0.006018832251655249,0.08965261847363326,#000217,#6770fe
Aqp4,0.0006311760995129358,0.0004984681455034147,0.09722218713604386,#000019,#6767fe
Arc,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Areg,0.0,0.012648741819971594,0.08024923107983815,#000314,#667eff
Arglu1,0.26477294611500607,0.3461932317339232,0.7988217388579231,#4458cc,#8794de
Arhgap39,0.0014671524414766165,0.000133142698470655,0.09944586156673453,#000019,#6866ff
Arhgef15,0.3276062651927317,0.7071724642413253,0.6930117270985194,#54b4b1,#94d1ce
Arid1a,0.832011954269728,0.3539084448050358,0.44622678093619905,#d45a72,#df8697
Arid1b,0.3698287893694465,0.535122218073453,0.989789207595774,#5e88fc,#6890fd
Arid5b,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Arih1,0.9990110851276399,0.3065405172219262,0.07412400363891963,#ff4e13,#ff8d66
Arl16,0.0006311760995129358,0.0004984681455034147,0.09722218713604393,#000019,#6767fe
Arl4a,0.9931455362581413,0.31394056565554074,0.06255182309484411,#fd5010,#fe9067
Arl4d,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66
Arl5b,0.9999981193991858,0.3071875961269451,0.06760749550569724,#ff4e11,#ff8d66
Armcx3,0.9973678347790718,0.3086875293594449,0.06838487750969464,#fe4f11,#ff8e66
Armcx4,0.8140697774918235,0.3867573538720754,0.04339629016155011,#d0630b,#f7ab6e
Armcx5,0.9994988510499891,0.30659369729580266,0.07225102250259832,#ff4e12,#ff8d66
Arntl,0.7888386781206022,0.22579457517915535,0.1106496445999692,#c93a1c,#ec8c79
Arpp19,0.8960737285301636,0.33499450985950885,0.3114551755231142,#e4554f,#eb7f7a
Arpp21,0.9990110851276399,0.3065405172219262,0.07412400363891966,#ff4e13,#ff8d66
Asb14,0.36936394505065234,0.5385811361804298,0.9832057463604847,#5e89fb,#6a92fb
Asic4,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Asna1,0.22077955706996558,0.9962564079584317,0.0009212363650458398,#38fe00,#88ff66
Aste1,0.0014671524414767104,0.000133142698470655,0.0994458615667344,#000019,#6866ff
Ate1,0.22048999279122666,0.9953266326153403,0.0003520984571062847,#38fe00,#88ff66
Atf3,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66
Atg16l1,0.9060438187306612,0.3906817254233531,0.03187078029335248,#e76408,#faa66b
Atl2,0.2435336254127256,0.9692618686030504,0.0658624150222459,#3ef711,#87fa6b
Atp8b3,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe
Atpif1,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Aven,0.22077955706996558,0.9962564079584317,0.0009212363650459637,#38fe00,#88ff66
Avp,0.0,0.012648741819971594,0.08024923107983821,#000314,#667eff
Avpi1,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66
B3gnt2,0.9990110851276399,0.3065405172219262,0.07412400363891955,#ff4e13,#ff8d66
B430203G13Rik,0.9994988510499891,0.3065936972958027,0.07225102250259835,#ff4e12,#ff8d66
BC003331,0.008807491741997624,0.0017052771912580444,0.1146784583540272,#02001d,#7268fd
Bach1,0.03200975891283228,0.0026460252061661716,0.09204526958540225,#080117,#9a6afb
Bag3,0.2356833409796211,0.9996537666108313,0.006577390441643674,#3cff02,#89ff66
Bahcc1,0.4507145578224372,0.4848766809240753,0.9789435032012137,#737cfa,#737cfa
Banp,0.4515027722315334,0.4842211743787976,0.9785854027875618,#737bfa,#737bfa
Bbs1,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Bdnf,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Birc5,0.4994043970003089,0.47061962109221045,0.9355154952156609,#7f78ef,#7f78ef
Borcs8,0.9990110851276399,0.30654051722192616,0.07412400363891958,#ff4e13,#ff8d66
Bst1,0.36692145422264316,0.5555374614167659,0.9513850853299961,#5e8ef3,#719bf4
Btbd2,0.0008994717705954724,0.0003150727822677021,0.09838969072212403,#000019,#6766ff
Btg1,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Btg2,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
C130073F10Rik,0.2303809626466846,0.9999652650657826,0.006197962532158194,#3bff02,#89ff66
C2cd4b,1.0,0.30726330588927375,0.06680635894887628,#ff4e11,#ff8d66
Cacna1b,3.172738345208442e-05,0.01340056490824382,0.07935153853302934,#000314,#6680ff
Calcrl,0.3688593364547549,0.5382820233241145,0.9861577274862486,#5e89fb,#6991fc
Calu,1.0,0.3072633058892737,0.06680635894887632,#ff4e11,#ff8d66
Camk2a,3.9528333533758024e-05,0.007753578571065511,0.08683454825344125,#000216,#6674ff
Capsl,0.0015806605867047152,0.0001819300837969933,0.09737315736174373,#000019,#6866ff
Card6,0.47505048949321727,0.7738727663276908,0.04001524612097496,#79c50a,#bff76e
Cbx1,0.2361729984001746,0.9975022312419457,0.01854624070407971,#3cfe05,#88ff66
Cc2d1a,0.22077955706996558,0.9962564079584317,0.0009212363650458398,#38fe00,#88ff66
Ccar2,1.0,0.3072633058892737,0.0668063589488762,#ff4e11,#ff8d66
Ccdc137,0.22115220903817878,0.9966549609178329,0.0013358474040226869,#38fe00,#88ff66
Ccdc32,0.031170867866006258,0.0053069050819708335,0.11805056459589398,#08011e,#8d6df8
Ccdc7a,0.2400359147129102,0.9685555920596715,0.057704421770301224,#3df70f,#88fa6b
Ccdc93,0.8269547985286345,0.35136178825748526,0.4520385671197041,#d35a73,#df8699
Ccl27a,0.9956528401703495,0.3076277620886905,0.08141949303511808,#fe4e15,#fe8c67
Ccnk,0.9999981193991855,0.30718759612694513,0.06760749550569739,#ff4e11,#ff8d66
Ccno,0.9997908920087957,0.3071161107396939,0.06762099182035672,#ff4e11,#ff8d66
Ccnt1,0.3186558254032207,0.47039611539887,0.8830745912351893,#5178e1,#7c99e9
Ccpg1os,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Cd1d1,0.4454079781689584,0.4824325625129554,0.97805478296149,#727bf9,#727bf9
Cd27,0.5928974979106377,0.4375743659535853,0.82794745123136,#9770d3,#aa8adb
Cd5,0.47505048949321727,0.7738727663276908,0.040015246120974936,#79c50a,#bff76e
Cdhr3,0.9990110851276399,0.3065405172219262,0.07412400363891966,#ff4e13,#ff8d66
Cdk11b,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Cds1,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe
Cdv3,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Cebpzos,0.5877974482315185,0.6685852557805236,0.06437225329408316,#96aa10,#e1f273
Cecr6,0.9998352286431608,0.3068076813692274,0.07058855075928482,#ff4e12,#ff8d66
Cenpf,0.23406567584194685,0.9666672497850076,0.0565511275228892,#3cf70e,#87fa6b
Cenpl,0.22024875836649402,0.9943178359213377,8.260067593012419e-17,#38fe00,#88ff66
Cep295,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Chst14,0.9990110851276399,0.3065405172219262,0.07412400363891966,#ff4e13,#ff8d66
Ciart,0.9992201931188435,0.30668771237150627,0.07330937076743947,#ff4e13,#ff8d66
Cirh1a,0.33829418824773194,0.8595191281767282,0.13372503692358914,#56db22,#9aea7b
Cisd2,0.0005283456636104957,0.0011236690027498664,0.09623793564723705,#000019,#6768fe
Cited2,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Clcc1,0.8247206058538648,0.35193094329253044,0.45448646854082725,#d25a74,#de879a
Cldn12,0.9995007316508038,0.3066694070581313,0.0714498859457773,#ff4e12,#ff8d66
Clec16a,0.008807491741997624,0.0017052771912578828,0.11467845835402701,#02001d,#7268fd
Clip2,0.00010383511511461821,0.014214150392747626,0.07856663204166364,#000414,#6682ff
Clptm1l,0.9963239539401443,0.3089918801347379,0.07179093571725223,#fe4f12,#fe8e67
Clrn1,0.615310688083205,0.4298419757192258,0.7992726589887131,#9d6ecc,#b38ed7
Cnnm1,0.9990110851276399,0.3065405172219262,0.07412400363891963,#ff4e13,#ff8d66
Cnnm4,0.874737554160753,0.3377931529584978,0.3517894028619688,#df565a,#e77e81
Coa3,0.22048999279122666,0.9953266326153403,0.00035209845710636726,#38fe00,#88ff66
Cog1,0.00010383511511471223,0.014214150392747035,0.07856663204166293,#000414,#6682ff
Col10a1,0.9994988510499891,0.3065936972958027,0.07225102250259832,#ff4e12,#ff8d66
Col15a1,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Comp,0.3860479061698589,0.5464712397873456,0.946452371947665,#628bf1,#7297f3
Copg2,0.3915442677038986,0.5149389142859835,0.9995064923695036,#6483ff,#6685ff
Coq2,0.004188074479207714,0.0008741541760665525,0.10736231684554921,#01001b,#6c67fe
Cox7a2l,0.0008994717705954724,0.0003150727822677021,0.098389690722124,#000019,#6766ff
Cpeb4,0.9990110851276399,0.3065405172219262,0.07412400363891966,#ff4e13,#ff8d66
Crebzf,0.22077955706996555,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66
Crlf3,0.00010383511511461821,0.014214150392747626,0.07856663204166359,#000414,#6682ff
Csnk1a1,0.9990129657284538,0.30661622698425495,0.07332286708209892,#ff4e13,#ff8d66
Ctf1,0.22077955706996555,0.9962564079584317,0.0009212363650457985,#38fe00,#88ff66
Ctnnd1,0.9091001135925223,0.387947647332206,0.03126747092928283,#e86308,#faa56b
Cul3,0.9990110851276399,0.3065405172219262,0.07412400363891955,#ff4e13,#ff8d66
Cul9,0.9228615848040878,0.32841638261322914,0.2475510436057001,#eb543f,#f18374
Cwc25,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Cxadr,0.999484903680504,0.30671454761968114,0.07235332446359276,#ff4e12,#ff8d66
Cyp11a1,0.45019178763211504,0.48494468297980853,0.9795980461425591,#737cfa,#737cfa
Cyp2t4,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe
D130040H23Rik,0.00010383511511461821,0.014214150392747626,0.07856663204166354,#000414,#6682ff
Dars,0.22077955706996558,0.9962564079584317,0.0009212363650458398,#38fe00,#88ff66
Dbpht2,0.9998352286431608,0.3068076813692275,0.07058855075928495,#ff4e12,#ff8d66
Dck,0.9985276624303041,0.3087115480875136,0.06560362760140521,#ff4f11,#ff8e66
Dcun1d3,0.8239600397322515,0.4597988528538982,0.06772207999383918,#d27511,#f3b572
Depdc7,0.22115220903817873,0.9966549609178329,0.001335847404022728,#38fe00,#88ff66
Dhrs7,0.38815023061089754,0.5203660662741574,0.9927867137385438,#6385fd,#6888fd
Dhx16,0.4177540153468537,0.5975117386093153,0.8037640937340149,#6b98cd,#8db0d8
Diras1,0.22048999279122666,0.9953266326153403,0.00035209845710632595,#38fe00,#88ff66
Dlk1,0.47505048949321727,0.7738727663276908,0.04001524612097487,#79c50a,#bff76e
Dlx5,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Dmxl1,0.2207795570699659,0.9962564079584317,0.0009212363650456747,#38fe00,#88ff66
Dnaja1,1.0,0.30726330588927375,0.06680635894887627,#ff4e11,#ff8d66
Dnaja4,0.9985234897795742,0.3072797550374548,0.07394028331295568,#ff4e13,#ff8d66
Dnajb1,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Dock7,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66
Dpm3,0.22077955706996558,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66
Dpyd,0.0006311760995129358,0.0004984681455034147,0.09722218713604378,#000019,#6767fe
Dscc1,0.47505048949321727,0.7738727663276908,0.040015246120974936,#79c50a,#bff76e
Dusp10,0.43616983210819577,0.8065793185377761,0.044761646827882626,#6fce0b,#b4f76e
