,R,G,B,hex_val,hls_val,L1_M1,gene
Npas4,1.0,0.30726330588927375,0.06680635894887624,#ff4e11,#ff8d66,R,Npas4
Otud1,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,R,Otud1
Homer1,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,R,Homer1
Ier3,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,R,Ier3
Ifrd1,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,R,Ifrd1
Avpi1,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,R,Avpi1
Jun,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,R,Jun
Junb,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,R,Junb
Jund,1.0,0.30726330588927375,0.06680635894887627,#ff4e11,#ff8d66,R,Jund
Kcnj2,1.0,0.3072633058892737,0.0668063589488762,#ff4e11,#ff8d66,R,Kcnj2
Kdm6b,1.0,0.30726330588927375,0.06680635894887627,#ff4e11,#ff8d66,R,Kdm6b
Atf3,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,R,Atf3
Klf2,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,R,Klf2
Knop1,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,R,Knop1
Asic4,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,R,Asic4
L3hypdh,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,R,L3hypdh
Lonrf1,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,R,Lonrf1
Mcl1,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,R,Mcl1
Mtch2,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,R,Mtch2
Nap1l5,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,R,Nap1l5
Rorb,0.22960417398460006,1.0,0.005956424559028832,#3bff02,#88ff66,G,Rorb
Fbxo42,0.22960417398460006,1.0,0.005956424559028626,#3bff02,#88ff66,G,Fbxo42
C130073F10Rik,0.2303809626466846,0.9999652650657826,0.006197962532158194,#3bff02,#89ff66,G,C130073F10Rik
Klhl26,0.23038096264668456,0.9999652650657826,0.006197962532158194,#3bff02,#89ff66,G,Klhl26
Gipc3,0.23038096264668456,0.9999652650657826,0.006197962532158194,#3bff02,#89ff66,G,Gipc3
Edar,0.23038096264668456,0.9999652650657826,0.006197962532158194,#3bff02,#89ff66,G,Edar
Toe1,0.2367746244411455,0.9996774661738325,0.007346191977243646,#3cff02,#89ff66,G,Toe1
Bag3,0.2356833409796211,0.9996537666108313,0.006577390441643674,#3cff02,#89ff66,G,Bag3
Egflam,0.23380366288108873,0.9996304565124926,0.017961354388124923,#3cff05,#88ff66,G,Egflam
Tspan33,0.2374713277804149,0.9990854235078847,0.006715279431727191,#3dff02,#8aff66,G,Tspan33
AI846148,0.22349677743772975,0.9984819861097238,0.004126952923589034,#39ff01,#88ff66,G,AI846148
Impg2,0.22349677743772972,0.9984819861097238,0.004126952923589158,#39ff01,#88ff66,G,Impg2
Slc14a1,0.2379450473900716,0.9983714824653881,0.005829915455605892,#3dff01,#8aff66,G,Slc14a1
Ikbip,0.22965053903728938,0.9983643892925672,0.019557651021983896,#3bff05,#87ff66,G,Ikbip
