,R,G,B,hex_val,hls_val,L1_M1,gene
Psmc3,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Psmc3
Zbtb33,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Zbtb33
Gm14685,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Gm14685
Gm13889,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Gm13889
Dnaja1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Dnaja1
Col10a1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Col10a1
U2af1l4,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,U2af1l4
Errfi1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Errfi1
Foxo1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Foxo1
Rnft1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Rnft1
Ccnk,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Ccnk
Nr4a3,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Nr4a3
Sik1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,R,Sik1
Crebzf,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,R,Crebzf
Lats1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1,R,Lats1
Lonrf1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,R,Lonrf1
Clptm1l,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,R,Clptm1l
Clrn1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,R,Clrn1
Cnnm1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1,R,Cnnm1
Cnnm4,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,R,Cnnm4
Lsm7,0.3247840674809789,1.0,0.9153304002522623,#53ffe9,#53ffe9,G,Lsm7
Abca7,0.3243657960929198,0.9998777472609913,0.9103679020396768,#53ffe8,#53ffe8,G,Abca7
Wbscr16,0.32269807746218254,0.9990612826669508,0.9150121126652385,#52ffe9,#52ffe9,G,Wbscr16
Hmha1,0.3228698997397454,0.9988314756491906,0.9196895640425918,#52ffeb,#52ffeb,G,Hmha1
Lat,0.32427623045724235,0.9985680727210616,0.9091549201172916,#53ffe8,#53ffe8,G,Lat
Neurl4,0.32142816960275283,0.997869932808404,0.9203615278547349,#52feeb,#52feeb,G,Neurl4
