,R,G,B,hex_val,hls_val,L1_M1,gene
Oxr1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Oxr1
Ranbp2,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Ranbp2
Ccpg1os,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Ccpg1os
Cnnm1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Cnnm1
Diras1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Diras1
Fam118a,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Fam118a
Gabra4,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Gabra4
Gm10250,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Gm10250
Ikzf1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Ikzf1
Il3ra,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Il3ra
1500009C09Rik,1.0,0.6424980386794739,0.3668364345475063,#ffa45e,#ffa45e,R,1500009C09Rik
Myeov2,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Myeov2
Pick1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Pick1
Pkd1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Pkd1
Ppp2r2a,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Ppp2r2a
Ptpn22,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Ptpn22
Bbs1,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Bbs1
4930430F08Rik,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,4930430F08Rik
Zfp655,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,Zfp655
5730480H06Rik,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e,R,5730480H06Rik
Pira2,1.172126589154816e-16,1.0,0.30481290611285183,#00ff4e,#00ff4e,G,Pira2
Hpx,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Hpx
Ildr1,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Ildr1
Slc5a10,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Slc5a10
AI467606,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,AI467606
Gm10130,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Gm10130
Vmn2r10,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Vmn2r10
Tes,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Tes
Tnfrsf23,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Tnfrsf23
Gm45140,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Gm45140
Hist1h3i,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Hist1h3i
Ankar,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Ankar
Dlk1,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Dlk1
Agpat9,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Agpat9
Gm10696,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Gm10696
4930415O20Rik,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,4930415O20Rik
Rpl21-ps4,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Rpl21-ps4
Nexn,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Nexn
Ripk3,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Ripk3
Gstm2,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e,G,Gstm2
Foxk1,0.26296838893883767,0.257067207985218,1.0,#4342ff,#4342ff,B,Foxk1
Lgmn,0.26296838893883767,0.2570672079852179,1.0,#4342ff,#4342ff,B,Lgmn
Fzd4,0.26296838893883767,0.2570672079852179,1.0,#4342ff,#4342ff,B,Fzd4
Grasp,0.26296838893883767,0.2570672079852179,1.0,#4342ff,#4342ff,B,Grasp
Rbm38,0.26132743475955933,0.2597552044655865,0.9990593005946334,#4342ff,#4342ff,B,Rbm38
Arih1,0.26177329512925396,0.25761290771526985,0.9987167188210755,#4342ff,#4342ff,B,Arih1
Mfap3l,0.26177329512925396,0.25761290771526985,0.9987167188210755,#4342ff,#4342ff,B,Mfap3l
Zkscan8,0.26177329512925396,0.25761290771526985,0.9987167188210754,#4342ff,#4342ff,B,Zkscan8
Slc25a25,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,B,Slc25a25
Snx4,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,B,Snx4
Rnpc3,0.26987128790081216,0.23871524236492894,0.9947564107576319,#453dfe,#453dfe,B,Rnpc3
Pld6,0.2700954581922983,0.23856745152632347,0.9939928037193227,#453dfd,#453dfd,B,Pld6
Lsm7,0.2700954581922983,0.23856745152632347,0.9939928037193226,#453dfd,#453dfd,B,Lsm7
Gphn,0.2700954581922983,0.23856745152632353,0.9939928037193226,#453dfd,#453dfd,B,Gphn
Suv39h1,0.2700954581922983,0.23856745152632353,0.9939928037193226,#453dfd,#453dfd,B,Suv39h1
B430203G13Rik,0.27009545819229835,0.23856745152632364,0.9939928037193223,#453dfd,#453dfd,B,B430203G13Rik
Gm9925,0.2707100416233607,0.2395331033929038,0.9934817763026801,#453dfd,#453dfd,B,Gm9925
Gprc5b,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,B,Gprc5b
Stard3nl,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,B,Stard3nl
Kazn,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,B,Kazn
