,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Uspl1,0.5864099085287404,0.16074326492764782,0.07496289612935023,#962913,#ee8b77,0.9571766749471947,0.26237568909711073,0.12235935071684881,R,Uspl1
Pak6,0.8502043396082196,0.24902921414281762,0.08648760850949419,#d94016,#f18f74,0.9551392323143187,0.2797651827204451,0.09716218107581745,R,Pak6
Sbds,0.8713106015828032,0.26913640986205245,0.03575796835680334,#de4509,#f9936c,0.9547239507868366,0.2949016987252453,0.03918119297492978,R,Sbds
Arl4d,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700808,R,Arl4d
Egr2,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700808,R,Egr2
Klf2,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700808,R,Klf2
Knop1,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700804,R,Knop1
L3hypdh,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700808,R,L3hypdh
Lonrf1,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.29311414960492627,0.06372999546700804,R,Lonrf1
Atf3,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.29311414960492627,0.06372999546700804,R,Atf3
Mcl1,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700804,R,Mcl1
Asic4,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700804,R,Asic4
Mtch2,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700807,R,Mtch2
Nap1l5,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700807,R,Nap1l5
Nfil3,1.0,0.3072633058892737,0.06680635894887618,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700799,R,Nfil3
Npas4,1.0,0.30726330588927375,0.06680635894887624,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049264,0.06372999546700804,R,Npas4
Avpi1,1.0,0.3072633058892737,0.06680635894887628,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700808,R,Avpi1
Nr4a1,1.0,0.3072633058892737,0.0668063589488762,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.063729995467008,R,Nr4a1
Cited2,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.06372999546700807,R,Cited2
Nr4a2,1.0,0.3072633058892737,0.0668063589488762,#ff4e11,#ff8d66,0.9539510380408189,0.2931141496049263,0.063729995467008,R,Nr4a2
Poc5,0.21666081659128747,0.9785366787554095,0.00296313656804246,#37fa01,#88ff66,0.21617661293395174,0.976349799530338,0.002956514412795358,G,Poc5
Tmprss9,0.21767141212066649,0.9827738796545996,0.0023953321865909194,#38fb01,#88ff66,0.21624553215844844,0.9763361138095655,0.0023796413058526505,G,Tmprss9
Tubb2a,0.22024875836649402,0.9943178359213377,0.0,#38fe00,#88ff66,0.2162653441817653,0.976334625477322,0.0,G,Tubb2a
Cenpl,0.22024875836649402,0.9943178359213377,8.260067593012419e-17,#38fe00,#88ff66,0.2162653441817653,0.976334625477322,8.110676192757291e-17,G,Cenpl
Fbxl6,0.22024875836649402,0.9943178359213377,0.0,#38fe00,#88ff66,0.2162653441817653,0.976334625477322,0.0,G,Fbxl6
1500009C09Rik,0.2204899927912266,0.9953266326153398,0.0003520984571091344,#38fe00,#88ff66,0.21628195479924286,0.9763308848652621,0.00034537867964586874,G,1500009C09Rik
Diras1,0.22048999279122666,0.9953266326153403,0.00035209845710632595,#38fe00,#88ff66,0.21628195479924284,0.9763308848652621,0.00034537867964311373,G,Diras1
Hipk3,0.22048999279122666,0.9953266326153403,0.0003520984571062847,#38fe00,#88ff66,0.21628195479924284,0.9763308848652621,0.00034537867964307324,G,Hipk3
Coa3,0.22048999279122666,0.9953266326153403,0.00035209845710636726,#38fe00,#88ff66,0.21628195479924284,0.9763308848652621,0.00034537867964315423,G,Coa3
Ate1,0.22048999279122666,0.9953266326153403,0.0003520984571062847,#38fe00,#88ff66,0.21628195479924284,0.9763308848652621,0.00034537867964307324,G,Ate1
Gm28036,0.2204899927912266,0.9953266326153403,0.0003520984571062847,#38fe00,#88ff66,0.21628195479924278,0.9763308848652621,0.00034537867964307324,G,Gm28036
Tubb3,0.22048999279122666,0.9953266326153403,0.0003520984571064499,#38fe00,#88ff66,0.21628195479924284,0.9763308848652621,0.00034537867964323527,G,Tubb3
Sumf2,0.22077955706996555,0.9962564079584317,0.0009212363650457985,#38fe00,#88ff66,0.21635996885183958,0.9763132431958979,0.0009027949593327897,G,Sumf2
Crebzf,0.22077955706996555,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66,0.21635996885183958,0.9763132431958979,0.0009027949593329112,G,Crebzf
Tcta,0.22077955706996555,0.9962564079584317,0.0009212363650457985,#38fe00,#88ff66,0.21635996885183958,0.9763132431958979,0.0009027949593327897,G,Tcta
Cdv3,0.22077955706996558,0.9962564079584317,0.0009212363650458811,#38fe00,#88ff66,0.2163599688518396,0.9763132431958979,0.0009027949593328707,G,Cdv3
Oxr1,0.22077955706996558,0.9962564079584317,0.0009212363650457985,#38fe00,#88ff66,0.2163599688518396,0.9763132431958979,0.0009027949593327897,G,Oxr1
Samm50,0.22077955706996558,0.9962564079584317,0.000921236365045716,#38fe00,#88ff66,0.2163599688518396,0.9763132431958979,0.0009027949593327089,G,Samm50
Rpl36a,0.22077955706996555,0.9962564079584317,0.0009212363650457985,#38fe00,#88ff66,0.21635996885183958,0.9763132431958979,0.0009027949593327897,G,Rpl36a
Gdpd5,0.22077955706996563,0.9962564079584317,0.0009212363650458398,#38fe00,#88ff66,0.21635996885183967,0.9763132431958979,0.0009027949593328302,G,Gdpd5
Mamld1,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe,0.006491877235965686,0.005126927349031106,0.9999657844876049,B,Mamld1
Dpyd,0.0006311760995129358,0.0004984681455034147,0.09722218713604378,#000019,#6767fe,0.006491877235965694,0.005126927349031113,0.9999657844876049,B,Dpyd
Aard,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Aard
Suv39h1,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Suv39h1
Orc5,0.0006311760995129358,0.0004984681455034147,0.09722218713604378,#000019,#6767fe,0.006491877235965694,0.005126927349031113,0.9999657844876049,B,Orc5
Acp7,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Acp7
Otog,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe,0.006491877235965686,0.005126927349031106,0.9999657844876049,B,Otog
Cyp2t4,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe,0.006491877235965686,0.005126927349031106,0.9999657844876049,B,Cyp2t4
Adamtsl5,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Adamtsl5
Tes,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Tes
Hist1h3i,0.0006311760995129358,0.0004984681455034147,0.09722218713604393,#000019,#6767fe,0.0064918772359656846,0.005126927349031105,0.9999657844876049,B,Hist1h3i
Ephx2,0.0006311760995129358,0.0004984681455034147,0.09722218713604383,#000019,#6767fe,0.006491877235965691,0.0051269273490311094,0.9999657844876049,B,Ephx2
Rundc1,0.0006311760995129358,0.0004984681455034147,0.09722218713604387,#000019,#6767fe,0.006491877235965688,0.005126927349031108,0.9999657844876049,B,Rundc1
Fbxo18,0.0006311760995129358,0.0004984681455034147,0.0972221871360439,#000019,#6767fe,0.006491877235965686,0.005126927349031106,0.9999657844876049,B,Fbxo18
