,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Psmc3,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Psmc3
Zbtb33,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Zbtb33
Col10a1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Col10a1
Dnaja1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Dnaja1
U2af1l4,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,U2af1l4
Gm13889,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Gm13889
Usp27x,0.9999999999999993,0.19429587818413302,0.884069835665602,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665462,0.6554367509448642,R,Usp27x
Foxo1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Foxo1
Errfi1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Errfi1
Nr4a3,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Nr4a3
Sik1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Sik1
Ccnk,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Ccnk
Gm14685,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Gm14685
Rnft1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665417,0.6554367509448642,R,Rnft1
2010111I01Rik,0.9999999999999993,0.19429587818413302,0.884069835665602,#ff32e1,#ff32e1,0.7413857192077998,0.14404818938665462,0.6554367509448642,R,2010111I01Rik
L3hypdh,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,0.7413857192077997,0.14404818938665453,0.6554367509448642,R,L3hypdh
Knop1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1,0.7413857192077997,0.14404818938665453,0.6554367509448643,R,Knop1
Clptm1l,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,0.7413857192077997,0.14404818938665453,0.6554367509448642,R,Clptm1l
