,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Stx2,0.20565729788370635,0.001283423762989588,0.0076277492822004,#340002,#cb0108,0.99929345736023,0.00623618506405433,0.03706340611553347,R,Stx2
Raf1,0.20565729788370635,0.0012834237629896531,0.0076277492822004,#340002,#cb0108,0.99929345736023,0.006236185064054647,0.03706340611553347,R,Raf1
Cenpf,0.20423543596953042,0.0062767684482407824,0.00446456547670602,#340201,#c80604,0.9992895714808429,0.03071117028811182,0.021844366531630254,R,Cenpf
Dnaja4,0.20418859377128265,0.006590473910147522,0.004375859360417818,#340201,#c80604,0.9992503279563602,0.03225220907040178,0.02141441311793479,R,Dnaja4
Nfam1,0.20388721442852586,0.00639995738185631,0.004691155813603923,#340201,#c70605,0.9992435053945465,0.03136594840704765,0.022991176728155576,R,Nfam1
Kctd6,0.20388721442852586,0.00639995738185631,0.004691155813603923,#340201,#c70605,0.9992435053945465,0.03136594840704765,0.022991176728155576,R,Kctd6
Clptm1l,0.20389674058195428,0.007108533444086931,0.0036869984528323527,#340201,#c80704,0.9992296711621811,0.034836542828036755,0.01806874519467039,R,Clptm1l
Amigo2,0.204319834636022,0.009003438495492786,0.00013512996800493608,#340200,#cc0900,0.9990303131225478,0.044022686272015873,0.0006607235880388216,R,Amigo2
Glce,0.204319834636022,0.009003438495492786,0.0001351299680050114,#340200,#cc0900,0.9990303131225478,0.044022686272015873,0.0006607235880391899,R,Glce
Fbxw7,0.204319834636022,0.009003438495492786,0.0001351299680050114,#340200,#cc0900,0.9990303131225478,0.044022686272015873,0.0006607235880391899,R,Fbxw7
Bahcc1,0.2051089274296397,0.0014505926883819063,0.009590616147733292,#340002,#cb0109,0.9988836777240319,0.007064409031867045,0.04670645032051858,R,Bahcc1
Malsu1,0.2051089274296397,0.0014505926883819063,0.009590616147733292,#340002,#cb0109,0.9988836777240319,0.007064409031867045,0.04670645032051858,R,Malsu1
Clec16a,0.2051089274296397,0.0014505926883819715,0.009590616147733292,#340002,#cb0109,0.9988836777240319,0.007064409031867363,0.04670645032051858,R,Clec16a
Mapkapk2,0.20605275522725128,0.0006365712917040632,0.01017668205009234,#350003,#cb010a,0.998777849176975,0.003085585072011242,0.04932836058677896,R,Mapkapk2
Dbpht2,0.20605275522725128,0.0006365712917039979,0.010176682050092565,#350003,#cb010a,0.998777849176975,0.0030855850720109255,0.04932836058678006,R,Dbpht2
Gpr19,0.20605275522725128,0.0006365712917040632,0.010176682050092489,#350003,#cb010a,0.998777849176975,0.003085585072011242,0.04932836058677968,R,Gpr19
Apaf1,0.20605275522725128,0.0006365712917039979,0.010176682050092414,#350003,#cb010a,0.998777849176975,0.0030855850720109255,0.04932836058677932,R,Apaf1
Amd2,0.20605275522725128,0.0006365712917039979,0.010176682050092414,#350003,#cb010a,0.998777849176975,0.0030855850720109255,0.04932836058677932,R,Amd2
Clcc1,0.20407362595001496,0.010377939524335104,0.0,#340300,#cc0a00,0.998709443099348,0.05078826896233067,0.0,R,Clcc1
U2af1l4,0.20499299001600269,0.000356643913970364,0.011340012986046201,#340003,#cc000b,0.9984718989240825,0.001737127332958594,0.055234495087453504,R,U2af1l4
Ilvbl,0.018849405872330235,0.8232880253231837,0.18136912231145888,#05d22e,#05d22e,0.02235355539742828,0.9763392335413711,0.21508607488385204,G,Ilvbl
Fam57a,0.018376503626936814,0.8252572127863553,0.18266066772130599,#05d22f,#05d22f,0.021736277497276343,0.9761388862601141,0.21605649486054684,G,Fam57a
Arc,0.018376503626936814,0.8252572127863553,0.18266066772130599,#05d22f,#05d22f,0.021736277497276343,0.9761388862601141,0.21605649486054684,G,Arc
Fdx1l,0.018376503626936814,0.8252572127863553,0.18266066772130599,#05d22f,#05d22f,0.021736277497276343,0.9761388862601141,0.21605649486054684,G,Fdx1l
Rasl11a,0.018376503626936873,0.8252572127863554,0.18266066772130599,#05d22f,#05d22f,0.021736277497276406,0.976138886260114,0.2160564948605468,G,Rasl11a
Nkx2-2,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Nkx2-2
Il16,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Il16
Btbd2,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Btbd2
Scg3,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Scg3
Vamp1,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Vamp1
Card6,0.018097922686662906,0.8263862716232887,0.18321408256383614,#05d32f,#05d32f,0.021376024659229217,0.976070769342266,0.21639990481828972,G,Card6
Acan,0.013690419907375417,0.8335568259909735,0.18919937521812055,#03d530,#03d530,0.016014642855078094,0.9750697902601492,0.2213197581244231,G,Acan
Wbscr16,0.01369041990737536,0.8335568259909735,0.18919937521812055,#03d530,#03d530,0.01601464285507803,0.9750697902601492,0.2213197581244231,G,Wbscr16
Lin7c,0.01324548045085772,0.836674349831569,0.19065220874339803,#03d531,#03d531,0.015433601572558284,0.9748909153720806,0.22214748944673257,G,Lin7c
Thap4,0.01324548045085772,0.836674349831569,0.19065220874339803,#03d531,#03d531,0.015433601572558284,0.9748909153720806,0.22214748944673257,G,Thap4
Tmem50a,0.01324548045085772,0.836674349831569,0.19065220874339803,#03d531,#03d531,0.015433601572558284,0.9748909153720806,0.22214748944673257,G,Tmem50a
Sgpl1,0.00900956148361997,0.8524514091001011,0.2047509717434263,#02d934,#02d934,0.01027617657869041,0.9722938481070692,0.23353602105043916,G,Sgpl1
Npy1r,0.00906719563011729,0.8517196577068468,0.20459431105146095,#02d934,#02d934,0.01035073779885715,0.9722881489148913,0.2335564550738716,G,Npy1r
Msmo1,0.009067195630117349,0.8517196577068468,0.2045943110514609,#02d934,#02d934,0.010350737798857217,0.9722881489148913,0.23355645507387154,G,Msmo1
Coq2,0.00906719563011729,0.8517196577068468,0.20459431105146095,#02d934,#02d934,0.01035073779885715,0.9722881489148913,0.2335564550738716,G,Coq2
Ppm1d,0.26575498225501754,0.23763304127152815,0.9844115720728864,#443dfb,#443dfb,0.2538307186882467,0.22697059200246453,0.9402416267195678,B,Ppm1d
Snx4,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,0.25507776645170926,0.22562960037010024,0.9402268962855913,B,Snx4
Slc25a25,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,0.25507776645170926,0.22562960037010024,0.9402268962855913,B,Slc25a25
Rnpc3,0.26987128790081216,0.23871524236492894,0.9947564107576319,#453dfe,#453dfe,0.2550777664517093,0.2256296003701003,0.9402268962855912,B,Rnpc3
Pld6,0.2700954581922983,0.23856745152632347,0.9939928037193227,#453dfd,#453dfd,0.25545722872986576,0.2256379297895168,0.9401218691903503,B,Pld6
Lsm7,0.2700954581922983,0.23856745152632347,0.9939928037193226,#453dfd,#453dfd,0.25545722872986576,0.2256379297895168,0.9401218691903502,B,Lsm7
B430203G13Rik,0.27009545819229835,0.23856745152632364,0.9939928037193223,#453dfd,#453dfd,0.2554572287298659,0.22563792978951708,0.9401218691903502,B,B430203G13Rik
Gphn,0.2700954581922983,0.23856745152632353,0.9939928037193226,#453dfd,#453dfd,0.25545722872986576,0.22563792978951686,0.9401218691903502,B,Gphn
