,R,G,B,hex_val,hls_val
1190002N15Rik,0.9999999999999993,0.19429587818413208,0.8840698356656076,#ff32e1,#ff32e1
1500009C09Rik,0.005163661458156656,0.01564891714744001,0.8443072208597356,#0104d7,#0104d7
1700028J19Rik,0.0068478551721896765,0.030958079247037813,0.8595363363205437,#0208db,#0208db
2010111I01Rik,0.9999999999999993,0.19429587818413302,0.884069835665602,#ff32e1,#ff32e1
2410015M20Rik,0.06437154700573287,0.19259884434603164,0.8609910143850824,#1031dc,#1031dc
2700060E02Rik,0.0033090588650942186,0.027516285570034597,0.8638327107361002,#0107dc,#0107dc
4930415O20Rik,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00
4930430F08Rik,0.2680424310132611,0.843188836470058,0.9292533639834376,#44d7ed,#44d7ed
4930444P10Rik,0.002621059842903245,0.0003846582250329154,0.8352963110282765,#0100d5,#0100d5
5730480H06Rik,0.005218860633102867,0.013765852774388972,0.842143068666249,#0104d7,#0104d7
8430408G22Rik,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
9030612E09Rik,0.0010078557560588477,0.02163818019304004,0.8660119685736919,#0006dd,#0006dd
9530077C05Rik,0.005378631053897897,0.035682049030861675,0.8663052606005092,#0109dd,#0109dd
9830107B12Rik,0.23589789009361342,0.8263681561834484,0.9998957906669586,#3cd3ff,#3cd3ff
A830010M20Rik,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
A930004D18Rik,0.19059697322951943,0.6305760144752561,0.9450024114554895,#31a1f1,#31a1f1
A930011G23Rik,0.002833403212929954,0.000386439753099788,0.8346342440163683,#0100d5,#0100d5
AI467606,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00
AI846148,0.3375199312836912,0.9965417302442994,0.9147873365538135,#56fee9,#56fee9
AI854703,0.3555669244844394,0.5415885416281815,0.9776627259550149,#5b8af9,#5b8af9
Aaed1,0.2630500071567565,0.8464400060208831,0.9482016593091792,#43d8f2,#43d8f2
Aard,0.0014902101256358883,0.023120821333466494,0.8653050255703891,#0006dd,#0006dd
Abca7,0.3243657960929198,0.9998777472609913,0.9103679020396768,#53ffe8,#53ffe8
Abra,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Acan,0.9811250605376588,0.192943737051976,0.8889263664538722,#fa31e3,#fa31e3
Acp7,0.0051581729824617525,0.03335759651980766,0.8642707404955574,#0109dc,#0109dc
Actr10,0.010177094915525854,0.03829890968060678,0.8557028079055081,#030ada,#030ada
Actr3,0.7832743469794636,0.4788758879950863,0.8910068344498638,#c87ae3,#c87ae3
Adamts1,0.9436983113622633,0.18494550877514404,0.8830574504195864,#f12fe1,#f12fe1
Adamts10,0.006447747012734827,0.04022423741965833,0.8678087644892121,#020add,#020add
Adamtsl5,0.017667615058348487,0.03209814196830629,0.8218493908072017,#0508d2,#0508d2
Adgra2,0.33897667384013574,0.9413389959262292,0.9048244767433801,#56f0e7,#56f0e7
Adrb1,0.6026657275196889,0.7403401932512391,0.9194920738517327,#9abdea,#9abdea
Agpat4,0.3218814789088433,0.9944255992001579,0.9117061482354588,#52fee8,#52fee8
Agpat9,0.006416535600627507,0.03930146974693272,0.8667289314418917,#020add,#020add
Ahr,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Ahsa2,0.006291849713840718,0.030685361480687644,0.8608406952491497,#0208dc,#0208dc
Aif1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Aim1l,0.0027481418756824328,0.000801061612848788,0.8355241192967575,#0100d5,#0100d5
Akap10,0.005330722656417409,0.03652179369318558,0.8676484938483268,#0109dd,#0109dd
Akirin1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Akt1,0.9061744160064731,0.2871056374281587,0.876660942490532,#e749e0,#e749e0
Amd2,0.13055955959952276,0.20942310337462872,0.8680501261283392,#2135dd,#2135dd
Amigo2,0.0029296079949044313,0.0013501282829015613,0.8356779365764315,#0100d5,#0100d5
Anapc10,0.04818044321270883,0.21525092008055396,0.934972038959972,#0c37ee,#0c37ee
Ankar,0.4519410120836606,0.6144318428419625,0.00024272267034088207,#739d00,#96cc00
Ankrd13c,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Ankrd27,0.1801015287252501,0.6053872866032896,0.959360295655673,#2e9af5,#2e9af5
Ankrd33b,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Anks1b,0.003386814049763359,0.004169144940390119,0.8374360871905441,#0101d6,#0101d6
Ap1ar,0.7832001403400947,0.3596359550028772,0.8759247760078621,#c85cdf,#c85cdf
Ap1b1,0.039885827409662365,0.1469271217881016,0.882190362957045,#0a25e1,#0a25e1
Apaf1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Aprt,0.08403851256099948,0.29046106942501276,0.9257261171762419,#154aec,#154aec
Aqp4,0.005693790567018716,0.01711691300408736,0.8443267266417771,#0104d7,#0104d7
Arc,0.004682963972727368,0.009981265816326685,0.8396863773813641,#0103d6,#0103d6
Areg,0.005922494693551322,0.03109332954804361,0.8620841895224975,#0208dc,#0208dc
Arglu1,0.19205994861394357,0.6236095595342462,0.9468568065563447,#319ff1,#319ff1
Arhgap39,0.0059426068799349075,0.030309285048612643,0.8614621843333786,#0208dc,#0208dc
Arhgef15,0.03751164121245074,0.1677096392202206,0.9147223874999845,#0a2be9,#0a2be9
Arid1a,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Arid1b,0.26684114433350237,0.9011700391598003,0.9867670187137415,#44e6fc,#44e6fc
Arid5b,0.8022910386215442,0.1603111492106199,0.9004444748276427,#cd29e6,#cd29e6
Arih1,0.9593750931835291,0.2447335838905324,0.880855527036138,#f53ee1,#f53ee1
Arl16,0.004115525368492516,0.03291344443480686,0.8676982967858131,#0108dd,#0108dd
Arl4a,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Arl4d,0.006404592719986733,0.01765394833466722,0.8435128836887064,#0205d7,#0205d7
Arl5b,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Armcx3,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Armcx4,0.004868883791779099,0.032493111764620164,0.8642715337184561,#0108dc,#0108dc
Armcx5,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Arntl,0.025239009124166774,0.04047996816728697,0.8060299103948014,#060ace,#060ace
Arpp19,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Arpp21,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Asb14,0.2613178926325955,0.8925094973506603,0.9940883999323696,#43e4fd,#43e4fd
Asic4,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Asna1,0.12577822997822397,0.44356370227729414,0.9613270311544984,#2071f5,#2071f5
Aste1,0.3592750389142777,0.11489577924623572,0.873906724174971,#5c1ddf,#5c1ddf
Ate1,0.007920110386885205,0.013178905966471227,0.833527137204075,#0203d5,#0203d5
Atf3,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Atg16l1,0.0031060582755900426,0.02732391370405041,0.8644084396428637,#0107dc,#0107dc
Atl2,0.011831662379850208,0.07650164335637236,0.8923325965483738,#0314e4,#0314e4
Atp8b3,0.006318066711272963,0.031562196195718824,0.8614860280361042,#0208dc,#0208dc
Atpif1,0.8810766485239161,0.32261362081734213,0.8821598489998206,#e152e1,#e152e1
Aven,0.9839155156546646,0.21609317005336737,0.8844800249287033,#fb37e2,#fb37e2
Avp,0.006291849713840805,0.030685361480687515,0.86084069524915,#0208dc,#0208dc
Avpi1,0.007171763232369513,0.025219443224339177,0.8498659440388864,#0206d9,#0206d9
B3gnt2,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
B430203G13Rik,0.0069116981703380214,0.03324367058181518,0.8611467206224056,#0208dc,#0208dc
BC003331,0.006416535600627593,0.03930146974693295,0.8667289314418917,#020add,#020add
Bach1,0.013764980137698961,0.07508493258693237,0.8829412271674179,#0413e1,#0413e1
Bag3,0.2301664697793237,0.7971662719704073,0.9810489761533523,#3bcbfa,#3bcbfa
Bahcc1,0.3763181379857345,0.9767357360236301,0.9173341023104665,#60f9ea,#60f9ea
Banp,0.30277039445373743,0.9705916708418277,0.9473324725983,#4df8f2,#4df8f2
Bbs1,0.059102917922123736,0.25388912083123216,0.9442556424432414,#0f41f1,#0f41f1
Bdnf,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Birc5,0.5996819621286105,0.7454864103132435,0.9164788235103337,#99beea,#99beea
Borcs8,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Bst1,0.23589789009361342,0.8263681561834484,0.9998957906669586,#3cd3ff,#3cd3ff
Btbd2,0.020281325049395022,0.10341606757147917,0.9002594701347036,#051ae6,#051ae6
Btg1,0.5349158067569015,0.8157255488028138,0.9058425801389861,#88d0e7,#88d0e7
Btg2,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
C130073F10Rik,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00
C2cd4b,0.18510108616983778,0.026110082978609263,0.8324947175606159,#2f07d4,#2f07d4
Cacna1b,0.000846485712534458,0.02095932785325105,0.8655870817962827,#0005dd,#0005dd
Calcrl,0.3193872018639303,0.9917908442768216,0.916022068199914,#51fdea,#51fdea
Calu,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Camk2a,0.005302400431082386,0.013116636698284884,0.8412291276870697,#0103d7,#0103d7
Capsl,0.0027481418756824328,0.000801061612848788,0.8355241192967575,#0100d5,#0100d5
Card6,0.26296991428639394,0.8435485455872013,0.9475821852313544,#43d7f2,#43d7f2
Cbx1,0.07582567698286537,0.2790494397455415,0.9309304188637693,#1347ed,#1347ed
Cc2d1a,0.1775248497868051,0.5844851797605521,0.9374879191196893,#2d95ef,#2d95ef
Ccar2,0.9814054930159416,0.19739461869541874,0.8779359254204887,#fa32e0,#fa32e0
Ccdc137,0.005302400431082386,0.013116636698284884,0.8412291276870696,#0103d7,#0103d7
Ccdc32,0.0002476812424274933,0.0069980200396240035,0.8505721950487809,#0002d9,#0002d9
Ccdc7a,0.2862647100462094,0.9319248269080213,0.9669552167991756,#49eef7,#49eef7
Ccdc93,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Ccl27a,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Ccnk,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1
Ccno,0.08811348122284228,0.2961221983130755,0.9052779639951581,#164ce7,#164ce7
Ccnt1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Ccpg1os,0.965591194910984,0.23579531699309975,0.8805517212744871,#f63ce1,#f63ce1
Cd1d1,0.2613808376356548,0.8381979783399213,0.9415338811045156,#43d6f0,#43d6f0
Cd27,0.123637848998798,0.40221605303477576,0.9059972068623747,#2067e7,#2067e7
Cd5,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00
Cdhr3,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Cdk11b,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cds1,0.0033090588650942186,0.027516285570034597,0.8638327107361002,#0107dc,#0107dc
Cdv3,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cebpzos,0.9542107005850291,0.25066928272316435,0.8797766312814107,#f340e0,#f340e0
Cecr6,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Cenpf,0.3127968606377024,0.98691254084747,0.9337269922288536,#50fcee,#50fcee
Cenpl,0.001106503539249855,0.021063124488191493,0.8643530823607711,#0005dc,#0005dc
Cep295,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Chst14,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Ciart,0.9617762810991882,0.23881590301859312,0.8796590878055525,#f53de0,#f53de0
Cirh1a,0.07329220326179729,0.22100724794264717,0.8660098858896261,#1338dd,#1338dd
Cisd2,0.0068478551721896765,0.030958079247037813,0.8595363363205433,#0208db,#0208db
Cited2,0.003871439608597461,0.006910554622084127,0.83896766273082,#0102d6,#0102d6
Clcc1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cldn12,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Clec16a,0.004547786784033099,0.03391606648111413,0.8669341025947054,#0109dd,#0109dd
Clip2,0.0015503110921104377,0.0011145357957135717,0.8398177866795759,#0000d6,#0000d6
Clptm1l,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Clrn1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cnnm1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Cnnm4,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Coa3,0.0017053907582069811,0.0017605752833857746,0.8399315346311277,#0000d6,#0000d6
Cog1,0.004519827407707974,0.03318573378029902,0.8666122662618351,#0108dd,#0108dd
Col10a1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1
Col15a1,0.8675337287587639,0.28628060427322094,0.8826773169280069,#dd49e1,#dd49e1
Comp,0.2613178926325955,0.8925094973506603,0.9940883999323696,#43e4fd,#43e4fd
Copg2,0.31807287105029314,0.9952563932039639,0.9251567929760046,#51feec,#51feec
Coq2,0.006291849713840805,0.030685361480687515,0.86084069524915,#0208dc,#0208dc
Cox7a2l,0.06437154700573287,0.19259884434603164,0.8609910143850824,#1031dc,#1031dc
Cpeb4,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Crebzf,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Crlf3,0.0019888778822798833,0.003631983761508743,0.8409925655185181,#0101d6,#0101d6
Csnk1a1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Ctf1,0.2862647100462094,0.9319248269080213,0.9669552167991754,#49eef7,#49eef7
Ctnnd1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cul3,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Cul9,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Cwc25,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cxadr,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Cyp11a1,0.1328918379051051,0.4634771940922904,0.9436056188068754,#2276f1,#2276f1
Cyp2t4,0.006291849713840805,0.030685361480687515,0.86084069524915,#0208dc,#0208dc
D130040H23Rik,0.011349061802075915,0.019868011448757196,0.8281881819098939,#0305d3,#0305d3
Dars,0.07626698168368273,0.30335088408758326,0.9309974753292802,#134ded,#134ded
Dbpht2,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Dck,0.007892730055316943,0.03245279684606098,0.8553073430294169,#0208da,#0208da
Dcun1d3,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Depdc7,0.26998777434250343,0.9097114761800269,0.9879959968922541,#45e8fc,#45e8fc
Dhrs7,0.04166957911993864,0.18450371629933923,0.9170640013171141,#0b2fea,#0b2fea
Dhx16,0.3185536957930692,0.9719952780498999,0.9044028226728833,#51f8e7,#51f8e7
Diras1,0.6358391784476655,0.1162333320679026,0.8244586274726339,#a21ed2,#a21ed2
Dlk1,0.4519307187410683,0.6144114674488244,0.00025409933988842316,#739d00,#96cc00
Dlx5,0.31055244579585467,0.9758865864327068,0.9338764681733084,#4ff9ee,#4ff9ee
Dmxl1,0.14555409736884337,0.49030214524635013,0.9389519737551082,#257def,#257def
Dnaja1,1.0,0.19429587818413255,0.8840698356656026,#ff32e1,#ff32e1
Dnaja4,0.9999999999999993,0.194295878184133,0.8840698356656022,#ff32e1,#ff32e1
Dnajb1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Dock7,0.007244603821617179,0.040092932720566805,0.8650968562359387,#020add,#020add
Dpm3,0.2602343115744547,0.888389081101254,0.9950102849594027,#42e3fe,#42e3fe
Dpyd,0.09169810164881387,0.272257854553019,0.8389124295346669,#1745d6,#1745d6
Dscc1,0.45155928031730325,0.6145586736218402,0.0014714700052666824,#739d00,#96cc00
Dusp10,0.012984003591202274,0.05914956884843381,0.8661221293858797,#030fdd,#030fdd
Dusp14,0.019890085614252977,0.04262444772575988,0.8255790258912304,#050bd3,#050bd3
Dusp16,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
Dusp2,0.31862934058344683,0.9711512840037376,0.8971499023929206,#51f8e5,#51f8e5
Dusp4,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Dusp6,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1
Dusp8,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1
