,R,G,B,hex_val,hls_val
1190002N15Rik,0.9999999999999993,0.6424980386794742,0.36683643454750386,#ffa45e,#ffa45e
1500009C09Rik,1.0,0.6424980386794739,0.3668364345475063,#ffa45e,#ffa45e
1700028J19Rik,0.24359723990113938,0.17463852169842953,0.7027118331157701,#3e2db3,#3e2db3
2010111I01Rik,0.009416828191668957,0.9495970497481007,0.4377772276979494,#02f270,#02f270
2410015M20Rik,0.20329360567720725,0.0009141928454937243,0.012707367898370335,#340003,#cb010d
2700060E02Rik,0.2890503872575183,0.2731764570763881,0.9354062484387514,#4a46ef,#4a46ef
4930415O20Rik,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e
4930430F08Rik,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
4930444P10Rik,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
5730480H06Rik,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
8430408G22Rik,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
9030612E09Rik,0.20263069650505594,0.0029882796704705896,0.02457239908406461,#340106,#c90318
9530077C05Rik,0.2085082978268712,0.057482124383170574,0.21724629986642197,#350f37,#9b2ba1
9830107B12Rik,0.012897756019797247,0.8812934788011269,0.21510081639043702,#03e137,#03e137
A830010M20Rik,0.9921115209736391,0.6379971679394292,0.36964432417534715,#fda35e,#fda35e
A930004D18Rik,0.21051280381574766,0.10857311138506212,0.07720221575868372,#361c14,#954d37
A930011G23Rik,0.05400569898662251,0.9764340490760809,0.2874500817429394,#0ef949,#0ef949
AI467606,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e
AI846148,0.48622152588191914,0.3350977526184647,0.13456606165313553,#7c5522,#a06e2c
AI854703,0.9991479344628488,0.6419488144203632,0.3682345052681238,#ffa45e,#ffa45e
Aaed1,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
Aard,0.2092024877325141,0.04926903252284351,0.17900322988255346,#350d2e,#a5278d
Abca7,0.20587422982032016,0.0017015985048946948,0.01956003723044026,#340005,#ca0213
Abra,0.3447587705523286,0.43462189983831084,0.5034947502511266,#586f80,#586f80
Acan,0.013690419907375417,0.8335568259909735,0.18919937521812055,#03d530,#03d530
Acp7,0.0319152530076998,0.7532853531176716,0.18061913967324358,#08c02e,#08c42f
Actr10,0.9975979473249357,0.6411815681071207,0.36564682130244464,#fea45d,#fea45d
Actr3,0.0310163546429933,0.9639759440957386,0.31827200271226674,#08f651,#08f651
Adamts1,0.023611659762268263,0.9819961520458601,0.3096450779308661,#06fa4f,#06fa4f
Adamts10,0.2890503872575183,0.27317645707638805,0.9354062484387514,#4a46ef,#4a46ef
Adamtsl5,0.9573764859054469,0.608265547452774,0.3546749905086276,#f49b5a,#f49b5a
Adgra2,0.9741169169900614,0.6284735667404557,0.38597043586426505,#f8a062,#f8a062
Adrb1,0.26626427083989646,0.23404505641336765,0.949385804964634,#443cf2,#443cf2
Agpat4,0.1826490373886154,0.22299641716455568,0.14988245387431282,#2f3926,#647a52
Agpat9,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e
Ahr,0.20491690573505011,0.434740075383638,0.8133560267927472,#346fcf,#346fcf
Ahsa2,0.20529018190172735,0.15236666448105754,0.1657411120150395,#34272a,#75575f
Aif1,0.7686324474611462,0.647555145765018,0.3905725600868955,#c4a564,#c4a564
Aim1l,0.3445837753067088,0.4352037455656667,0.5028605489930578,#586f80,#586f80
Akap10,0.2038496019358292,0.46327707854597194,0.8707166639960549,#3476de,#3476de
Akirin1,0.286154084086889,0.25727783726538994,0.9755242975433415,#4942f9,#4942f9
Akt1,0.20263069650505594,0.0029882796704705896,0.02457239908406461,#340106,#c90318
Amd2,0.20605275522725128,0.0006365712917039979,0.010176682050092414,#350003,#cb010a
Amigo2,0.204319834636022,0.009003438495492786,0.00013512996800493608,#340200,#cc0900
Anapc10,0.9593919494962434,0.6153634385680675,0.37674869627157664,#f59d60,#f59d60
Ankar,0.0,0.9999999999999998,0.30481290611285194,#00ff4e,#00ff4e
