R,G,B,hex_val,gene,hls_val
0.994005,0.0,0.031968,#fd0008,1190002N15Rik,#fd0008
0.0,0.976023,0.000977,#00f900,1500009C09Rik,#00f900
0.0,0.0007200000000000007,5.400000000000005e-05,#000000,1700028J19Rik,#00cc0f
0.999,0.0,0.034965,#ff0009,2010111I01Rik,#ff0009
0.0,0.0003630000000000003,0.0001100000000000001,#000000,2410015M20Rik,#00cc3e
0.0,0.0009030000000000007,0.0,#000000,2700060E02Rik,#00cc00
0.319,0.558,0.122,#518e1f,4930415O20Rik,#60a725
0.0,0.978112,0.010912,#00f903,4930430F08Rik,#00f903
0.0,0.0008400000000000008,2.000000000000002e-05,#000000,4930444P10Rik,#00cc05
0.0,0.0009030000000000007,0.0,#000000,5730480H06Rik,#00cc00
0.077922,0.9130860000000001,0.004995,#14e901,8430408G22Rik,#14e901
0.0,0.0009030000000000007,0.0,#000000,9030612E09Rik,#00cc00
0.0,0.0009030000000000007,0.0,#000000,9530077C05Rik,#00cc00
0.008945999999999999,0.862792,0.11928,#02dc1e,9830107B12Rik,#02dc1e
0.9930059999999999,0.0,0.032967,#fd0008,A830010M20Rik,#fd0008
0.318825,0.000981,0.6867,#5100af,A930004D18Rik,#5f00cc
0.00040800000000000005,0.13668000000000002,0.032232000000000004,#002308,A930011G23Rik,#01cb30
0.319,0.558,0.122,#518e1f,AI467606,#60a725
0.0,0.978105,0.000985,#00f900,AI846148,#00f900
0.992007,0.0,0.033966,#fd0009,AI854703,#fd0009
0.0,0.978,0.000978,#00f900,Aaed1,#00f900
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Aard,#00ccb1
0.000818,0.001636,0.6805760000000001,#0000ae,Abca7,#0000cc
0.994005,0.0,0.031968,#fd0008,Abra,#fd0008
0.999,0.0,0.034965,#ff0009,Acan,#ff0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Acp7,#00ccb1
0.9860329999999999,0.0,0.037885999999999996,#fb000a,Actr10,#fb000a
0.501446,0.000991,0.514329,#800083,Actr3,#c700cc
0.999,0.0,0.034965,#ff0009,Adamts1,#ff0009
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Adamts10,#00ccc3
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Adamtsl5,#00ccb1
0.0,0.978,0.000978,#00f900,Adgra2,#00f900
0.991008,0.0,0.034965,#fd0009,Adrb1,#fd0009
0.11563999999999999,0.00196,0.8722,#1d00de,Agpat4,#1d00de
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Agpat9,#00c3cc
0.771228,0.000999,0.252747,#c50040,Ahr,#cc0043
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Ahsa2,#00ccc3
0.0,0.978085,0.000983,#00f900,Aif1,#00f900
1.000000000000001e-06,2.100000000000002e-05,2.100000000000002e-05,#000000,Aim1l,#09c3c3
0.003975,0.033655000000000004,0.03710000000000001,#010909,Akap10,#14a7b8
0.9970019999999999,0.0,0.036962999999999996,#fe0009,Akirin1,#fe0009
0.9360630000000001,0.014985,0.067932,#ef0411,Akt1,#ef0411
0.358,0.167,0.503,#5b2b80,Amd2,#6d3399
0.0013320000000000012,0.0002160000000000002,0.0,#000000,Amigo2,#cc2100
0.0,0.0001200000000000001,0.0002240000000000002,#000000,Anapc10,#006dcc
0.319,0.558,0.122,#518e1f,Ankar,#60a725
0.9930059999999999,0.0,0.032967,#fd0008,Ankrd13c,#fd0008
0.11074,0.00098,0.87906,#1c00e0,Ankrd27,#1c00e0
0.990009,0.0,0.035963999999999996,#fc0009,Ankrd33b,#fc0009
0.60216,0.0,0.0351,#9a0009,Anks1b,#cc000c
0.994005,0.0,0.031968,#fd0008,Ap1ar,#fd0008
0.6758620000000001,0.0,0.34189499999999995,#ac0057,Ap1b1,#cc0067
0.994005,0.0,0.031968,#fd0008,Apaf1,#fd0008
0.0,0.0002790000000000002,0.0001080000000000001,#000000,Aprt,#00cc4f
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Aqp4,#00ccb1
0.999,0.0,0.034965,#ff0009,Arc,#ff0009
0.0,0.0007790000000000007,3.8000000000000036e-05,#000000,Areg,#00cc0a
0.0,0.0,0.4609770000000001,#000076,Arglu1,#0000cc
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Arhgap39,#00c3cc
0.00098,0.38612,0.59094,#006297,Arhgef15,#0085cc
0.68931,0.001998,0.332667,#b00155,Arid1a,#cb0162
0.00098,0.02744,0.9319799999999999,#0007ee,Arid1b,#0007ee
0.999,0.0,0.034965,#ff0009,Arid5b,#ff0009
0.990009,0.0,0.035963999999999996,#fc0009,Arih1,#fc0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Arl16,#00ccb1
0.990009,0.008990999999999999,0.027972,#fc0207,Arl4a,#fc0207
0.999,0.0,0.034965,#ff0009,Arl4d,#ff0009
0.998001,0.0,0.035963999999999996,#fe0009,Arl5b,#fe0009
0.995004,0.0,0.038961,#fe000a,Armcx3,#fe000a
0.7218330000000001,0.104048,0.04459200000000001,#b81b0b,Armcx4,#c01c0c
0.992007,0.0,0.033966,#fd0009,Armcx5,#fd0009
0.59906,0.0,0.03501,#990009,Arntl,#cc000c
0.7992,0.0,0.226773,#cc003a,Arpp19,#cc003a
0.990009,0.0,0.035963999999999996,#fc0009,Arpp21,#fc0009
0.00098,0.03038,0.94472,#0008f1,Asb14,#0008f1
0.999,0.0,0.034965,#ff0009,Asic4,#ff0009
0.0,0.978,0.000978,#00f900,Asna1,#00f900
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Aste1,#00c3cc
0.0,0.976023,0.000977,#00f900,Ate1,#00f900
0.999,0.0,0.034965,#ff0009,Atf3,#ff0009
0.876123,0.121878,0.006993,#df1f02,Atg16l1,#df1f02
0.009,0.87,0.118,#02de1e,Atl2,#02de1e
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Atp8b3,#00ccb1
0.0,0.978,0.000978,#00f900,Atpif1,#00f900
0.0,0.978,0.000978,#00f900,Aven,#00f900
0.0,0.0007790000000000007,3.8000000000000036e-05,#000000,Avp,#00cc0a
0.999,0.0,0.034965,#ff0009,Avpi1,#ff0009
0.990009,0.0,0.035963999999999996,#fc0009,B3gnt2,#fc0009
0.992007,0.0,0.033966,#fd0009,B430203G13Rik,#fd0009
0.0,0.00012000000000000011,0.0004650000000000004,#000000,BC003331,#0035cc
0.0011900000000000012,0.0,0.0004080000000000004,#000000,Bach1,#cc0046
0.013986,0.978021,0.004995,#04f901,Bag3,#04f901
0.11466,0.00196,0.87318,#1d00df,Bahcc1,#1d00df
0.11563999999999999,0.00098,0.87416,#1d00df,Banp,#1d00df
0.0,0.978,0.000978,#00f900,Bbs1,#00f900
0.999,0.0,0.034965,#ff0009,Bdnf,#ff0009
0.18352,0.0,0.835264,#2f00d5,Birc5,#2f00d5
0.990009,0.0,0.035963999999999996,#fc0009,Borcs8,#fc0009
0.008829,0.058859999999999996,0.917235,#020fea,Bst1,#020fea
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Btbd2,#00ccc3
0.999,0.0,0.034965,#ff0009,Btg1,#ff0009
0.999,0.0,0.034965,#ff0009,Btg2,#ff0009
0.008945999999999999,0.978096,0.0049700000000000005,#02f901,C130073F10Rik,#02f901
0.999,0.0,0.034965,#ff0009,C2cd4b,#ff0009
0.0,0.0008400000000000008,2.000000000000002e-05,#000000,Cacna1b,#00cc05
0.0,0.032373,0.9290069999999999,#0008ed,Calcrl,#0008ed
0.999,0.0,0.034965,#ff0009,Calu,#ff0009
0.0,0.0004080000000000004,0.00010800000000000009,#000000,Camk2a,#00cc36
0.0,0.0,0.0,#000000,Capsl,#666666
0.319,0.558,0.122,#518e1f,Card6,#60a725
0.006993,0.978021,0.010988999999999999,#02f903,Cbx1,#02f903
0.0,0.978,0.000978,#00f900,Cc2d1a,#00f900
0.999,0.0,0.034965,#ff0009,Ccar2,#ff0009
0.0,0.978021,0.000979,#00f900,Ccdc137,#00f900
0.0007770000000000008,0.0,0.001184000000000001,#000000,Ccdc32,#8600cc
0.007944,0.870861,0.111216,#02de1c,Ccdc7a,#02de1c
0.677844,0.0,0.339913,#ad0057,Ccdc93,#cc0066
0.984015,0.0,0.041958,#fb000b,Ccl27a,#fb000b
0.998001,0.0,0.035963999999999996,#fe0009,Ccnk,#fe0009
0.998001,0.0,0.035963999999999996,#fe0009,Ccno,#fe0009
0.0,0.052328,0.66676,#000daa,Ccnt1,#0010cc
0.0,0.978,0.000978,#00f900,Ccpg1os,#00f900
0.109088,0.000974,0.867834,#1c00dd,Cd1d1,#1c00dd
0.319102,0.000991,0.696673,#5100b2,Cd27,#5d00cc
0.319,0.558,0.122,#518e1f,Cd5,#60a725
0.990009,0.0,0.035963999999999996,#fc0009,Cdhr3,#fc0009
0.999,0.0,0.034965,#ff0009,Cdk11b,#ff0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Cds1,#00ccb1
0.0,0.978,0.000978,#00f900,Cdv3,#00f900
0.447552,0.536463,0.026973,#728907,Cebpzos,#a2c20a
0.994005,0.0,0.031968,#fd0008,Cecr6,#fd0008
0.0,0.87074,0.107365,#00de1b,Cenpf,#00de1b
0.0,0.974048,0.000976,#00f800,Cenpl,#00f800
