,R,G,B,hex_val,hls_val,L2,gene
Nr4a1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nr4a1
Nr4a3,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nr4a3
Mcl1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Mcl1
Mtch2,0.999,0.0,0.034965,#ff0009,#ff666b,R,Mtch2
Atf3,0.999,0.0,0.034965,#ff0009,#ff666b,R,Atf3
Nap1l5,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nap1l5
Nfil3,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nfil3
Asic4,0.999,0.0,0.034965,#ff0009,#ff666b,R,Asic4
Fbxo33,0.999,0.0,0.034965,#ff0009,#ff666b,R,Fbxo33
Npas4,0.999,0.0,0.034965,#ff0009,#ff666b,R,Npas4
Nr4a2,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nr4a2
Arl4d,0.999,0.0,0.034965,#ff0009,#ff666b,R,Arl4d
Nuak1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nuak1
L3hypdh,0.999,0.0,0.034965,#ff0009,#ff666b,R,L3hypdh
Nup50,0.999,0.0,0.034965,#ff0009,#ff666b,R,Nup50
Arid5b,0.999,0.0,0.034965,#ff0009,#ff666b,R,Arid5b
Otud1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Otud1
Fbl,0.999,0.0,0.034965,#ff0009,#ff666b,R,Fbl
Phlda1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Phlda1
Plagl1,0.999,0.0,0.034965,#ff0009,#ff666b,R,Plagl1
Zfp994,0.0,0.978117,0.00991,#00f903,#66ff68,G,Zfp994
4930430F08Rik,0.0,0.978112,0.010912,#00f903,#66ff68,G,4930430F08Rik
Iscu,0.0,0.978112,0.010912,#00f903,#66ff68,G,Iscu
Rbbp8,0.0,0.978112,0.010912,#00f903,#66ff68,G,Rbbp8
Mrps26,0.0,0.978112,0.010912,#00f903,#66ff68,G,Mrps26
Fbxo42,0.007944,0.978105,0.004965,#02f901,#67fe67,G,Fbxo42
Khdrbs2,0.0,0.978105,0.011916,#00f903,#66ff68,G,Khdrbs2
Rorb,0.007944,0.978105,0.004965,#02f901,#67fe67,G,Rorb
Lats1,0.006951,0.978105,0.004965,#02f901,#67fe67,G,Lats1
Impg2,0.0,0.978105,0.000985,#00f900,#66ff66,G,Impg2
AI846148,0.0,0.978105,0.000985,#00f900,#66ff66,G,AI846148
C130073F10Rik,0.008945999999999999,0.978096,0.0049700000000000005,#02f901,#67fe67,G,C130073F10Rik
Ikbip,0.0,0.978096,0.012922,#00f903,#66ff68,G,Ikbip
Edar,0.008945999999999999,0.978096,0.0049700000000000005,#02f901,#67fe67,G,Edar
Ptpn22,0.0,0.978096,0.012922,#00f903,#66ff68,G,Ptpn22
Ube2o,0.0,0.978096,0.012922,#00f903,#66ff68,G,Ube2o
Mea1,0.0,0.978096,0.006888,#00f902,#66ff67,G,Mea1
Klhl26,0.008945999999999999,0.978096,0.0049700000000000005,#02f901,#67fe67,G,Klhl26
Palb2,0.0,0.978096,0.012922,#00f903,#66ff68,G,Palb2
Gipc3,0.008945999999999999,0.978096,0.0049700000000000005,#02f901,#67fe67,G,Gipc3
Prkcz,0.034300000000000004,0.00098,0.98,#0900fa,#6b66ff,B,Prkcz
Prnp,0.035316,0.003924,0.977076,#0901f9,#6c67fe,B,Prnp
Gm3854,0.0294,0.00196,0.9751,#0700f9,#6b66ff,B,Gm3854
Dhrs7,0.0245,0.00686,0.96824,#0602f7,#6a67fe,B,Dhrs7
Vwa3b,0.02842,0.00196,0.96334,#0700f6,#6b66ff,B,Vwa3b
Copg2,0.02842,0.00196,0.9594199999999999,#0700f5,#6b66ff,B,Copg2
Glt28d2,0.02646,0.00196,0.95746,#0700f4,#6a66ff,B,Glt28d2
Has2,0.02646,0.00196,0.95746,#0700f4,#6a66ff,B,Has2
Samd11,0.02646,0.00196,0.95746,#0700f4,#6a66ff,B,Samd11
Gm10250,0.0245,0.00392,0.9555,#0601f4,#6a67fe,B,Gm10250
Fto,0.02156,0.00686,0.95256,#0502f3,#6967fe,B,Fto
Asb14,0.00098,0.03038,0.94472,#0008f1,#666bff,B,Asb14
Pmm2,0.0098,0.018619999999999998,0.94472,#0205f1,#6869fd,B,Pmm2
Gpr157,0.058,0.032,0.943,#0f08f0,#6f6bfa,B,Gpr157
Lgals1,0.00098,0.02744,0.9319799999999999,#0007ee,#666aff,B,Lgals1
Pnp,0.00098,0.02744,0.9319799999999999,#0007ee,#666aff,B,Pnp
Arid1b,0.00098,0.02744,0.9319799999999999,#0007ee,#666aff,B,Arid1b
Tmem119,0.00196,0.02744,0.9319799999999999,#0007ee,#666aff,B,Tmem119
Calcrl,0.0,0.032373,0.9290069999999999,#0008ed,#666bff,B,Calcrl
Comp,0.03366,0.04455,0.9276300000000001,#090bed,#6b6dfa,B,Comp
