,R,G,B,hex_val,hls_val,gene,L2
Grin1,0.264027,0.213426,0.29558999999999996,#43364b,#6a5676,Grin1,R
Phlda1,0.26329600000000003,0.261664,0.335648,#434356,#5a5973,Phlda1,R
Pnp,0.26316,0.216204,0.317856,#433751,#655379,Pnp,R
Fxyd2,0.263109,0.23561999999999997,0.360162,#433c5c,#5a517b,Fxyd2,R
Gria2,0.261488,0.20608800000000002,0.311902,#433550,#67517b,Gria2,R
Rbbp8,0.26101599999999997,0.20073899999999997,0.3196339999999999,#433352,#664f7d,Rbbp8,R
Scg3,0.26018399999999997,0.21001199999999998,0.23576399999999997,#42363c,#715b66,Scg3,R
Ube2o,0.259464,0.19744299999999998,0.33570999999999995,#423256,#634c80,Ube2o,R
Sos1,0.254333,0.186349,0.343562,#413058,#624884,Sos1,R
Tcta,0.253391,0.224296,0.279312,#413947,#675b71,Tcta,R
Pxn,0.252648,0.257004,0.239096,#40423d,#686a62,Pxn,R
Traip,0.25214400000000003,0.206856,0.17788800000000002,#40352d,#786254,Traip,R
Jdp2,0.251933,0.20675600000000002,0.177045,#40352d,#786254,Jdp2,R
Nr2f1,0.24894099999999997,0.234949,0.02915,#3f3c07,#b7ac15,Nr2f1,R
Prickle2,0.248614,0.199396,0.076982,#3f3314,#9c7d30,Prickle2,R
Wdfy2,0.247464,0.27568800000000004,0.245448,#3f463f,#616c60,Wdfy2,R
Prokr2,0.24678000000000003,0.19872,0.33642,#3f3356,#5e4c80,Prokr2,R
Zfp654,0.246512,0.276272,0.254448,#3f4641,#606c63,Zfp654,R
Ube2a,0.246356,0.27791400000000005,0.26977,#3f4745,#606c69,Ube2a,R
Tmem151b,0.24595999999999998,0.27434,0.23082399999999997,#3f463b,#636f5d,Tmem151b,R
Tmprss9,0.239057,0.301182,0.30267299999999997,#3d4d4d,#5a7172,Tmprss9,G
Slco2a1,0.241654,0.29101800000000005,0.357028,#3e4a5b,#52637a,Slco2a1,G
Mrps23,0.235422,0.290928,0.152482,#3c4a27,#6c8646,Mrps23,G
Slc14a1,0.19859600000000002,0.287282,0.6200439999999999,#33499e,#33499e,Slc14a1,G
Bag3,0.19456500000000002,0.283836,0.626423,#3248a0,#3248a0,Bag3,G
Fam122a,0.23994000000000001,0.281736,0.20781900000000003,#3d4835,#647557,Fam122a,G
Ube2a,0.246356,0.27791400000000005,0.26977,#3f4745,#606c69,Ube2a,G
Foxk1,0.176022,0.277368,0.66675,#2d47aa,#2d47aa,Foxk1,G
Zfp654,0.246512,0.276272,0.254448,#3f4641,#606c63,Zfp654,G
Wdfy2,0.247464,0.27568800000000004,0.245448,#3f463f,#616c60,Wdfy2,G
Tmem151b,0.24595999999999998,0.27434,0.23082399999999997,#3f463b,#636f5d,Tmem151b,G
Eif1a,0.230408,0.27308899999999997,0.17003,#3b462b,#6a7e4e,Eif1a,G
Poc5,0.241703,0.272363,0.267253,#3e4544,#606c6a,Poc5,G
Harbi1,0.174272,0.26841,0.689308,#2c44b0,#2c44b0,Harbi1,G
Zdhhc2,0.20636500000000002,0.2682,0.587805,#354496,#354597,Zdhhc2,G
Dpyd,0.226092,0.2656,0.15570799999999999,#3a4428,#6d814b,Dpyd,G
9830107B12Rik,0.182357,0.262472,0.658469,#2f43a8,#2f43a8,9830107B12Rik,G
Tmem253,0.182357,0.262472,0.658469,#2f43a8,#2f43a8,Tmem253,G
Bst1,0.182357,0.262472,0.658469,#2f43a8,#2f43a8,Bst1,G
Gm4847,0.182357,0.262472,0.658469,#2f43a8,#2f43a8,Gm4847,G
Urb1,0.127528,0.24247099999999996,0.828932,#213ed3,#213ed3,Urb1,B
Prkcz,0.135628,0.24892699999999998,0.827,#233fd3,#233fd3,Prkcz,B
Rsrc1,0.05148,0.17035199999999998,0.8246159999999999,#0d2bd2,#0d2bd2,Rsrc1,B
Oxr1,0.08136,0.196168,0.8244480000000001,#1532d2,#1532d2,Oxr1,B
Itga7,0.074784,0.190608,0.8244480000000001,#1331d2,#1331d2,Itga7,B
Banp,0.06945,0.17594,0.823214,#122dd2,#122dd2,Banp,B
Has2,0.037089,0.157866,0.822615,#0928d2,#0928d2,Has2,B
H2-DMb1,0.04715,0.16502499999999998,0.8222959999999999,#0c2ad2,#0c2ad2,H2-DMb1,B
Cenpf,0.044509,0.15909600000000002,0.8210489999999999,#0b29d1,#0b29d1,Cenpf,B
Katnal1,0.118094,0.22756800000000002,0.819762,#1e3ad1,#1e3ad1,Katnal1,B
Naa30,0.04184399999999999,0.153111,0.8178599999999999,#0b27d1,#0b27d1,Naa30,B
Impg2,0.04755,0.155964,0.814056,#0c28d0,#0c28d0,Impg2,B
Copg2,0.035482999999999994,0.14193199999999997,0.8122729999999999,#0924cf,#0924cf,Copg2,B
Gm973,0.03318,0.14504399999999998,0.807696,#0825ce,#0825ce,Gm973,B
Nrg2,0.035482999999999994,0.13521899999999998,0.8055599999999999,#0922cd,#0922cd,Nrg2,B
AI846148,0.0195,0.123825,0.8053499999999999,#0520cd,#0520cd,AI846148,B
Dlx5,0.050382,0.168873,0.801447,#0d2bcc,#0d2bcc,Dlx5,B
Hmha1,0.030008,0.139392,0.799568,#0824cc,#0824cc,Hmha1,B
Iqub,0.036213999999999996,0.13342,0.7995669999999999,#0922cc,#0922cc,Iqub,B
Neurl4,0.039442,0.133718,0.799422,#0a22cc,#0a22cc,Neurl4,B
