,R,G,B,hex_val,hls_val,gene,L2
Tmem253,0.8362200000000001,0.087785,0.031675,#d51608,#d51608,Tmem253,R
9830107B12Rik,0.8358040000000001,0.07760399999999999,0.028544,#d51407,#d51407,9830107B12Rik,R
Arglu1,0.832276,0.10252,0.049395999999999995,#d41a0d,#d41a0d,Arglu1,R
Shmt2,0.832276,0.10252,0.049395999999999995,#d41a0d,#d41a0d,Shmt2,R
Arl4a,0.8321040000000001,0.067564,0.039116,#d4110a,#d4110a,Arl4a,R
Hnrnpul1,0.8321040000000001,0.067564,0.039116,#d4110a,#d4110a,Hnrnpul1,R
Zdbf2,0.832104,0.13852799999999998,0.015912,#d42304,#d42304,Zdbf2,R
Uqcrc2,0.832104,0.13852799999999998,0.015912,#d42304,#d42304,Uqcrc2,R
Atf3,0.8320059999999999,0.139762,0.016883999999999996,#d42404,#d42404,Atf3,R
Toe1,0.8320059999999999,0.139762,0.016883999999999996,#d42404,#d42404,Toe1,R
Hnrnpf,0.8320059999999999,0.139762,0.016883999999999996,#d42404,#d42404,Hnrnpf,R
Zfp59,0.8320059999999999,0.139762,0.016883999999999996,#d42404,#d42404,Zfp59,R
Rnft1,0.8320059999999999,0.139762,0.016883999999999996,#d42404,#d42404,Rnft1,R
Trp53inp2,0.8310150000000001,0.139911,0.01878,#d42405,#d42405,Trp53inp2,R
Ptgs2,0.8309030000000001,0.142091,0.019761,#d42405,#d42405,Ptgs2,R
Serp1,0.8309030000000001,0.142091,0.019761,#d42405,#d42405,Serp1,R
Il16,0.82917,0.0415,0.00913,#d30b02,#d30b02,Il16,R
Card6,0.82917,0.0415,0.00913,#d30b02,#d30b02,Card6,R
Btbd2,0.82917,0.0415,0.00913,#d30b02,#d30b02,Btbd2,R
Nkx2-2,0.82917,0.0415,0.00913,#d30b02,#d30b02,Nkx2-2,R
Nsf,0.0499,0.998,0.041916,#0dfe0b,#0dfe0b,Nsf,G
Tspan33,0.048902,0.982032,0.040918,#0cfa0a,#0cfa0a,Tspan33,G
Pigm,0.088822,0.9560839999999999,0.040918,#17f40a,#17f40a,Pigm,G
Atg16l1,0.08483,0.945106,0.040918,#16f10a,#16f10a,Atg16l1,G
Ctnnd1,0.08483,0.945106,0.040918,#16f10a,#16f10a,Ctnnd1,G
Nptx2,0.08483,0.945106,0.040918,#16f10a,#16f10a,Nptx2,G
Aif1,0.020958,0.940116,0.056886,#05f00f,#05f00f,Aif1,G
Jmjd1c,0.020958,0.940116,0.056886,#05f00f,#05f00f,Jmjd1c,G
Ankrd27,0.020958,0.940116,0.056886,#05f00f,#05f00f,Ankrd27,G
Eif2b1,0.020958,0.940116,0.056886,#05f00f,#05f00f,Eif2b1,G
Mrps16,0.020958,0.940116,0.056886,#05f00f,#05f00f,Mrps16,G
Tgfb3,0.021956,0.93812,0.055888,#06ef0e,#06ef0e,Tgfb3,G
Slc6a6,0.021956,0.935126,0.055888,#06ee0e,#06ee0e,Slc6a6,G
Depdc7,0.021956,0.935126,0.055888,#06ee0e,#06ee0e,Depdc7,G
Tuba1b,0.021956,0.935126,0.055888,#06ee0e,#06ee0e,Tuba1b,G
Kctd8,0.021956,0.935126,0.055888,#06ee0e,#06ee0e,Kctd8,G
Csnk1a1,0.021956,0.935126,0.055888,#06ee0e,#06ee0e,Csnk1a1,G
Tox4,0.020958,0.9341280000000001,0.056886,#05ee0f,#05ee0f,Tox4,G
Ate1,0.020958,0.9341280000000001,0.056886,#05ee0f,#05ee0f,Ate1,G
Fgf8,0.093195,0.857394,0.032373,#18db08,#18db08,Fgf8,G
Prkcz,0.010681,0.040782,0.971,#030af8,#030af8,Prkcz,B
Cacna1b,0.010681,0.040782,0.971,#030af8,#030af8,Cacna1b,B
Maml2,0.010681,0.040782,0.971,#030af8,#030af8,Maml2,B
Rab3b,0.010691999999999998,0.040824,0.9700559999999999,#030af7,#030af7,Rab3b,B
Camk2a,0.010691999999999998,0.040824,0.9700559999999999,#030af7,#030af7,Camk2a,B
Cc2d1a,0.010691999999999998,0.040824,0.9700559999999999,#030af7,#030af7,Cc2d1a,B
Tcta,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Tcta,B
Necap1,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Necap1,B
Lmo7,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Lmo7,B
Gstm5,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Gstm5,B
Fam53c,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Fam53c,B
Iscu,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Iscu,B
Rab2a,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Rab2a,B
Polr2d,0.010735999999999999,0.046848,0.96624,#030cf6,#030cf6,Polr2d,B
Mest,0.030101,0.026217,0.9467249999999999,#0807f1,#0807f1,Mest,B
Cd1d1,0.030101,0.026217,0.9467249999999999,#0807f1,#0807f1,Cd1d1,B
Scd3,0.02931,0.030286999999999998,0.9457359999999999,#0708f1,#0708f1,Scd3,B
Zfp385b,0.02931,0.030286999999999998,0.9457359999999999,#0708f1,#0708f1,Zfp385b,B
Borcs8,0.02931,0.030286999999999998,0.9457359999999999,#0708f1,#0708f1,Borcs8,B
Kcnma1,0.035927,0.020391,0.9370149999999999,#0905ef,#0905ef,Kcnma1,B
