,Arc,Prkcz,Nsf,Fmr1,gene
1190002N15Rik,995,32,0,1,1190002N15Rik
1500009C09Rik,0,1,999,23,1500009C09Rik
1700028J19Rik,0,3,40,982,1700028J19Rik
2010111I01Rik,1000,35,0,1,2010111I01Rik
2410015M20Rik,0,10,33,989,2410015M20Rik
2700060E02Rik,0,0,43,979,2700060E02Rik
4930415O20Rik,319,122,558,0,4930415O20Rik
4930430F08Rik,0,11,986,8,4930430F08Rik
4930444P10Rik,0,1,42,980,4930444P10Rik
5730480H06Rik,0,0,43,979,5730480H06Rik
8430408G22Rik,78,5,914,1,8430408G22Rik
9030612E09Rik,0,0,43,979,9030612E09Rik
9530077C05Rik,0,0,43,979,9530077C05Rik
9830107B12Rik,9,120,868,6,9830107B12Rik
A830010M20Rik,994,33,0,1,A830010M20Rik
A930004D18Rik,325,700,1,19,A930004D18Rik
A930011G23Rik,1,79,335,592,A930011G23Rik
AI467606,319,122,558,0,AI467606
AI846148,0,1,993,15,AI846148
AI854703,993,34,0,1,AI854703
Aaed1,0,1,1000,22,Aaed1
Aard,0,20,23,999,Aard
Abca7,1,832,2,182,Abca7
Abra,995,32,0,1,Abra
Acan,1000,35,0,1,Acan
Acp7,0,20,23,999,Acp7
Actr10,989,38,0,3,Actr10
Actr3,506,519,1,9,Actr3
Adamts1,1000,35,0,1,Adamts1
Adamts10,0,21,22,999,Adamts10
Adamtsl5,0,20,23,999,Adamtsl5
Adgra2,0,1,1000,22,Adgra2
Adrb1,992,35,0,1,Adrb1
Agpat4,118,890,2,20,Agpat4
Agpat9,0,22,21,998,Agpat9
Ahr,772,253,1,1,Ahr
Ahsa2,0,21,22,999,Ahsa2
Aif1,0,1,995,17,Aif1
Aim1l,1,21,21,999,Aim1l
Akap10,15,140,127,735,Akap10
Akirin1,998,37,0,1,Akirin1
Akt1,937,68,15,1,Akt1
Amd2,358,503,167,0,Amd2
Amigo2,37,0,6,964,Amigo2
Anapc10,0,28,15,992,Anapc10
Ankar,319,122,558,0,Ankar
Ankrd13c,994,33,0,1,Ankrd13c
Ankrd27,113,897,1,20,Ankrd27
Ankrd33b,991,36,0,1,Ankrd33b
Anks1b,772,45,0,220,Anks1b
Ap1ar,995,32,0,1,Ap1ar
Ap1b1,682,345,0,9,Ap1b1
Apaf1,995,32,0,1,Apaf1
Aprt,0,12,31,991,Aprt
Aqp4,0,20,23,999,Aqp4
Arc,1000,35,0,1,Arc
Areg,0,2,41,981,Areg
Arglu1,0,687,0,329,Arglu1
Arhgap39,0,22,21,998,Arhgap39
Arhgef15,1,603,394,20,Arhgef15
Arid1a,690,333,2,1,Arid1a
Arid1b,1,951,28,20,Arid1b
Arid5b,1000,35,0,1,Arid5b
Arih1,991,36,0,1,Arih1
Arl16,0,20,23,999,Arl16
Arl4a,991,28,9,1,Arl4a
Arl4d,1000,35,0,1,Arl4d
Arl5b,999,36,0,1,Arl5b
Armcx3,996,39,0,1,Armcx3
Armcx4,777,48,112,71,Armcx4
Armcx5,993,34,0,1,Armcx5
Arntl,770,45,0,222,Arntl
Arpp19,800,227,0,1,Arpp19
Arpp21,991,36,0,1,Arpp21
Asb14,1,964,31,20,Asb14
Asic4,1000,35,0,1,Asic4
Asna1,0,1,1000,22,Asna1
Aste1,0,22,21,998,Aste1
Ate1,0,1,999,23,Ate1
Atf3,1000,35,0,1,Atf3
Atg16l1,877,7,122,1,Atg16l1
