,Arc,Prkcz,Nsf,Fmr1,gene
1190002N15Rik,0,0,0,0,1190002N15Rik
1500009C09Rik,939,189,882,948,1500009C09Rik
1700028J19Rik,889,255,954,876,1700028J19Rik
2010111I01Rik,0,0,0,0,2010111I01Rik
2410015M20Rik,750,278,691,768,2410015M20Rik
2700060E02Rik,902,258,957,889,2700060E02Rik
4930415O20Rik,0,0,0,0,4930415O20Rik
4930430F08Rik,245,669,168,226,4930430F08Rik
4930444P10Rik,986,172,871,971,4930444P10Rik
5730480H06Rik,995,161,856,956,5730480H06Rik
8430408G22Rik,0,0,0,0,8430408G22Rik
9030612E09Rik,911,247,946,900,9030612E09Rik
9530077C05Rik,890,270,969,877,9530077C05Rik
9830107B12Rik,239,863,344,237,9830107B12Rik
A830010M20Rik,0,0,0,0,A830010M20Rik
A930004D18Rik,412,581,324,433,A930004D18Rik
A930011G23Rik,987,171,870,970,A930011G23Rik
AI467606,0,0,0,0,AI467606
AI846148,20,826,127,25,AI846148
AI854703,290,446,311,294,AI854703
Aaed1,256,714,177,239,Aaed1
Aard,908,252,951,895,Aard
Abca7,32,822,123,38,Abca7
Abra,0,0,0,0,Abra
Acan,19,14,16,17,Acan
Acp7,894,266,965,881,Acp7
Actr10,973,186,834,930,Actr10
Actr3,2,243,3,11,Actr3
Adamts1,59,24,46,56,Adamts1
Adamts10,885,275,974,872,Adamts10
Adamtsl5,913,153,846,921,Adamtsl5
Adgra2,113,732,88,110,Adgra2
Adrb1,2,577,38,10,Adrb1
Agpat4,35,827,128,48,Agpat4
Agpat9,886,274,973,873,Agpat9
Ahr,0,0,0,0,Ahr
Ahsa2,890,256,955,877,Ahsa2
Aif1,0,0,0,0,Aif1
Aim1l,989,171,870,968,Aim1l
Akap10,888,271,970,875,Akap10
Akirin1,0,0,0,0,Akirin1
Akt1,12,75,12,22,Akt1
Amd2,679,268,623,697,Amd2
Amigo2,990,170,869,967,Amigo2
Anapc10,733,427,874,720,Anapc10
Ankar,0,0,0,0,Ankar
Ankrd13c,0,0,0,0,Ankrd13c
Ankrd27,369,612,416,409,Ankrd27
Ankrd33b,0,0,0,0,Ankrd33b
Anks1b,993,171,866,964,Anks1b
Ap1ar,48,153,58,64,Ap1ar
Ap1b1,837,257,746,849,Ap1b1
Apaf1,0,0,0,0,Apaf1
Aprt,654,362,714,655,Aprt
Aqp4,991,159,854,954,Aqp4
Arc,1000,164,859,957,Arc
Areg,890,258,957,877,Areg
Arglu1,381,548,354,406,Arglu1
Arhgap39,891,256,955,878,Arhgap39
Arhgef15,854,256,737,823,Arhgef15
Arid1a,0,0,0,0,Arid1a
Arid1b,161,887,280,159,Arid1b
Arid5b,197,64,167,185,Arid5b
Arih1,0,30,0,1,Arih1
Arl16,893,267,966,880,Arl16
Arl4a,0,0,0,0,Arl4a
Arl4d,989,172,852,950,Arl4d
Arl5b,0,0,0,0,Arl5b
Armcx3,0,0,0,0,Armcx3
Armcx4,895,265,964,882,Armcx4
Armcx5,0,0,0,0,Armcx5
Arntl,925,149,832,916,Arntl
Arpp19,0,0,0,0,Arpp19
Arpp21,0,0,0,0,Arpp21
Asb14,175,887,288,171,Asb14
Asic4,0,0,0,0,Asic4
Asna1,554,428,518,576,Asna1
Aste1,583,140,528,584,Aste1
Ate1,971,177,858,986,Ate1
Atf3,0,0,0,0,Atf3
Atg16l1,902,258,957,889,Atg16l1
Atl2,893,247,896,858,Atl2
Atp8b3,889,258,957,876,Atp8b3
Atpif1,8,103,13,17,Atpif1
Aven,0,19,0,2,Aven
Avp,890,256,955,877,Avp
Avpi1,986,178,845,943,Avpi1
B3gnt2,0,0,0,0,B3gnt2
B430203G13Rik,887,260,959,874,B430203G13Rik
BC003331,886,274,973,873,BC003331
Bach1,901,227,882,867,Bach1
Bag3,255,821,372,237,Bag3
Bahcc1,10,797,98,19,Bahcc1
Banp,75,889,190,74,Banp
Bbs1,783,325,666,752,Bbs1
Bdnf,0,0,0,0,Bdnf
Birc5,2,580,25,11,Birc5
