,Arc,Prkcz,Nsf,Fmr1,gene
1190002N15Rik,0,114,605,0,1190002N15Rik
1500009C09Rik,0,114,605,0,1500009C09Rik
1700028J19Rik,58,372,6,345,1700028J19Rik
2010111I01Rik,629,350,60,4,2010111I01Rik
2410015M20Rik,171,29,2,1000,2410015M20Rik
2700060E02Rik,9,143,152,18,2700060E02Rik
4930415O20Rik,749,115,190,2,4930415O20Rik
4930430F08Rik,0,114,605,0,4930430F08Rik
4930444P10Rik,0,116,603,0,4930444P10Rik
5730480H06Rik,0,114,605,0,5730480H06Rik
8430408G22Rik,0,116,603,0,8430408G22Rik
9030612E09Rik,169,47,1,982,9030612E09Rik
9530077C05Rik,162,222,1,784,9530077C05Rik
9830107B12Rik,937,32,87,108,9830107B12Rik
A830010M20Rik,0,107,614,3,A830010M20Rik
A930004D18Rik,86,31,160,830,A930004D18Rik
A930011G23Rik,725,21,306,0,A930011G23Rik
AI467606,749,115,190,2,AI467606
AI846148,288,31,265,399,AI846148
AI854703,0,115,605,0,AI854703
Aaed1,0,116,603,0,Aaed1
Aard,165,182,2,810,Aard
Abca7,172,8,0,970,Abca7
Abra,1,1,0,0,Abra
Acan,931,19,66,198,Acan
Acp7,807,1,64,307,Acp7
Actr10,1,111,607,1,Actr10
Actr3,710,31,283,0,Actr3
Adamts1,709,59,282,0,Adamts1
Adamts10,9,143,152,18,Adamts10
Adamtsl5,5,114,571,54,Adamtsl5
Adgra2,1,145,572,4,Adgra2
Adrb1,28,214,22,50,Adrb1
Agpat4,401,0,8,535,Agpat4
Agpat9,749,115,190,2,Agpat9
Ahr,15,897,1,106,Ahr
Ahsa2,329,3,4,571,Ahsa2
Aif1,21,57,942,2,Aif1
Aim1l,1,1,0,0,Aim1l
Akap10,31,896,3,30,Akap10
Akirin1,1,244,76,21,Akirin1
Akt1,169,47,1,982,Akt1
Amd2,171,13,1,982,Amd2
Amigo2,191,6,0,952,Amigo2
Anapc10,1,143,553,22,Anapc10
Ankar,749,115,190,2,Ankar
Ankrd13c,172,3,1,967,Ankrd13c
Ankrd27,21,57,942,2,Ankrd27
Ankrd33b,100,65,46,120,Ankrd33b
Anks1b,327,3,4,565,Anks1b
Ap1ar,169,43,1,986,Ap1ar
Ap1b1,342,0,2,737,Ap1b1
Apaf1,171,13,1,982,Apaf1
Aprt,329,3,4,571,Aprt
Aqp4,168,53,1,975,Aqp4
Arc,1000,11,50,171,Arc
Areg,58,372,6,345,Areg
Arglu1,893,53,110,68,Arglu1
Arhgap39,157,9,25,934,Arhgap39
Arhgef15,171,4,41,895,Arhgef15
Arid1a,0,118,601,0,Arid1a
Arid1b,99,4,551,335,Arid1b
Arid5b,0,115,603,1,Arid5b
Arih1,2,338,14,22,Arih1
Arl16,168,52,1,976,Arl16
Arl4a,936,44,76,111,Arl4a
Arl4d,750,200,81,17,Arl4d
Arl5b,158,8,445,10,Arl5b
Armcx3,401,0,8,535,Armcx3
Armcx4,58,890,11,75,Armcx4
Armcx5,0,110,615,2,Armcx5
Arntl,1,282,25,45,Arntl
Arpp19,280,30,310,350,Arpp19
Arpp21,4,173,51,86,Arpp21
Asb14,3,419,19,22,Asb14
Asic4,342,0,2,737,Asic4
Asna1,0,125,603,0,Asna1
Aste1,1,157,565,4,Aste1
Ate1,21,57,936,2,Ate1
Atf3,887,18,149,62,Atf3
Atg16l1,85,41,947,2,Atg16l1
Atl2,712,101,242,1,Atl2
Atp8b3,722,96,236,0,Atp8b3
Atpif1,0,116,603,0,Atpif1
Aven,13,892,1,38,Aven
Avp,21,900,1,61,Avp
Avpi1,858,80,117,55,Avpi1
B3gnt2,6,135,141,20,B3gnt2
B430203G13Rik,5,233,45,25,B430203G13Rik
BC003331,629,350,60,4,BC003331
Bach1,6,135,141,20,Bach1
Bag3,0,110,615,0,Bag3
Bahcc1,170,9,0,973,Bahcc1
Banp,340,1,2,738,Banp
Bbs1,0,114,605,0,Bbs1
Bdnf,35,888,8,97,Bdnf
Birc5,0,118,601,0,Birc5
Borcs8,30,968,31,23,Borcs8
Bst1,21,900,1,61,Bst1
Btbd2,999,11,50,170,Btbd2
Btg1,629,351,59,4,Btg1
Btg2,712,101,242,1,Btg2
C130073F10Rik,101,31,851,21,C130073F10Rik
C2cd4b,712,101,242,1,C2cd4b
Cacna1b,11,1000,42,29,Cacna1b
Calcrl,17,111,35,190,Calcrl
Calu,169,47,1,982,Calu
Camk2a,11,998,42,28,Camk2a
Capsl,754,106,195,2,Capsl
Card6,999,11,50,170,Card6
Cbx1,2,308,74,34,Cbx1
Cc2d1a,11,998,42,28,Cc2d1a
Ccar2,168,53,1,975,Ccar2
Ccdc137,340,1,2,738,Ccdc137
Ccdc32,340,1,2,738,Ccdc32
Ccdc7a,754,106,195,2,Ccdc7a
Ccdc93,10,122,173,26,Ccdc93
Ccl27a,14,81,38,209,Ccl27a
Ccnk,95,51,163,794,Ccnk
Ccno,16,897,1,103,Ccno
Ccnt1,58,320,1,704,Ccnt1
Ccpg1os,0,114,605,0,Ccpg1os
Cd1d1,31,975,27,29,Cd1d1
Cd27,38,40,13,364,Cd27
Cd5,754,106,195,2,Cd5
Cdhr3,752,193,79,20,Cdhr3
Cdk11b,171,29,2,1000,Cdk11b
Cds1,632,358,45,0,Cds1
Cdv3,5,227,50,23,Cdv3
Cebpzos,0,116,603,0,Cebpzos
Cecr6,15,897,1,106,Cecr6
Cenpf,188,6,0,954,Cenpf
Cenpl,288,31,265,399,Cenpl
Cep295,0,115,604,0,Cep295
Chst14,3,419,19,22,Chst14
Ciart,168,52,1,976,Ciart
Cirh1a,340,1,2,738,Cirh1a
Cisd2,171,20,1,988,Cisd2
Cited2,58,890,11,75,Cited2
Clcc1,194,5,0,949,Clcc1
Cldn12,23,23,487,11,Cldn12
Clec16a,170,9,0,973,Clec16a
Clip2,92,334,1,686,Clip2
Clptm1l,188,5,0,955,Clptm1l
Clrn1,0,116,603,0,Clrn1
Cnnm1,0,114,605,0,Cnnm1
Cnnm4,361,0,4,720,Cnnm4
Coa3,288,31,265,399,Coa3
Cog1,202,1,0,939,Cog1
Col10a1,3,140,125,32,Col10a1
Col15a1,16,893,0,106,Col15a1
Comp,21,900,1,61,Comp
Copg2,0,116,603,0,Copg2
Coq2,912,43,68,184,Coq2
Cox7a2l,0,116,603,0,Cox7a2l
Cpeb4,116,217,1,746,Cpeb4
Crebzf,0,115,604,0,Crebzf
Crlf3,0,109,615,0,Crlf3
Csnk1a1,22,56,937,2,Csnk1a1
Ctf1,0,110,615,0,Ctf1
Ctnnd1,85,41,947,2,Ctnnd1
Cul3,116,7,510,335,Cul3
Cul9,752,193,79,20,Cul9
Cwc25,23,25,476,11,Cwc25
Cxadr,440,18,449,114,Cxadr
Cyp11a1,116,7,510,335,Cyp11a1
Cyp2t4,58,890,11,75,Cyp2t4
D130040H23Rik,16,897,1,103,D130040H23Rik
Dars,0,116,603,0,Dars
Dbpht2,171,13,1,982,Dbpht2
Dck,340,1,2,738,Dck
Dcun1d3,356,0,3,724,Dcun1d3
Depdc7,22,56,937,2,Depdc7
Dhrs7,0,115,605,0,Dhrs7
Dhx16,0,128,597,0,Dhx16
Diras1,0,114,605,0,Diras1
Dlk1,749,115,190,2,Dlk1
Dlx5,0,116,603,0,Dlx5
Dmxl1,0,116,603,0,Dmxl1
Dnaja1,632,358,45,0,Dnaja1
Dnaja4,190,6,0,952,Dnaja4
Dnajb1,632,358,45,0,Dnajb1
Dock7,0,116,603,0,Dock7
Dpm3,0,116,605,0,Dpm3
Dpyd,1,244,76,21,Dpyd
Dscc1,754,106,195,2,Dscc1
Dusp10,712,101,242,1,Dusp10
Dusp14,177,137,0,868,Dusp14
Dusp16,752,193,80,20,Dusp16
Dusp2,15,107,36,193,Dusp2
Dusp4,15,897,1,106,Dusp4
Dusp6,629,350,60,4,Dusp6
Dusp8,174,4,2,969,Dusp8
Dyrk2,1,115,593,5,Dyrk2
Edar,101,31,851,21,Edar
Egflam,723,30,299,0,Egflam
Egr1,712,101,242,1,Egr1
Egr2,712,101,242,1,Egr2
Egr3,13,892,1,38,Egr3
Egr4,629,349,61,4,Egr4
Eif1a,23,25,476,11,Eif1a
Eif2b1,21,57,942,2,Eif2b1
Eif2s1,169,35,2,993,Eif2s1
Eif5,632,358,45,0,Eif5
Elavl1,86,31,160,830,Elavl1
Epc1,329,3,4,571,Epc1
Ephx2,627,366,43,0,Ephx2
Eprs,627,367,41,0,Eprs
Errfi1,632,358,45,0,Errfi1
Esm1,3,0,1,3,Esm1
Extl1,92,334,1,686,Extl1
F13a1,749,115,190,2,F13a1
Fam118a,0,114,605,0,Fam118a
Fam122a,0,115,605,0,Fam122a
Fam150b,288,31,265,399,Fam150b
Fam174b,0,116,603,0,Fam174b
Fam189a2,318,20,260,390,Fam189a2
Fam53c,11,990,48,24,Fam53c
Fam57a,1000,11,50,171,Fam57a
Fam78a,8,199,62,28,Fam78a
Fbl,96,60,158,793,Fbl
Fbxl2,0,110,614,2,Fbxl2
Fbxl4,327,3,4,565,Fbxl4
Fbxl6,0,110,615,0,Fbxl6
Fbxo18,155,3,43,926,Fbxo18
Fbxo33,629,350,60,4,Fbxo33
Fbxo34,40,32,100,289,Fbxo34
Fbxo42,342,0,2,736,Fbxo42
Fbxw7,191,6,0,952,Fbxw7
Fdx1l,1000,11,50,171,Fdx1l
Fgf8,95,33,874,19,Fgf8
Fkbp6,484,0,7,594,Fkbp6
Flrt3,132,82,1,885,Flrt3
Fmr1,171,29,2,1000,Fmr1
Fos,709,59,282,0,Fos
Fosb,712,101,242,1,Fosb
Fosl2,710,56,283,0,Fosl2
Foxg1,376,129,177,46,Foxg1
Foxk1,3,334,18,19,Foxk1
Foxo1,627,367,41,0,Foxo1
Frat2,0,120,599,0,Frat2
Frmd6,629,350,60,4,Frmd6
Fto,168,53,1,975,Fto
Fut7,754,106,195,2,Fut7
Fxyd2,0,116,603,0,Fxyd2
Fzd4,3,334,18,19,Fzd4
