R,G,B,hex_val,hls_val,gene
1.0,0.0,0.0,#ff0000,#ff0000,1190002N15Rik
0.0,0.11186399999999999,0.022302,#001d06,#00cc29,1500009C09Rik
0.0,0.04029600000000003,0.011730000000000011,#000a03,#00cc3b,1700028J19Rik
1.0,0.0,0.0,#ff0000,#ff0000,2010111I01Rik
0.0,0.23731200000000005,0.08590200000000002,#003d16,#00cc4a,2410015M20Rik
0.0,0.03822700000000003,0.01109400000000001,#000a03,#00cc3b,2700060E02Rik
0.0,0.0,0.0,#000000,#666666,4930415O20Rik
0.0,0.188032,0.556608,#00308e,#0045cc,4930430F08Rik
0.0,0.125259,0.022188,#002006,#00cc24,4930444P10Rik
0.0,0.137664,0.023184000000000003,#002306,#00cc22,5730480H06Rik
1.0,0.0,0.0,#ff0000,#ff0000,8430408G22Rik
0.0,0.048600000000000046,0.013338000000000011,#000c03,#00cc38,9030612E09Rik
0.0,0.027187000000000024,0.008370000000000008,#000702,#00cc3f,9530077C05Rik
0.0,0.155472,0.566128,#002890,#0038cc,9830107B12Rik
1.0,0.0,0.0,#ff0000,#ff0000,A830010M20Rik
0.0,0.29270799999999997,0.39275599999999994,#004b64,#0098cc,A930004D18Rik
0.0,0.1261,0.022230000000000003,#002006,#00cc24,A930011G23Rik
0.0,0.0,0.0,#000000,#666666,AI467606
0.014841000000000002,0.021825,0.7210979999999999,#0406b8,#0406c8,AI846148
0.14400100000000002,0.202566,0.307294,#25344e,#415c8b,AI854703
0.0,0.19669699999999998,0.587622,#003296,#0044cc,Aaed1
0.0,0.04385500000000004,0.012348000000000012,#000b03,#00cc39,Aard
0.0,0.033326,0.7208939999999999,#0008b8,#0009cc,Abca7
1.0,0.0,0.0,#ff0000,#ff0000,Abra
0.9653039999999999,0.016728,0.013776,#f60404,#f60404,Acan
0.0,0.03083500000000003,0.00931000000000001,#000802,#00cc3e,Acp7
0.0,0.15438000000000004,0.030876000000000008,#002708,#00cc29,Actr10
0.657023,0.010967,0.242271,#a8033e,#c9034a,Actr3
0.8977139999999999,0.053424,0.022896,#e50e06,#e50e06,Adamts1
0.0,0.02267200000000002,0.007150000000000007,#000602,#00cc40,Adamts10
0.0,0.14183400000000004,0.023562000000000003,#002406,#00cc22,Adamtsl5
0.030096,0.10032,0.667584,#081aaa,#091dc3,Adgra2
0.377104,0.00962,0.555074,#60028e,#8803c9,Adrb1
0.0,0.041856,0.721144,#000bb8,#000ccc,Agpat4
0.0,0.023571000000000022,0.007398000000000007,#000602,#00cc40,Agpat9
1.0,0.0,0.0,#ff0000,#ff0000,Ahr
0.0,0.039465000000000035,0.011520000000000011,#000a03,#00cc3c,Ahsa2
1.0,0.0,0.0,#ff0000,#ff0000,Aif1
0.0,0.12584,0.022230000000000003,#002006,#00cc24,Aim1l
0.0,0.026250000000000023,0.008130000000000007,#000702,#00cc3f,Akap10
1.0,0.0,0.0,#ff0000,#ff0000,Akirin1
0.8398,0.021736,0.0741,#d60613,#d60613,Akt1
0.025259,0.262769,0.101036,#06431a,#12ba48,Amd2
0.0,0.126677,0.02227,#002006,#00cc24,Amigo2
0.0,0.09072,0.053802,#00170e,#00cc79,Anapc10
0.0,0.0,0.0,#000000,#666666,Ankar
1.0,0.0,0.0,#ff0000,#ff0000,Ankrd13c
0.0,0.238856,0.35740800000000006,#003d5b,#0088cc,Ankrd27
1.0,0.0,0.0,#ff0000,#ff0000,Ankrd33b
0.0,0.129176,0.022914000000000004,#002106,#00cc24,Anks1b
0.663168,0.060288,0.14412599999999998,#a90f25,#bb1129,Ap1ar
0.0,0.215646,0.065278,#003711,#00cc3e,Ap1b1
1.0,0.0,0.0,#ff0000,#ff0000,Apaf1
0.0,0.18733000000000002,0.10353200000000001,#00301a,#00cc71,Aprt
0.0,0.13928400000000002,0.023214000000000002,#002406,#00cc22,Aqp4
0.0,0.134937,0.023124000000000002,#002206,#00cc23,Arc
0.0,0.037711000000000036,0.01109400000000001,#000a03,#00cc3c,Areg
0.0,0.262276,0.35400800000000004,#00435a,#0097cc,Arglu1
0.0,0.03951000000000004,0.011520000000000011,#000a03,#00cc3b,Arhgap39
0.0,0.216449,0.067328,#003711,#00cc3f,Arhgef15
1.0,0.0,0.0,#ff0000,#ff0000,Arid1a
0.0,0.11448,0.63864,#001da3,#0025cc,Arid1b
0.668899,0.154105,0.053312,#ab270e,#bd2c0f,Arid5b
0.93,0.001,0.03,#ed0008,#ed0008,Arih1
0.0,0.029920000000000026,0.009078000000000008,#000802,#00cc3e,Arl16
