,Npas4,Prkcz,Nsf,Fmr1,gene
1190002N15Rik,1000,0,0,0,1190002N15Rik
1500009C09Rik,0,189,882,948,1500009C09Rik
1700028J19Rik,0,255,954,876,1700028J19Rik
2010111I01Rik,1000,0,0,0,2010111I01Rik
2410015M20Rik,0,278,691,768,2410015M20Rik
2700060E02Rik,0,258,957,889,2700060E02Rik
4930415O20Rik,0,0,0,0,4930415O20Rik
4930430F08Rik,0,669,168,226,4930430F08Rik
4930444P10Rik,0,172,871,971,4930444P10Rik
5730480H06Rik,0,161,856,956,5730480H06Rik
8430408G22Rik,1000,0,0,0,8430408G22Rik
9030612E09Rik,0,247,946,900,9030612E09Rik
9530077C05Rik,0,270,969,877,9530077C05Rik
9830107B12Rik,0,863,344,237,9830107B12Rik
A830010M20Rik,1000,0,0,0,A830010M20Rik
A930004D18Rik,0,581,324,433,A930004D18Rik
A930011G23Rik,0,171,870,970,A930011G23Rik
AI467606,0,0,0,0,AI467606
AI846148,17,826,127,25,AI846148
AI854703,209,446,311,294,AI854703
Aaed1,0,714,177,239,Aaed1
Aard,0,252,951,895,Aard
Abca7,0,822,123,38,Abca7
Abra,1000,0,0,0,Abra
Acan,981,14,16,17,Acan
Acp7,0,266,965,881,Acp7
Actr10,0,186,834,930,Actr10
Actr3,659,243,3,11,Actr3
Adamts1,941,24,46,56,Adamts1
Adamts10,0,275,974,872,Adamts10
Adamtsl5,0,153,846,921,Adamtsl5
Adgra2,33,732,88,110,Adgra2
Adrb1,392,577,38,10,Adrb1
Agpat4,0,827,128,48,Agpat4
Agpat9,0,274,973,873,Agpat9
Ahr,1000,0,0,0,Ahr
Ahsa2,0,256,955,877,Ahsa2
Aif1,1000,0,0,0,Aif1
Aim1l,0,171,870,968,Aim1l
Akap10,0,271,970,875,Akap10
Akirin1,1000,0,0,0,Akirin1
Akt1,850,75,12,22,Akt1
Amd2,67,268,623,697,Amd2
Amigo2,0,170,869,967,Amigo2
Anapc10,0,427,874,720,Anapc10
Ankar,0,0,0,0,Ankar
Ankrd13c,1000,0,0,0,Ankrd13c
Ankrd27,0,612,416,409,Ankrd27
Ankrd33b,1000,0,0,0,Ankrd33b
Anks1b,0,171,866,964,Anks1b
Ap1ar,704,153,58,64,Ap1ar
Ap1b1,0,257,746,849,Ap1b1
Apaf1,1000,0,0,0,Apaf1
Aprt,0,362,714,655,Aprt
Aqp4,0,159,854,954,Aqp4
Arc,0,164,859,957,Arc
Areg,0,258,957,877,Areg
Arglu1,0,548,354,406,Arglu1
Arhgap39,0,256,955,878,Arhgap39
Arhgef15,0,256,737,823,Arhgef15
Arid1a,1000,0,0,0,Arid1a
Arid1b,0,887,280,159,Arid1b
Arid5b,803,64,167,185,Arid5b
Arih1,930,30,0,1,Arih1
Arl16,0,267,966,880,Arl16
Arl4a,1000,0,0,0,Arl4a
Arl4d,0,172,852,950,Arl4d
Arl5b,1000,0,0,0,Arl5b
Armcx3,1000,0,0,0,Armcx3
Armcx4,0,265,964,882,Armcx4
Armcx5,1000,0,0,0,Armcx5
Arntl,0,149,832,916,Arntl
Arpp19,1000,0,0,0,Arpp19
Arpp21,1000,0,0,0,Arpp21
Asb14,0,887,288,171,Asb14
Asic4,1000,0,0,0,Asic4
Asna1,0,428,518,576,Asna1
Aste1,338,140,528,584,Aste1
Ate1,0,177,858,986,Ate1
Atf3,1000,0,0,0,Atf3
Atg16l1,0,258,957,889,Atg16l1
Atl2,0,247,896,858,Atl2
Atp8b3,0,258,957,876,Atp8b3
Atpif1,811,103,13,17,Atpif1
Aven,974,19,0,2,Aven
Avp,0,256,955,877,Avp
Avpi1,0,178,845,943,Avpi1
B3gnt2,1000,0,0,0,B3gnt2
B430203G13Rik,0,260,959,874,B430203G13Rik
BC003331,0,274,973,873,BC003331
Bach1,0,227,882,867,Bach1
Bag3,0,821,372,237,Bag3
