,cluster
1190002N15Rik,0
1500009C09Rik,1
1700028J19Rik,1
2010111I01Rik,0
2410015M20Rik,1
2700060E02Rik,1
4930415O20Rik,2
4930430F08Rik,3
4930444P10Rik,1
5730480H06Rik,1
8430408G22Rik,0
9030612E09Rik,1
9530077C05Rik,1
9830107B12Rik,3
A830010M20Rik,0
A930004D18Rik,1
A930011G23Rik,1
AI467606,4
AI846148,3
AI854703,1
Aaed1,3
Aard,1
Abca7,3
Abra,0
Acan,0
Acp7,1
Actr10,1
Actr3,0
Adamts1,0
Adamts10,1
Adamtsl5,1
Adgra2,3
Adrb1,0
Agpat4,3
Agpat9,1
Ahr,0
Ahsa2,1
Aif1,0
Aim1l,1
Akap10,1
Akirin1,0
Akt1,0
Amd2,1
Amigo2,1
Anapc10,1
Ankar,5
Ankrd13c,0
Ankrd27,1
Ankrd33b,0
Anks1b,1
Ap1ar,0
Ap1b1,1
Apaf1,0
Aprt,1
Aqp4,1
Arc,1
Areg,1
Arglu1,1
Arhgap39,1
Arhgef15,1
Arid1a,0
Arid1b,3
Arid5b,0
Arih1,0
Arl16,1
Arl4a,0
Arl4d,1
Arl5b,0
Armcx3,0
Armcx4,1
Armcx5,0
Arntl,1
Arpp19,0
Arpp21,0
Asb14,3
Asic4,0
Asna1,1
Aste1,1
Ate1,1
Atf3,0
Atg16l1,1
Atl2,1
Atp8b3,1
Atpif1,0
Aven,0
Avp,1
Avpi1,1
B3gnt2,0
B430203G13Rik,1
BC003331,1
Bach1,1
Bag3,3
Bahcc1,3
Banp,3
Bbs1,1
Bdnf,0
Birc5,3
Borcs8,0
Bst1,3
Btbd2,1
Btg1,3
Btg2,0
C130073F10Rik,6
C2cd4b,1
Cacna1b,1
Calcrl,3
Calu,0
Camk2a,1
Capsl,1
Card6,3
Cbx1,1
Cc2d1a,1
Ccar2,0
Ccdc137,1
Ccdc32,1
Ccdc7a,3
Ccdc93,0
Ccl27a,0
Ccnk,0
Ccno,1
Ccnt1,0
Ccpg1os,0
Cd1d1,3
Cd27,1
Cd5,7
Cdhr3,0
Cdk11b,0
Cds1,1
Cdv3,0
Cebpzos,0
Cecr6,0
Cenpf,3
Cenpl,1
Cep295,0
Chst14,0
Ciart,0
Cirh1a,1
Cisd2,1
Cited2,1
Clcc1,0
Cldn12,0
Clec16a,1
Clip2,1
Clptm1l,0
Clrn1,0
Cnnm1,0
Cnnm4,0
Coa3,1
Cog1,1
Col10a1,0
Col15a1,0
Comp,3
Copg2,3
Coq2,1
Cox7a2l,1
Cpeb4,0
Crebzf,0
Crlf3,1
Csnk1a1,0
Ctf1,3
Ctnnd1,0
Cul3,0
Cul9,0
Cwc25,0
Cxadr,0
Cyp11a1,1
Cyp2t4,1
D130040H23Rik,1
Dars,1
Dbpht2,0
Dck,1
Dcun1d3,0
Depdc7,3
Dhrs7,1
Dhx16,3
Diras1,0
Dlk1,8
Dlx5,3
Dmxl1,1
Dnaja1,0
Dnaja4,0
Dnajb1,0
Dock7,1
Dpm3,3
Dpyd,1
Dscc1,9
Dusp10,1
Dusp14,1
Dusp16,0
Dusp2,3
Dusp4,0
Dusp6,0
Dusp8,0
Dyrk2,1
Edar,10
Egflam,3
Egr1,0
Egr2,1
