,cluster
1190002N15Rik,0
1500009C09Rik,0
1700028J19Rik,1
2010111I01Rik,2
2410015M20Rik,3
2700060E02Rik,1
4930415O20Rik,2
4930430F08Rik,0
4930444P10Rik,0
5730480H06Rik,0
8430408G22Rik,0
9030612E09Rik,3
9530077C05Rik,3
9830107B12Rik,2
A830010M20Rik,0
A930004D18Rik,3
A930011G23Rik,2
AI467606,2
AI846148,3
AI854703,0
Aaed1,0
Aard,3
Abca7,3
Abra,4
Acan,2
Acp7,2
Actr10,0
Actr3,2
Adamts1,2
Adamts10,1
Adamtsl5,0
Adgra2,0
Adrb1,1
Agpat4,3
Agpat9,2
Ahr,5
Ahsa2,3
Aif1,0
Aim1l,6
Akap10,5
Akirin1,1
Akt1,3
Amd2,3
Amigo2,3
Anapc10,0
Ankar,2
Ankrd13c,3
Ankrd27,0
Ankrd33b,1
Anks1b,3
Ap1ar,3
Ap1b1,3
Apaf1,3
Aprt,3
Aqp4,3
Arc,2
Areg,1
Arglu1,2
Arhgap39,3
Arhgef15,3
Arid1a,0
Arid1b,3
Arid5b,0
Arih1,1
Arl16,3
Arl4a,2
Arl4d,2
Arl5b,1
Armcx3,3
Armcx4,5
Armcx5,0
Arntl,1
Arpp19,0
Arpp21,1
Asb14,1
Asic4,3
Asna1,0
Aste1,0
Ate1,0
Atf3,2
Atg16l1,0
Atl2,2
Atp8b3,2
Atpif1,0
Aven,5
Avp,5
Avpi1,2
B3gnt2,1
B430203G13Rik,1
BC003331,2
Bach1,1
Bag3,0
Bahcc1,3
Banp,3
Bbs1,0
Bdnf,5
Birc5,0
Borcs8,5
Bst1,5
Btbd2,2
Btg1,2
Btg2,2
C130073F10Rik,0
C2cd4b,2
Cacna1b,5
Calcrl,1
Calu,3
Camk2a,5
Capsl,2
Card6,2
Cbx1,1
Cc2d1a,5
Ccar2,3
Ccdc137,3
Ccdc32,3
Ccdc7a,2
Ccdc93,1
Ccl27a,1
Ccnk,3
Ccno,5
Ccnt1,3
Ccpg1os,0
Cd1d1,5
Cd27,1
Cd5,2
Cdhr3,2
Cdk11b,3
Cds1,2
Cdv3,1
Cebpzos,0
Cecr6,5
Cenpf,3
Cenpl,3
Cep295,0
Chst14,1
Ciart,3
Cirh1a,3
Cisd2,3
Cited2,5
Clcc1,3
Cldn12,1
Clec16a,3
Clip2,3
Clptm1l,3
Clrn1,0
Cnnm1,0
Cnnm4,3
Coa3,3
Cog1,3
Col10a1,1
Col15a1,5
Comp,5
Copg2,0
Coq2,2
Cox7a2l,0
Cpeb4,3
Crebzf,0
Crlf3,0
Csnk1a1,0
Ctf1,0
Ctnnd1,0
Cul3,3
Cul9,2
Cwc25,1
Cxadr,2
Cyp11a1,3
Cyp2t4,5
D130040H23Rik,5
Dars,0
Dbpht2,3
Dck,3
Dcun1d3,3
Depdc7,0
Dhrs7,0
Dhx16,0
Diras1,0
Dlk1,2
Dlx5,0
Dmxl1,0
Dnaja1,2
Dnaja4,3
Dnajb1,2
Dock7,0
Dpm3,0
Dpyd,1
Dscc1,2
Dusp10,2
Dusp14,3
Dusp16,2
Dusp2,1
Dusp4,5
Dusp6,2
Dusp8,3
Dyrk2,0
Edar,0
Egflam,2
Egr1,2
Egr2,2
Egr3,5
Egr4,2
Eif1a,1
Eif2b1,0
Eif2s1,3
Eif5,2
Elavl1,3
Epc1,3
Ephx2,2
Eprs,2
Errfi1,2
Esm1,7
Extl1,3
F13a1,2
Fam118a,0
Fam122a,0
Fam150b,3
Fam174b,0
Fam189a2,3
Fam53c,5
Fam57a,2
Fam78a,1
Fbl,3
Fbxl2,0
Fbxl4,3
Fbxl6,0
