,gene,PCOR,P_pv,SCOR,S_pv,XI_ori,XI_new,XI_pv,SIGMA_ori,SIGMA,Z_pv,PCOR2,SCOR2
0,0610007P14Rik,-0.008682938339479217,0.9764979678413354,-0.08131868131868132,0.7822747512440957,0.0,0.0,0.5,0.08131868131868132,0.08131868131868132,0.9579279318508145,0.008682938339479217,0.08131868131868132
1,0610009B22Rik,0.35250722763596887,0.21640174714487184,0.3142857142857143,0.27380490296286775,0.0,0.0,0.5,0.3142857142857143,0.3142857142857143,0.5262174143769562,0.35250722763596887,0.3142857142857143
2,0610009L18Rik,-0.3181214508758412,0.2676730580249147,-0.253865608885049,0.38114190466105136,0.0,0.0,0.5,0.253865608885049,0.253865608885049,0.6577631558728412,0.3181214508758412,0.253865608885049
3,0610009O20Rik,0.034923930244401886,0.9056517298216152,0.410989010989011,0.14433266812460507,0.12307692307692308,0.15213058356385728,0.2332661190746652,0.42902202291701563,0.43824157905110417,0.2558877150274058,0.034923930244401886,0.410989010989011
4,0610010F05Rik,0.27716388096357897,0.33738698572326337,0.24835164835164836,0.39191953893845743,0.0,0.0,0.5,0.24835164835164836,0.24835164835164836,0.6697099853099839,0.27716388096357897,0.24835164835164836
5,0610010K14Rik,-0.13450099599168425,0.6466442249142456,-0.015384615384615385,0.9583697893719862,0.24615384615384617,0.30426116712771456,0.07265957895936881,0.24663414679817536,0.30464987151228473,0.34580042001193895,0.13450099599168425,0.015384615384615385
6,0610012G03Rik,-0.31682565142300795,0.2697352922064138,-0.39780219780219783,0.1589507745108348,0.16923076923076918,0.2091795524003037,0.1583692365266669,0.4323027201287274,0.4494470755480008,0.21658195509458145,0.31682565142300795,0.39780219780219783
7,0610030E20Rik,0.1084899977928585,0.7119946709438191,-0.08131868131868132,0.7822747512440957,0.0,0.0,0.5,0.08131868131868132,0.08131868131868132,0.9579279318508145,0.1084899977928585,0.08131868131868132
8,0610037L13Rik,-0.43492280280283413,0.12014462493003887,-0.44175824175824174,0.11377750302872344,0.2615384615384615,0.32327749007319667,0.06089758133440348,0.5133738511311601,0.5474108874961832,0.08496476335828063,0.43492280280283413,0.44175824175824174
9,0610040J01Rik,0.19524740259451828,0.503545511306171,0.18481859368583423,0.5270334730630228,0.0,0.0,0.5,0.18481859368583423,0.18481859368583423,0.8008941950453294,0.19524740259451828,0.18481859368583423
10,1110002E22Rik,-0.14558426615922723,0.6194715611399939,0.11208791208791209,0.7028331631967695,0.0,0.0,0.5,0.11208791208791209,0.11208791208791209,0.9215815117881654,0.14558426615922723,0.11208791208791209
11,1110004E09Rik,-0.1840444252109018,0.5287961820775001,0.12967032967032965,0.658619276321178,0.0,0.0,0.5,0.12967032967032965,0.12967032967032965,0.8964672087433697,0.1840444252109018,0.12967032967032965
12,1110004F10Rik,-0.3511712755757585,0.21826951582881615,-0.2571428571428571,0.3748119038799703,0.0,0.0,0.5,0.2571428571428571,0.2571428571428571,0.6506418652289734,0.3511712755757585,0.2571428571428571
13,1110008F13Rik,-0.295522585161695,0.3049867925967231,-0.37142857142857144,0.1910208120436164,0.10769230769230764,0.13311426061837506,0.26202455107825284,0.38672576434673195,0.394561262738052,0.3329731996542719,0.295522585161695,0.37142857142857144
14,1110008L16Rik,-0.46615905305902056,0.09293588158350123,-0.27472527472527475,0.34182974371948127,0.10769230769230764,0.13311426061837506,0.26202455107825284,0.2950789889317305,0.3052759128278128,0.49980391493669946,0.46615905305902056,0.27472527472527475
