pair,value,row,column
Arc_Camk2a,0.26530011015156446,Arc,Camk2a
Arc_Fmr1,0.2639409342799722,Arc,Fmr1
Arc_Fos,0.7656846628321241,Arc,Fos
Arc_Fosl2,0.8081271130166762,Arc,Fosl2
Arc_Gria1,0.20157666697007293,Arc,Gria1
Arc_Gria2,-0.6125664711409032,Arc,Gria2
Arc_Grin1,-0.4066701531350816,Arc,Grin1
Arc_Npas4,0.8476450842624506,Arc,Npas4
Arc_Nsf,0.23415941051420028,Arc,Nsf
Arc_Numb,-0.720217934107786,Arc,Numb
Arc_Pick1,0.09480120865592677,Arc,Pick1
Arc_Prkcb,0.1666107446851805,Arc,Prkcb
Arc_Prkci,-0.25195335429584487,Arc,Prkci
Arc_Prkcz,-0.4033459718565113,Arc,Prkcz
Arc_Wwc1,0.5065819767549439,Arc,Wwc1
Camk2a_Fmr1,0.4646633866606013,Camk2a,Fmr1
Camk2a_Fos,-0.15586274307590714,Camk2a,Fos
Camk2a_Fosl2,0.11257802818133267,Camk2a,Fosl2
Camk2a_Gria1,0.19821066405220927,Camk2a,Gria1
Camk2a_Gria2,-0.22724928122684415,Camk2a,Gria2
Camk2a_Grin1,-0.41937762435465625,Camk2a,Grin1
Camk2a_Npas4,0.2923579122372947,Camk2a,Npas4
Camk2a_Nsf,0.2847041566230934,Camk2a,Nsf
Camk2a_Numb,0.3040034168039585,Camk2a,Numb
Camk2a_Pick1,-0.38713612584378726,Camk2a,Pick1
Camk2a_Prkcb,0.8822247999307722,Camk2a,Prkcb
Camk2a_Prkci,0.14624735495297142,Camk2a,Prkci
Camk2a_Prkcz,0.11360251700432712,Camk2a,Prkcz
Camk2a_Wwc1,0.35410153835244335,Camk2a,Wwc1
Fmr1_Fos,0.15165324220653636,Fmr1,Fos
Fmr1_Fosl2,0.4977108806317222,Fmr1,Fosl2
Fmr1_Gria1,-0.08839893063567555,Fmr1,Gria1
Fmr1_Gria2,0.26594287115752735,Fmr1,Gria2
Fmr1_Grin1,0.0966027586788237,Fmr1,Grin1
Fmr1_Npas4,0.34650410992505487,Fmr1,Npas4
Fmr1_Nsf,-0.3581983959225917,Fmr1,Nsf
Fmr1_Numb,0.3363310284931096,Fmr1,Numb
Fmr1_Pick1,0.07181435331210421,Fmr1,Pick1
Fmr1_Prkcb,0.3331240150460994,Fmr1,Prkcb
Fmr1_Prkci,0.19900705427174523,Fmr1,Prkci
Fmr1_Prkcz,0.3535664512119419,Fmr1,Prkcz
Fmr1_Wwc1,0.8952105643753876,Fmr1,Wwc1
Fos_Fosl2,0.7296679522575873,Fos,Fosl2
Fos_Gria1,0.1518403680806808,Fos,Gria1
Fos_Gria2,-0.3229954866363903,Fos,Gria2
Fos_Grin1,-0.30270486499773486,Fos,Grin1
Fos_Npas4,0.5483676146383352,Fos,Npas4
Fos_Nsf,-0.017535219934175037,Fos,Nsf
Fos_Numb,-0.6205146545233394,Fos,Numb
Fos_Pick1,0.4451319458508767,Fos,Pick1
Fos_Prkcb,-0.2769017402688951,Fos,Prkcb
Fos_Prkci,-0.532497756797688,Fos,Prkci
Fos_Prkcz,-0.38654382647753466,Fos,Prkcz
Fos_Wwc1,0.2773614508277828,Fos,Wwc1
Fosl2_Gria1,0.1732215235001452,Fosl2,Gria1
Fosl2_Gria2,-0.3393502965603298,Fosl2,Gria2
Fosl2_Grin1,-0.2667903673982816,Fosl2,Grin1
Fosl2_Npas4,0.8546511544005915,Fosl2,Npas4
Fosl2_Nsf,0.024995481137326754,Fosl2,Nsf
Fosl2_Numb,-0.5115729082264442,Fosl2,Numb
Fosl2_Pick1,0.4011290332362794,Fosl2,Pick1
Fosl2_Prkcb,0.02893838049150471,Fosl2,Prkcb
Fosl2_Prkci,-0.0987591367532805,Fosl2,Prkci
Fosl2_Prkcz,-0.15183467916528187,Fosl2,Prkcz
Fosl2_Wwc1,0.744845086688082,Fosl2,Wwc1
Gria1_Gria2,0.2410442016431134,Gria1,Gria2
Gria1_Grin1,-0.04024742369588819,Gria1,Grin1
Gria1_Npas4,0.3700488312685211,Gria1,Npas4
Gria1_Nsf,0.8520393247845743,Gria1,Nsf
Gria1_Numb,0.07896437150751477,Gria1,Numb
Gria1_Pick1,-0.4081186315452252,Gria1,Pick1
Gria1_Prkcb,0.39134126737085234,Gria1,Prkcb
Gria1_Prkci,-0.18143946473530412,Gria1,Prkci
Gria1_Prkcz,-0.8207684800804135,Gria1,Prkcz
Gria1_Wwc1,-0.14899207587792454,Gria1,Wwc1
Gria2_Grin1,0.6405554562244693,Gria2,Grin1
Gria2_Npas4,-0.4271204758039544,Gria2,Npas4
Gria2_Nsf,-0.11988314157999622,Gria2,Nsf
Gria2_Numb,0.7565931484665825,Gria2,Numb
Gria2_Pick1,-0.18601378277328684,Gria2,Pick1
Gria2_Prkcb,-0.08343942986308571,Gria2,Prkcb
Gria2_Prkci,0.10965549637084081,Gria2,Prkci
Gria2_Prkcz,-0.006980109501452433,Gria2,Prkcz
Gria2_Wwc1,-0.05162902472516494,Gria2,Wwc1
Grin1_Npas4,-0.11606757097331824,Grin1,Npas4
Grin1_Nsf,-0.3356217889900675,Grin1,Nsf
Grin1_Numb,0.3247333588716969,Grin1,Numb
Grin1_Pick1,0.11514690402822164,Grin1,Pick1
Grin1_Prkcb,-0.4769154871285643,Grin1,Prkcb
Grin1_Prkci,-0.20525573732122074,Grin1,Prkci
Grin1_Prkcz,0.017905691819730726,Grin1,Prkcz
Grin1_Wwc1,-0.016910929227011453,Grin1,Wwc1
Npas4_Nsf,0.28182737100036154,Npas4,Nsf
Npas4_Numb,-0.5232658131332975,Npas4,Numb
Npas4_Pick1,0.1939620968049148,Npas4,Pick1
Npas4_Prkcb,0.16977194544396082,Npas4,Prkcb
Npas4_Prkci,-0.25136488517565914,Npas4,Prkci
Npas4_Prkcz,-0.3666319652870241,Npas4,Prkcz
Npas4_Wwc1,0.598951874189826,Npas4,Wwc1
Nsf_Numb,-0.12980379615007667,Nsf,Numb
Nsf_Pick1,-0.6256873436348398,Nsf,Pick1
Nsf_Prkcb,0.5515032334367401,Nsf,Prkcb
Nsf_Prkci,0.05960815253118239,Nsf,Prkci
Nsf_Prkcz,-0.7801812630795412,Nsf,Prkcz
Nsf_Wwc1,-0.30597655144044567,Nsf,Wwc1
Numb_Pick1,-0.26327951668659266,Numb,Pick1
Numb_Prkcb,0.3221247102292284,Numb,Prkcb
Numb_Prkci,0.2291439914571081,Numb,Prkci
Numb_Prkcz,0.3562056994980181,Numb,Prkcz
Numb_Wwc1,-0.04753106815087068,Numb,Wwc1
Pick1_Prkcb,-0.6983102022011042,Pick1,Prkcb
Pick1_Prkci,-0.48398023869795154,Pick1,Prkci
Pick1_Prkcz,0.37362145650221223,Pick1,Prkcz
Pick1_Wwc1,0.19124346924106897,Pick1,Wwc1
Prkcb_Prkci,0.4550635523983865,Prkcb,Prkci
Prkcb_Prkcz,-0.07718829264311469,Prkcb,Prkcz
Prkcb_Wwc1,0.2423200593589772,Prkcb,Wwc1
Prkci_Prkcz,0.35599217322821936,Prkci,Prkcz
Prkci_Wwc1,0.2653653668347261,Prkci,Wwc1
Prkcz_Wwc1,0.3082926696826768,Prkcz,Wwc1
