pair,value,row,column
Arc_Camk2a,-0.34169546162758246,Arc,Camk2a
Arc_Fmr1,-0.34785176632353343,Arc,Fmr1
Arc_Fos,0.8143187400554754,Arc,Fos
Arc_Fosl2,0.897496316176135,Arc,Fosl2
Arc_Gria1,-0.5577834825775104,Arc,Gria1
Arc_Gria2,0.040240966323203495,Arc,Gria2
Arc_Grin1,-0.008574611203194749,Arc,Grin1
Arc_Npas4,0.8844146091448646,Arc,Npas4
Arc_Nsf,-0.4268085568926159,Arc,Nsf
Arc_Numb,0.6670187373518607,Arc,Numb
Arc_Pick1,0.09564377100684228,Arc,Pick1
Arc_Prkcb,0.039823652328574266,Arc,Prkcb
Arc_Prkci,0.3106532760870513,Arc,Prkci
Arc_Prkcz,0.10038682574701463,Arc,Prkcz
Arc_Wwc1,-0.2983160065146813,Arc,Wwc1
Camk2a_Fmr1,-0.14857675129397888,Camk2a,Fmr1
Camk2a_Fos,-0.4480981387938762,Camk2a,Fos
Camk2a_Fosl2,-0.31689045815321426,Camk2a,Fosl2
Camk2a_Gria1,0.8463779546134532,Camk2a,Gria1
Camk2a_Gria2,0.7156568877167947,Camk2a,Gria2
Camk2a_Grin1,-0.24573248511983076,Camk2a,Grin1
Camk2a_Npas4,-0.26659743717497136,Camk2a,Npas4
Camk2a_Nsf,-0.13096681618401534,Camk2a,Nsf
Camk2a_Numb,-0.672669699078305,Camk2a,Numb
Camk2a_Pick1,0.6660687790780084,Camk2a,Pick1
Camk2a_Prkcb,-0.22118316178260586,Camk2a,Prkcb
Camk2a_Prkci,0.25873733228795004,Camk2a,Prkci
Camk2a_Prkcz,0.8561590764909356,Camk2a,Prkcz
Camk2a_Wwc1,0.657451520101709,Camk2a,Wwc1
Fmr1_Fos,0.06100868064438213,Fmr1,Fos
Fmr1_Fosl2,-0.026907791954070143,Fmr1,Fosl2
Fmr1_Gria1,0.3080434482786445,Fmr1,Gria1
Fmr1_Gria2,0.3048778356706917,Fmr1,Gria2
Fmr1_Grin1,0.061046697347175986,Fmr1,Grin1
Fmr1_Npas4,-0.062111449321433684,Fmr1,Npas4
Fmr1_Nsf,-0.3774273332879086,Fmr1,Nsf
Fmr1_Numb,-0.1953837620061936,Fmr1,Numb
Fmr1_Pick1,-0.04004909383730284,Fmr1,Pick1
Fmr1_Prkcb,-0.7862905309654916,Fmr1,Prkcb
Fmr1_Prkci,-0.40560280149518696,Fmr1,Prkci
Fmr1_Prkcz,-0.4721499640013061,Fmr1,Prkcz
Fmr1_Wwc1,0.4298046791146558,Fmr1,Wwc1
Fos_Fosl2,0.8890857283837089,Fos,Fosl2
Fos_Gria1,-0.5894499902179371,Fos,Gria1
Fos_Gria2,0.1457285170326752,Fos,Gria2
Fos_Grin1,0.32489270343214477,Fos,Grin1
Fos_Npas4,0.9655151233016823,Fos,Npas4
Fos_Nsf,-0.7464323336680413,Fos,Nsf
Fos_Numb,0.8115021783292857,Fos,Numb
Fos_Pick1,-0.19974062277489518,Fos,Pick1
Fos_Prkcb,-0.33360670460801267,Fos,Prkcb
Fos_Prkci,0.044329145013409,Fos,Prkci
Fos_Prkcz,-0.05933039597884767,Fos,Prkcz
Fos_Wwc1,-0.36216584733473056,Fos,Wwc1
Fosl2_Gria1,-0.44219412405034914,Fosl2,Gria1
Fosl2_Gria2,0.1979866214453573,Fosl2,Gria2
Fosl2_Grin1,-0.1338963482689001,Fosl2,Grin1
Fosl2_Npas4,0.9026106587940619,Fosl2,Npas4
Fosl2_Nsf,-0.6525555547926432,Fosl2,Nsf
Fosl2_Numb,0.5496348309034232,Fosl2,Numb
Fosl2_Pick1,-0.015642809356767984,Fosl2,Pick1
Fosl2_Prkcb,-0.3287974484415003,Fosl2,Prkcb
Fosl2_Prkci,-0.044897464779909996,Fosl2,Prkci
Fosl2_Prkcz,0.011187211612795523,Fosl2,Prkcz
Fosl2_Wwc1,-0.07917614908806918,Fosl2,Wwc1
Gria1_Gria2,0.7007957286647787,Gria1,Gria2
Gria1_Grin1,-0.34101595893935915,Gria1,Grin1
Gria1_Npas4,-0.4626391047648144,Gria1,Npas4
Gria1_Nsf,-0.06312665681061498,Gria1,Nsf
Gria1_Numb,-0.8673369717879051,Gria1,Numb
Gria1_Pick1,0.6982646490811891,Gria1,Pick1
Gria1_Prkcb,-0.4345931011995001,Gria1,Prkcb
Gria1_Prkci,0.10142082425985104,Gria1,Prkci
Gria1_Prkcz,0.48659005233672403,Gria1,Prkcz
Gria1_Wwc1,0.8842250573259994,Gria1,Wwc1
Gria2_Grin1,-0.04778596282477172,Gria2,Grin1
Gria2_Npas4,0.29309516175050243,Gria2,Npas4
Gria2_Nsf,-0.7239572241712008,Gria2,Nsf
Gria2_Numb,-0.31111296793244414,Gria2,Numb
Gria2_Pick1,0.7052774188682994,Gria2,Pick1
Gria2_Prkcb,-0.7429096997590016,Gria2,Prkcb
Gria2_Prkci,0.27074878785276185,Gria2,Prkci
Gria2_Prkcz,0.6666278461003033,Gria2,Prkcz
Gria2_Wwc1,0.6950293978042485,Gria2,Wwc1
Grin1_Npas4,0.2694211864793545,Grin1,Npas4
Grin1_Nsf,-0.25247233475015496,Grin1,Nsf
Grin1_Numb,0.6393949632691884,Grin1,Numb
Grin1_Pick1,-0.2565529417475901,Grin1,Pick1
Grin1_Prkcb,0.041488970009617196,Grin1,Prkcb
Grin1_Prkci,0.38104099334085634,Grin1,Prkci
Grin1_Prkcz,-0.028076941403980024,Grin1,Prkcz
Grin1_Wwc1,-0.6304901625151615,Grin1,Wwc1
Npas4_Nsf,-0.7691747844854898,Npas4,Nsf
Npas4_Numb,0.7393530979480825,Npas4,Numb
Npas4_Pick1,0.034678903682350236,Npas4,Pick1
Npas4_Prkcb,-0.3080800099362571,Npas4,Prkcb
Npas4_Prkci,0.24246786165927334,Npas4,Prkci
Npas4_Prkcz,0.1545007087266423,Npas4,Prkcz
Npas4_Wwc1,-0.25969195248902466,Npas4,Wwc1
Nsf_Numb,-0.32830424256467355,Nsf,Numb
Nsf_Pick1,-0.16823947939679076,Nsf,Pick1
Nsf_Prkcb,0.7993595245960518,Nsf,Prkcb
Nsf_Prkci,-0.03490259975485972,Nsf,Prkci
Nsf_Prkcz,-0.3019677329508961,Nsf,Prkcz
Nsf_Wwc1,-0.19581066944062273,Nsf,Wwc1
Numb_Pick1,-0.45190296603992575,Numb,Pick1
Numb_Prkcb,0.1667394790922552,Numb,Prkcb
Numb_Prkci,0.19656706489606368,Numb,Prkci
Numb_Prkcz,-0.22600933295540523,Numb,Prkcz
Numb_Wwc1,-0.8249147724199668,Numb,Wwc1
Pick1_Prkcb,-0.2044854249935131,Pick1,Prkcb
Pick1_Prkci,0.6607438014322943,Pick1,Prkci
Pick1_Prkcz,0.6144967279066046,Pick1,Prkcz
Pick1_Wwc1,0.6566909119102876,Pick1,Wwc1
Prkcb_Prkci,0.28869914042325073,Prkcb,Prkci
Prkcb_Prkcz,-0.05723622648362761,Prkcb,Prkcz
Prkcb_Wwc1,-0.6021026090337018,Prkcb,Wwc1
Prkci_Prkcz,0.504644337257933,Prkci,Prkcz
Prkci_Wwc1,-0.12059368656175792,Prkci,Wwc1
Prkcz_Wwc1,0.3056401696745598,Prkcz,Wwc1
