,row,column,value
0,Fos,Fos,1.0
1,Fosl2,Fos,0.7296679522575873
2,Npas4,Fos,0.5483676146383352
3,Arc,Fos,0.7656846628321241
4,Grin1,Fos,-0.30270486499773486
5,Gria1,Fos,0.1518403680806808
6,Gria2,Fos,-0.3229954866363903
7,Pick1,Fos,0.4451319458508767
8,Nsf,Fos,-0.017535219934175037
9,Numb,Fos,-0.6205146545233394
10,Fmr1,Fos,0.15165324220653636
11,Camk2a,Fos,-0.15586274307590714
12,Wwc1,Fos,0.2773614508277828
13,Prkcb,Fos,-0.2769017402688951
14,Prkcz,Fos,-0.38654382647753466
15,Prkci,Fos,-0.532497756797688
16,Fos,Fosl2,0.7296679522575873
17,Fosl2,Fosl2,1.0
18,Npas4,Fosl2,0.8546511544005915
19,Arc,Fosl2,0.8081271130166762
20,Grin1,Fosl2,-0.2667903673982816
21,Gria1,Fosl2,0.1732215235001452
22,Gria2,Fosl2,-0.3393502965603298
23,Pick1,Fosl2,0.4011290332362794
24,Nsf,Fosl2,0.024995481137326754
25,Numb,Fosl2,-0.5115729082264442
26,Fmr1,Fosl2,0.4977108806317222
27,Camk2a,Fosl2,0.11257802818133267
28,Wwc1,Fosl2,0.744845086688082
29,Prkcb,Fosl2,0.02893838049150471
30,Prkcz,Fosl2,-0.15183467916528187
31,Prkci,Fosl2,-0.0987591367532805
32,Fos,Npas4,0.5483676146383352
33,Fosl2,Npas4,0.8546511544005915
34,Npas4,Npas4,1.0
35,Arc,Npas4,0.8476450842624506
36,Grin1,Npas4,-0.11606757097331824
37,Gria1,Npas4,0.3700488312685211
38,Gria2,Npas4,-0.4271204758039544
39,Pick1,Npas4,0.1939620968049148
40,Nsf,Npas4,0.28182737100036154
41,Numb,Npas4,-0.5232658131332975
42,Fmr1,Npas4,0.34650410992505487
43,Camk2a,Npas4,0.2923579122372947
44,Wwc1,Npas4,0.598951874189826
45,Prkcb,Npas4,0.16977194544396082
46,Prkcz,Npas4,-0.3666319652870241
47,Prkci,Npas4,-0.25136488517565914
48,Fos,Arc,0.7656846628321241
49,Fosl2,Arc,0.8081271130166762
50,Npas4,Arc,0.8476450842624506
51,Arc,Arc,1.0
52,Grin1,Arc,-0.4066701531350816
53,Gria1,Arc,0.20157666697007293
54,Gria2,Arc,-0.6125664711409032
55,Pick1,Arc,0.09480120865592677
56,Nsf,Arc,0.23415941051420028
