,row,column,value
0,Fos,Fos,1.0
1,Fosl2,Fos,0.8890857283837089
2,Npas4,Fos,0.9655151233016823
3,Arc,Fos,0.8143187400554754
4,Grin1,Fos,0.32489270343214477
5,Gria1,Fos,-0.5894499902179371
6,Gria2,Fos,0.1457285170326752
7,Pick1,Fos,-0.19974062277489518
8,Nsf,Fos,-0.7464323336680413
9,Numb,Fos,0.8115021783292857
10,Fmr1,Fos,0.06100868064438213
11,Camk2a,Fos,-0.4480981387938762
12,Wwc1,Fos,-0.36216584733473056
13,Prkcb,Fos,-0.33360670460801267
14,Prkcz,Fos,-0.05933039597884767
15,Prkci,Fos,0.044329145013409
16,Fos,Fosl2,0.8890857283837089
17,Fosl2,Fosl2,1.0
18,Npas4,Fosl2,0.9026106587940619
19,Arc,Fosl2,0.897496316176135
20,Grin1,Fosl2,-0.1338963482689001
21,Gria1,Fosl2,-0.44219412405034914
22,Gria2,Fosl2,0.1979866214453573
23,Pick1,Fosl2,-0.015642809356767984
24,Nsf,Fosl2,-0.6525555547926432
25,Numb,Fosl2,0.5496348309034232
26,Fmr1,Fosl2,-0.026907791954070143
27,Camk2a,Fosl2,-0.31689045815321426
28,Wwc1,Fosl2,-0.07917614908806918
29,Prkcb,Fosl2,-0.3287974484415003
30,Prkcz,Fosl2,0.011187211612795523
31,Prkci,Fosl2,-0.044897464779909996
32,Fos,Npas4,0.9655151233016823
33,Fosl2,Npas4,0.9026106587940619
34,Npas4,Npas4,1.0
35,Arc,Npas4,0.8844146091448646
36,Grin1,Npas4,0.2694211864793545
37,Gria1,Npas4,-0.4626391047648144
38,Gria2,Npas4,0.29309516175050243
39,Pick1,Npas4,0.034678903682350236
40,Nsf,Npas4,-0.7691747844854898
41,Numb,Npas4,0.7393530979480825
42,Fmr1,Npas4,-0.062111449321433684
43,Camk2a,Npas4,-0.26659743717497136
44,Wwc1,Npas4,-0.25969195248902466
45,Prkcb,Npas4,-0.3080800099362571
46,Prkcz,Npas4,0.1545007087266423
47,Prkci,Npas4,0.24246786165927334
48,Fos,Arc,0.8143187400554754
49,Fosl2,Arc,0.897496316176135
50,Npas4,Arc,0.8844146091448646
51,Arc,Arc,1.0
52,Grin1,Arc,-0.008574611203194749
53,Gria1,Arc,-0.5577834825775104
54,Gria2,Arc,0.040240966323203495
55,Pick1,Arc,0.09564377100684228
56,Nsf,Arc,-0.4268085568926159
57,Numb,Arc,0.6670187373518607
58,Fmr1,Arc,-0.34785176632353343
59,Camk2a,Arc,-0.34169546162758246
60,Wwc1,Arc,-0.2983160065146813
61,Prkcb,Arc,0.039823652328574266
62,Prkcz,Arc,0.10038682574701463
63,Prkci,Arc,0.3106532760870513
64,Fos,Grin1,0.32489270343214477
65,Fosl2,Grin1,-0.1338963482689001
66,Npas4,Grin1,0.2694211864793545
67,Arc,Grin1,-0.008574611203194749
68,Grin1,Grin1,1.0
69,Gria1,Grin1,-0.34101595893935915
70,Gria2,Grin1,-0.04778596282477172
71,Pick1,Grin1,-0.2565529417475901
72,Nsf,Grin1,-0.25247233475015496
73,Numb,Grin1,0.6393949632691884
74,Fmr1,Grin1,0.061046697347175986
75,Camk2a,Grin1,-0.24573248511983076
76,Wwc1,Grin1,-0.6304901625151615
77,Prkcb,Grin1,0.041488970009617196
78,Prkcz,Grin1,-0.028076941403980024
79,Prkci,Grin1,0.38104099334085634
80,Fos,Gria1,-0.5894499902179371
81,Fosl2,Gria1,-0.44219412405034914
82,Npas4,Gria1,-0.4626391047648144
83,Arc,Gria1,-0.5577834825775104
84,Grin1,Gria1,-0.34101595893935915
85,Gria1,Gria1,1.0
86,Gria2,Gria1,0.7007957286647787
87,Pick1,Gria1,0.6982646490811891
88,Nsf,Gria1,-0.06312665681061498
89,Numb,Gria1,-0.8673369717879051
90,Fmr1,Gria1,0.3080434482786445
91,Camk2a,Gria1,0.8463779546134532
92,Wwc1,Gria1,0.8842250573259994
93,Prkcb,Gria1,-0.4345931011995001
94,Prkcz,Gria1,0.48659005233672403
95,Prkci,Gria1,0.10142082425985104
96,Fos,Gria2,0.1457285170326752
97,Fosl2,Gria2,0.1979866214453573
98,Npas4,Gria2,0.29309516175050243
99,Arc,Gria2,0.040240966323203495
100,Grin1,Gria2,-0.04778596282477172
101,Gria1,Gria2,0.7007957286647787
102,Gria2,Gria2,1.0
103,Pick1,Gria2,0.7052774188682994
104,Nsf,Gria2,-0.7239572241712008
105,Numb,Gria2,-0.31111296793244414
106,Fmr1,Gria2,0.3048778356706917
107,Camk2a,Gria2,0.7156568877167947
108,Wwc1,Gria2,0.6950293978042485
109,Prkcb,Gria2,-0.7429096997590016
110,Prkcz,Gria2,0.6666278461003033
111,Prkci,Gria2,0.27074878785276185
112,Fos,Pick1,-0.19974062277489518
113,Fosl2,Pick1,-0.015642809356767984
114,Npas4,Pick1,0.034678903682350236
115,Arc,Pick1,0.09564377100684228
116,Grin1,Pick1,-0.2565529417475901
117,Gria1,Pick1,0.6982646490811891
118,Gria2,Pick1,0.7052774188682994
119,Pick1,Pick1,1.0
120,Nsf,Pick1,-0.16823947939679076
121,Numb,Pick1,-0.45190296603992575
122,Fmr1,Pick1,-0.04004909383730284
123,Camk2a,Pick1,0.6660687790780084
124,Wwc1,Pick1,0.6566909119102876
125,Prkcb,Pick1,-0.2044854249935131
126,Prkcz,Pick1,0.6144967279066046
127,Prkci,Pick1,0.6607438014322943
128,Fos,Nsf,-0.7464323336680413
129,Fosl2,Nsf,-0.6525555547926432
130,Npas4,Nsf,-0.7691747844854898
131,Arc,Nsf,-0.4268085568926159
132,Grin1,Nsf,-0.25247233475015496
133,Gria1,Nsf,-0.06312665681061498
134,Gria2,Nsf,-0.7239572241712008
135,Pick1,Nsf,-0.16823947939679076
136,Nsf,Nsf,1.0
137,Numb,Nsf,-0.32830424256467355
138,Fmr1,Nsf,-0.3774273332879086
139,Camk2a,Nsf,-0.13096681618401534
140,Wwc1,Nsf,-0.19581066944062273
141,Prkcb,Nsf,0.7993595245960518
142,Prkcz,Nsf,-0.3019677329508961
143,Prkci,Nsf,-0.03490259975485972
144,Fos,Numb,0.8115021783292857
145,Fosl2,Numb,0.5496348309034232
146,Npas4,Numb,0.7393530979480825
147,Arc,Numb,0.6670187373518607
148,Grin1,Numb,0.6393949632691884
149,Gria1,Numb,-0.8673369717879051
150,Gria2,Numb,-0.31111296793244414
151,Pick1,Numb,-0.45190296603992575
152,Nsf,Numb,-0.32830424256467355
153,Numb,Numb,1.0
154,Fmr1,Numb,-0.1953837620061936
155,Camk2a,Numb,-0.672669699078305
156,Wwc1,Numb,-0.8249147724199668
157,Prkcb,Numb,0.1667394790922552
158,Prkcz,Numb,-0.22600933295540523
159,Prkci,Numb,0.19656706489606368
160,Fos,Fmr1,0.06100868064438213
161,Fosl2,Fmr1,-0.026907791954070143
162,Npas4,Fmr1,-0.062111449321433684
163,Arc,Fmr1,-0.34785176632353343
164,Grin1,Fmr1,0.061046697347175986
165,Gria1,Fmr1,0.3080434482786445
166,Gria2,Fmr1,0.3048778356706917
167,Pick1,Fmr1,-0.04004909383730284
168,Nsf,Fmr1,-0.3774273332879086
169,Numb,Fmr1,-0.1953837620061936
170,Fmr1,Fmr1,1.0
171,Camk2a,Fmr1,-0.14857675129397888
172,Wwc1,Fmr1,0.4298046791146558
173,Prkcb,Fmr1,-0.7862905309654916
174,Prkcz,Fmr1,-0.4721499640013061
175,Prkci,Fmr1,-0.40560280149518696
176,Fos,Camk2a,-0.4480981387938762
177,Fosl2,Camk2a,-0.31689045815321426
178,Npas4,Camk2a,-0.26659743717497136
179,Arc,Camk2a,-0.34169546162758246
180,Grin1,Camk2a,-0.24573248511983076
181,Gria1,Camk2a,0.8463779546134532
182,Gria2,Camk2a,0.7156568877167947
183,Pick1,Camk2a,0.6660687790780084
184,Nsf,Camk2a,-0.13096681618401534
185,Numb,Camk2a,-0.672669699078305
186,Fmr1,Camk2a,-0.14857675129397888
187,Camk2a,Camk2a,1.0
188,Wwc1,Camk2a,0.657451520101709
189,Prkcb,Camk2a,-0.22118316178260586
190,Prkcz,Camk2a,0.8561590764909356
191,Prkci,Camk2a,0.25873733228795004
192,Fos,Wwc1,-0.36216584733473056
193,Fosl2,Wwc1,-0.07917614908806918
194,Npas4,Wwc1,-0.25969195248902466
195,Arc,Wwc1,-0.2983160065146813
196,Grin1,Wwc1,-0.6304901625151615
197,Gria1,Wwc1,0.8842250573259994
198,Gria2,Wwc1,0.6950293978042485
199,Pick1,Wwc1,0.6566909119102876
200,Nsf,Wwc1,-0.19581066944062273
201,Numb,Wwc1,-0.8249147724199668
202,Fmr1,Wwc1,0.4298046791146558
203,Camk2a,Wwc1,0.657451520101709
204,Wwc1,Wwc1,1.0
205,Prkcb,Wwc1,-0.6021026090337018
206,Prkcz,Wwc1,0.3056401696745598
207,Prkci,Wwc1,-0.12059368656175792
208,Fos,Prkcb,-0.33360670460801267
209,Fosl2,Prkcb,-0.3287974484415003
